Rk,Team,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Non Conf Opp NetRtg
1,UConn,29.86,120.8,90.9,66.6,-0.056,10.39,109.7,99.3,-1.75
2,Houston,27.72,118.1,90.4,63.5,0.023,4.56,107.2,102.6,-0.03
3,UCLA,27.29,115.2,88,66.1,-0.009,8.7,109.2,100.5,0.15
4,Alabama,27.28,115.5,88.2,72.6,0.057,11.07,110.2,99.2,10.46
5,Texas,24.43,116.5,92.1,68.8,0.017,11.91,111.1,99.2,-0.76
6,Tennessee,23.8,111.3,87.5,65.1,-0.063,8.69,109.2,100.5,2.76
7,Purdue,23.24,117.7,94.5,64.2,0.021,9.17,110.1,100.9,0.71
8,Gonzaga,23.02,122.3,99.3,70.3,0.08,8.26,110.1,101.9,7.81
9,Kansas,22.85,114.6,91.8,69.2,0.082,13.38,111,97.6,6.59
10,Marquette,22.38,119.1,96.7,68.1,0.009,9.31,109.5,100.2,-1.15
11,Arizona,21.9,118.2,96.3,72,0.027,8.32,107.5,99.2,3.12
12,Creighton,21.83,115,93.2,67.8,-0.068,11.15,111,99.8,5.97
13,St. Mary's,21.24,112.6,91.4,61.6,0.006,6.45,109.7,103.2,3.94
14,San Diego St.,20.34,110.8,90.4,65.7,0.075,9.58,110.4,100.8,6.8
15,Xavier,19.95,118.5,98.6,70.5,0.005,10.42,110.3,99.9,3.4
16,Baylor,19.68,121.3,101.6,66.5,0.021,12.33,110.4,98,1.31
17,FAU,19.38,115.1,95.7,67.6,0.056,2.65,106.2,103.6,-2.85
18,Duke,19.35,113.2,93.9,64.9,0.051,7.65,109.7,102.1,1.77
19,West Virginia,18.82,116.9,98.1,68.5,-0.068,12.45,110.5,98.1,2.18
20,Memphis,18.53,114.6,96.1,71.1,-0.051,7.27,108.2,101,5.98
21,Kansas St.,18.51,113.5,95,70.1,0.035,10.35,109.2,98.8,-3.05
22,Arkansas,18.05,112.1,94,69.6,-0.042,10.29,109.7,99.4,3.24
23,Maryland,17.99,113.5,95.6,64.2,-0.023,8.94,109.5,100.5,-3.9
24,Miami FL,17.94,119.1,101.2,68.8,0.027,7.3,108.8,101.5,-2.67
25,TCU,17.78,112.1,94.3,69.7,-0.036,10.71,109.7,99,-7.52
26,Michigan St.,17.61,114.2,96.6,64.7,0.011,12.57,112.1,99.5,5.45
27,Kentucky,17.4,116.2,98.8,65.8,-0.019,8.52,109.1,100.5,0.53
28,Utah St.,17.39,116.3,98.9,68.6,0.006,6.84,108.4,101.5,2.87
29,Iowa St.,17.04,108.1,91,64.1,-0.033,12.56,112.1,99.5,-1.36
30,Indiana,17.03,114.2,97.2,67.8,0.022,10.69,110.5,99.9,-3.56
31,North Texas,16.89,111,94.1,59.1,0.071,3.08,106,102.9,1.23
32,Auburn,16.77,112.5,95.7,67.6,-0.018,9.68,109.4,99.7,3.38
33,Texas A&M,16.71,113.7,97,65.9,0.045,7.3,108.3,101,-2.99
34,Virginia,16.37,110.8,94.5,61.5,0.027,5.73,108.4,102.7,1.52
35,Illinois,16.22,111.1,94.9,69.5,-0.053,8.8,109.1,100.3,-6.42
36,Penn St.,16.04,117.2,101.1,64.3,-0.003,10.08,109.5,99.4,-4.9
37,Boise St.,15.85,110.9,95.1,66.2,0.006,6.85,108.7,101.8,0.93
38,Northwestern,15.59,109.9,94.3,64.4,0.025,9.29,109.3,100.1,-4.28
39,Rutgers,15.53,106.3,90.8,65.7,-0.105,7.8,109.6,101.8,-7.51
40,Providence,15.39,116.2,100.8,66.7,-0.018,7.6,108.6,101,-8.75
41,Iowa,15.39,120,104.6,69.5,-0.051,9.75,108.8,99.1,-2.45
42,Oregon,15.13,112.9,97.8,66.6,-0.024,9.06,108.3,99.2,5.96
43,North Carolina,15.01,112.2,97.2,68.8,-0.072,7.68,109.2,101.5,6.63
44,Michigan,14.96,112.3,97.4,67.4,-0.078,9.53,109.8,100.3,-0.01
45,USC,14.85,112.3,97.5,68,0.013,7.6,107.2,99.6,1.15
46,Oklahoma St.,14.69,106.6,91.9,67.4,-0.02,11.32,110.3,99,0.46
47,UAB,14.64,112.5,97.9,70.5,-0.021,1.82,105.7,103.9,-4.86
48,Liberty,14.54,112.1,97.5,64.8,-0.038,-1.8,103.9,105.7,1.21
49,Ohio St.,14.11,115.7,101.6,65.9,-0.12,11.18,110.2,99.1,-2.53
50,Cincinnati,13.99,112,98,68.6,-0.032,4.53,107.5,103,-2.75
51,Villanova,13.7,113.4,99.7,63.8,-0.075,10.12,110.1,100,3.84
52,NC State,13.55,113.6,100,69,0.02,5.5,108.5,103,-5.02
53,Mississippi St.,13.49,104.8,91.4,63.6,-0.008,6.98,108,101,-3.89
54,Oklahoma,13.41,110.8,97.4,65.2,-0.044,12.75,109.8,97.1,3.66
55,Arizona St.,13.26,109,95.8,68.1,0.047,8.4,108.4,100,0.78
56,UCF,13.21,109,95.8,64.7,-0.11,4.64,107.3,102.7,-0.58
57,Missouri,13.07,118.3,105.3,68.7,0.107,7.33,107.7,100.3,-5.09
58,Seton Hall,13.06,107.2,94.1,66.2,-0.057,10.12,109.9,99.8,2.49
59,Pittsburgh,12.86,114.2,101.3,67.3,0.031,5.1,108.2,103.1,-2.73
60,VCU,12.84,106.6,93.8,67.9,0.02,0.79,105,104.2,-1.77
61,Wisconsin,12.82,106.9,94.1,63.6,0.005,10.57,110.8,100.2,0.73
62,Nevada,12.74,111.8,99.1,65.9,0.033,6.98,108.6,101.7,3.34
63,Texas Tech,12.73,111.5,98.7,67.1,-0.08,9.34,109.7,100.3,-7.27
64,Utah Valley,12.63,107.9,95.3,70.1,0.036,3.2,106.5,103.3,4.6
65,Yale,12.63,110.1,97.5,66.2,-0.053,0.16,104.8,104.6,0.1
66,New Mexico,12.26,114.7,102.5,71.6,-0.03,4.81,107.4,102.6,-1.02
67,Washington St.,12.11,111.3,99.2,64.3,-0.079,8.25,108.7,100.4,4.5
68,Clemson,12.04,110.4,98.4,68.1,0.002,2.39,107.2,104.8,-5.75
69,Drake,11.9,108.4,96.5,66.3,0.015,-1.77,103.9,105.7,-2.18
70,Colorado,11.86,107.3,95.5,68.7,-0.066,7.91,107.7,99.8,3.06
71,Col. of Charleston,11.85,110.6,98.7,70.8,0.041,-5.28,102.2,107.5,-2.34
72,Oral Roberts,11.65,113.9,102.2,70.2,0.11,-4.02,103.8,107.8,7.06
73,Sam Houston St.,11.63,105.8,94.1,64.4,0.07,2.82,105.9,103.1,6.49
74,Florida,11.48,107,95.5,69.3,-0.077,8.9,109.4,100.5,5.34
75,Utah,11.46,107.3,95.8,66,-0.077,6.16,107,100.8,-4.05
76,Iona,11.35,110.7,99.4,68.7,0.012,-3.28,102.6,105.9,4.03
77,BYU,11.22,108.9,97.7,69.4,-0.103,4.72,107.8,103.1,1.09
78,Kent St.,11.2,107.7,96.5,67.7,0.019,-1.35,106.1,107.4,3.04
79,Dayton,11.12,109.8,98.6,62.2,-0.056,-0.17,104.3,104.4,-2.13
80,Virginia Tech,10.51,113.9,103.4,66.6,-0.066,5.17,107.9,102.8,-4.12
81,Vanderbilt,10.29,113.9,103.7,66.6,0.084,8.7,108.6,99.9,1.98
82,St. John's,10.28,108.3,98,73.3,-0.013,7.18,108.1,100.9,-7.58
83,Marshall,9.66,111,101.3,71.9,-0.063,-3.04,103.5,106.5,-3.82
84,Stanford,9.45,113.8,104.3,65.6,-0.125,7.59,107.2,99.6,-0.4
85,Santa Clara,9.41,110.3,100.8,69.8,0.072,3.68,107.9,104.2,0.46
86,Wake Forest,9.05,112.1,103.1,69.4,-0.012,5.12,107.8,102.7,-2.32
87,Toledo,8.83,119.5,110.6,69.5,0.035,-3.09,103.9,107,-1.43
88,Louisiana,8.51,111.4,102.9,68.3,0.06,0.03,104,104,0.04
89,Hofstra,8.39,110.8,102.4,67.1,0.036,-2.36,102.9,105.3,6.77
90,Bradley,8.27,106.8,98.5,65.3,0.059,-1.15,103.5,104.6,-0.05
91,Princeton,8.04,109.5,101.5,66.9,0.027,-0.43,104.6,105,-4.86
92,Furman,8.01,113.5,105.5,68.3,0.035,-3.5,103.9,107.4,-2.32
93,South Alabama,7.65,108,100.4,65.6,-0.111,0.55,104.3,103.8,3.55
94,Nebraska,7.61,106.5,98.8,67,0.053,10.29,110.2,100,2.04
95,UNLV,7.38,107.1,99.7,69.3,0.014,4.5,107.1,102.6,-3.21
96,Saint Louis,7.29,111.4,104.1,69.2,0.027,2.06,104.8,102.8,3.65
97,San Jose St.,6.92,109.5,102.6,62.6,0.07,5.1,107.5,102.4,-1.51
98,James Madison,6.7,106.5,99.8,70.4,-0.053,-1.72,103.4,105.1,-4.44
99,Southern Miss,6.51,107.1,100.6,68.6,0.102,-0.48,104.6,105.1,-3.81
100,Indiana St.,6.51,109.6,103.1,70.3,-0.107,-5.06,101.5,106.6,-7.14
101,San Francisco,6.41,109.7,103.3,68.4,0.019,3.25,107.4,104.2,-3.14
102,Wichita St.,6.39,106.6,100.2,66.1,-0.049,2.42,105.9,103.5,-2.39
103,Tulane,6.23,109.9,103.7,73,0.076,1.58,105.2,103.6,-8.21
104,UC Irvine,6.21,106.8,100.6,69.6,-0.021,-0.92,103.1,104,2.85
105,Akron,6.16,109.5,103.4,65.2,0.002,-2.32,104.7,107,-1.1
106,Charlotte,5.93,108.4,102.5,60.4,-0.007,-0.62,104.4,105,-7.31
107,Washington,5.92,105.3,99.4,69.1,0.037,7.35,107.6,100.2,-0.7
108,Grand Canyon,5.88,111.9,106.1,65,0.039,1.23,104.8,103.5,-0.46
109,Loyola Marymount,5.78,109.6,103.8,66.9,0.079,3.57,108.3,104.7,-0.27
110,Colorado St.,5.71,111.8,106.1,66,-0.055,6.42,107.6,101.2,1.65
111,Southern Utah,5.68,109.3,103.6,71.8,0.033,2.47,105.9,103.4,4.53
112,UCSB,5.68,110.3,104.6,64.7,0.072,-2.53,102.7,105.2,-3.31
113,Montana St.,5.49,105.1,99.6,66.3,0.076,-0.89,106,106.8,4.17
114,Vermont,5.33,109.5,104.2,64.4,0.049,-3.01,103.5,106.5,5.54
115,Colgate,5.24,112.7,107.5,67.5,0.015,-6.95,100.9,107.8,-1.23
116,Middle Tennessee,4.99,106.6,101.6,66.8,0.027,3.24,106.9,103.7,1.36
117,UNC Greensboro,4.98,103.2,98.3,65.8,-0.044,-2.57,105.2,107.8,2.96
118,Syracuse,4.93,110.5,105.5,67.3,0.002,3.07,107.3,104.2,-5.77
119,Butler,4.7,102.7,98,65.4,-0.001,10.32,110.5,100.2,1.05
120,Temple,4.66,107.2,102.5,65.9,0.021,4.89,106.5,101.6,1.26
121,Eastern Washington,4.65,111.3,106.6,68.5,0.063,-0.99,104.6,105.6,1.44
122,Mississippi,4.6,106.5,101.9,66,-0.078,7.33,108.1,100.8,1.18
123,Kennesaw St.,4.04,105.9,101.8,68.4,0.131,-1.05,105.2,106.3,4.64
124,Cal St. Fullerton,4.03,104.5,100.5,64.7,0.011,0.21,104.1,103.9,3.3
125,Belmont,3.72,111.2,107.5,68.2,0.025,-2.07,103.3,105.4,0.57
126,Penn,3.72,110.5,106.8,66.8,-0.003,-0.16,104.7,104.9,-0.72
127,Towson,3.65,108,104.4,64.8,-0.048,-4.77,102,106.8,-3.65
128,Troy,3.49,104.6,101.1,67.8,-0.02,-0.45,104.1,104.6,-0.12
129,Duquesne,3.43,108.4,104.9,68.1,0.001,-2.07,104.4,106.5,-4.4
130,Hawaii,3.41,101.6,98.2,64.6,-0.014,-3.79,102.3,106.1,-6.06
131,Youngstown St.,3.39,112.4,109,67.8,-0.023,-6.54,101.9,108.5,-5.76
132,Stephen F. Austin,3.24,105.3,102.1,69.1,-0.004,-0.19,104.6,104.8,-1.9
133,Ohio,3.12,110.5,107.4,68.3,-0.038,-2.64,105.3,107.9,-0.38
134,UMass Lowell,3.04,107.7,104.7,68.7,0.011,-10.03,98.7,108.7,-12.18
135,DePaul,2.89,108.1,105.2,68.6,-0.012,10.45,110.1,99.6,1.82
136,Samford,2.89,109.1,106.2,68.2,0.002,-4.17,103.7,107.8,-1.8
137,Fordham,2.56,103,100.4,69.6,0.121,-4.73,101.6,106.3,-13.35
138,Cornell,2.45,112.3,109.8,71.1,-0.005,-1.49,103.6,105.1,-4.38
139,Southern Illinois,2.45,101,98.5,63.7,0.087,-2.7,103.1,105.8,-3.76
140,Davidson,2.42,107.2,104.8,65,-0.034,0.88,104.7,103.8,-1.65
