Team 1 Name,Team 1 Score,Team 2 Name,Team 2 Score
FDU,84,Texas Southern,61
Arizona St.,98,Nevada,73
Texas A&M - CC,75,SE Missouri St.,71
Pittsburgh,60,Mississippi St.,59
Houston,63,North Kentucky,52
Auburn,83,Iowa,75
Miami FL,63,Drake,56
Indiana,71,Kent St.,60
Pittsburgh,59,Iowa St.,41
Xavier,72,Kennesaw St.,67
Penn St.,76,Texas A&M,59
Texas,81,Colgate,61
Kansas,96,Howard,68
Arkansas,73,Illinois,63
St. Mary's,63,VCU,51
UConn,87,Iona,63
TCU,72,Arizona St.,70
Gonzaga,82,Grand Canyon,70
Northwestern,75,Boise St.,67
UCLA,86,UNC Asheville,53
FDU,63,Purdue,58
FAU,66,Memphis,65
Duke,74,Oral Roberts,51
Tennessee,58,Louisiana,55
Kentucky,61,Providence,53
Kansas St.,77,Montana St.,65
Michigan St.,72,USC,62
Marquette,78,Vermont,61
Alabama,96,Texas A&M - CC,75
Maryland,67,West Virginia,65
San Diego St.,63,Col. of Charleston,57
Furman,68,Virginia,67
Creighton,72,NC State,63
Baylor,74,UCSB,56
Missouri,76,Utah St.,65
Princeton,59,Arizona,55
Houston,81,Auburn,64
Miami FL,85,Indiana,69
Xavier,84,Pittsburgh,73
Texas,71,Penn St.,66
Arkansas,72,Kansas,71
UConn,70,St. Mary's,55
Gonzaga,84,TCU,81
UCLA,68,Northwestern,63
FAU,78,FDU,70
Tennessee,65,Duke,52
Kansas St.,65,Kentucky,69
Michigan St.,69,Marquette,60
Alabama,73,Maryland,51
San Diego St.,75,Furman,52
Creighton,85,Baylor,76
Princeton,78,Missouri,63
Miami FL,89,Houston,75
Texas,83,Xavier,71
UConn,88,Arkansas,65
Gonzaga,79,UCLA,76
FAU,62,Tennessee,55
Kansas St.,98,Michigan St.,93
San Diego St.,71,Alabama,64
Creighton,86,Princeton,75
Miami FL,88,Texas,81
UConn,82,Gonzaga,54
FAU,79,Kansas St.,76
San Diego St.,57,Creighton,56
San Diego St.,72,FAU,71
UConn,72,Miami FL,59
UConn,76,San Diego St.,59
