Team,Seed,DRebs,DRPG,SCR MAR,AST,TO,Ratio,PTS,PPG,OPP FG,OPP FGA,OPP FG%,W,L,Win%,FT,FTA,FT%,FTA PG,Fouls,PFPG,DQ,Opp TO,TO PG,Opp 3FGA,Opp 3FG,Opp 3FG%,3FG,3FGA,3FGA PG,OPP PTS,OPP PPG,FGM,FGA,FG%,OPP REB,OPP RPG,REB MAR,ORebs,ORPG,3FG%,3FG PG,REB,RPG,FT PG,Rk,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Non Conf Opp NetRtg
Alabama,1.0,"1,168",31.57,13.5,555.0,512.0,1.08,"3,027",81.8,885,"2,387",37.1,31.0,6.0,83.8,615.0,848.0,72.5,22.9,691.0,18.7,14.0,434.0,11.73,715.0,202.0,28.3,366.0,"1,093",29.5,"2,526",68.3,"1,023","2,314",44.2,"1,383",37.4,7.3,484.0,13.08,33.5,9.9,"1,652",44.65,16.6,4,27.28,115.5,88.2,72.6,0.057,11.07,110.2,99.2,10.46
Arizona,2.0,"1,020",29.14,10.7,662.0,468.0,1.41,"2,866",81.9,905,"2,216",40.8,28.0,7.0,80.0,525.0,742.0,70.8,21.2,593.0,16.9,7.0,431.0,12.31,858.0,277.0,32.3,295.0,781,22.3,"2,490",71.1,"1,023","2,072",49.4,"1,163",33.2,6.1,356.0,10.17,37.8,8.4,"1,376",39.31,15.0,11,21.9,118.2,96.3,72.0,0.027,8.32,107.5,99.2,3.12
Arizona St.,11.0,920,25.56,3.1,515.0,422.0,1.22,"2,559",71.1,836,"2,096",39.9,23.0,13.0,63.9,465.0,675.0,68.9,18.8,668.0,18.6,13.0,505.0,14.03,818.0,279.0,34.1,274.0,851,23.6,"2,447",68.0,910,"2,163",42.1,"1,382",38.4,-1.9,395.0,10.97,32.2,7.6,"1,315",36.53,12.9,55,13.26,109.0,95.8,68.1,0.047,8.4,108.4,100.0,0.78
Arkansas,8.0,899,24.97,6.1,462.0,458.0,1.01,"2,666",74.1,847,"1,996",42.4,22.0,14.0,61.1,565.0,810.0,69.8,22.5,694.0,19.3,25.0,519.0,14.42,608.0,189.0,31.1,179.0,572,15.9,"2,446",67.9,961,"2,063",46.6,"1,189",33.0,2.3,373.0,10.36,31.3,5.0,"1,272",35.33,15.7,22,18.05,112.1,94.0,69.6,-0.042,10.29,109.7,99.4,3.24
Auburn,9.0,835,24.56,5.1,479.0,414.0,1.16,"2,474",72.8,788,"1,935",40.7,21.0,13.0,61.8,503.0,723.0,69.6,21.3,655.0,19.3,12.0,442.0,13.0,667.0,192.0,28.8,221.0,701,20.6,"2,302",67.7,875,"1,991",43.9,"1,211",35.6,0.6,396.0,11.65,31.5,6.5,"1,231",36.21,14.8,32,16.77,112.5,95.7,67.6,-0.018,9.68,109.4,99.7,3.38
Baylor,3.0,764,22.47,6.8,483.0,413.0,1.17,"2,619",77.0,864,"1,902",45.4,23.0,11.0,67.6,536.0,720.0,74.4,21.2,590.0,17.4,8.0,460.0,13.53,720.0,234.0,32.5,323.0,878,25.8,"2,389",70.3,880,"1,957",45.0,"1,086",31.9,2.0,391.0,11.5,36.8,9.5,"1,155",33.97,15.8,16,19.68,121.3,101.6,66.5,0.021,12.33,110.4,98.0,1.31
Boise St.,10.0,908,26.71,7.4,385.0,379.0,1.02,"2,451",72.1,802,"1,933",41.5,24.0,10.0,70.6,430.0,587.0,73.3,17.3,555.0,16.3,11.0,401.0,11.79,717.0,223.0,31.1,265.0,733,21.6,"2,198",64.6,878,"1,938",45.3,"1,096",32.2,3.5,307.0,9.03,36.2,7.8,"1,215",35.74,12.6,37,15.85,110.9,95.1,66.2,0.006,6.85,108.7,101.8,0.93
Col. of Charleston,12.0,939,26.83,12.9,478.0,418.0,1.14,"2,804",80.1,899,"2,085",43.1,31.0,4.0,88.6,538.0,723.0,74.4,20.7,590.0,16.9,4.0,482.0,13.77,671.0,205.0,30.6,348.0,"1,051",30.0,"2,353",67.2,959,"2,202",43.6,"1,189",34.0,6.3,472.0,13.49,33.1,9.9,"1,411",40.31,15.4,71,11.85,110.6,98.7,70.8,0.041,-5.28,102.2,107.5,-2.34
Colgate,15.0,900,25.71,8.8,637.0,357.0,1.78,"2,733",78.1,937,"2,056",45.6,26.0,9.0,74.3,363.0,549.0,66.1,15.7,438.0,12.5,2.0,432.0,12.34,753.0,270.0,35.9,286.0,709,20.3,"2,426",69.3,"1,042","2,038",51.1,"1,103",31.5,2.2,279.0,7.97,40.3,8.2,"1,179",33.69,10.4,115,5.24,112.7,107.5,67.5,0.015,-6.95,100.9,107.8,-1.23
Creighton,6.0,"1,063",28.73,8.0,581.0,429.0,1.35,"2,828",76.4,983,"2,332",42.2,24.0,13.0,64.9,481.0,614.0,78.3,16.6,486.0,13.1,2.0,358.0,9.68,688.0,231.0,33.6,319.0,902,24.4,"2,531",68.4,"1,014","2,164",46.9,"1,230",33.2,3.8,306.0,8.27,35.4,8.6,"1,369",37.0,13.0,12,21.83,115.0,93.2,67.8,-0.068,11.15,111.0,99.8,5.97
Drake,12.0,972,27.77,10.9,478.0,368.0,1.3,"2,617",74.8,811,"2,001",40.5,27.0,8.0,77.1,435.0,567.0,76.7,16.2,522.0,14.9,5.0,421.0,12.03,760.0,233.0,30.7,278.0,751,21.5,"2,236",63.9,952,"2,032",46.9,"1,146",32.7,3.0,278.0,7.94,37.0,7.9,"1,250",35.71,12.4,69,11.9,108.4,96.5,66.3,0.015,-1.77,103.9,105.7,-2.18
Duke,5.0,960,26.67,8.4,526.0,432.0,1.22,"2,592",72.0,844,"2,079",40.6,27.0,9.0,75.0,475.0,620.0,76.6,17.2,549.0,15.3,8.0,391.0,10.86,741.0,226.0,30.5,245.0,731,20.3,"2,290",63.6,936,"2,072",45.2,"1,108",30.8,7.9,432.0,12.0,33.5,6.8,"1,392",38.67,13.2,18,19.35,113.2,93.9,64.9,0.051,7.65,109.7,102.1,1.77
FDU,16.0,844,22.81,3.2,545.0,425.0,1.28,"2,863",77.4,972,"2,061",47.2,21.0,16.0,56.8,471.0,626.0,75.2,16.9,696.0,18.8,14.0,567.0,15.32,820.0,287.0,35.0,302.0,876,23.7,"2,744",74.2,"1,045","2,312",45.2,"1,257",34.0,0.4,427.0,11.54,34.5,8.2,"1,271",34.35,12.7,265,-8.36,106.7,115.1,68.7,0.011,-12.02,97.2,109.2,-7.05
Furman,13.0,911,25.31,9.7,600.0,397.0,1.51,"2,911",80.9,937,"2,094",44.7,28.0,8.0,77.8,539.0,727.0,74.1,20.2,604.0,16.8,11.0,470.0,13.06,733.0,242.0,33.0,340.0,988,27.4,"2,563",71.2,"1,016","2,129",47.7,"1,204",33.4,1.6,351.0,9.75,34.4,9.4,"1,262",35.06,15.0,92,8.01,113.5,105.5,68.3,0.035,-3.5,103.9,107.4,-2.32
Gonzaga,3.0,993,26.84,12.8,602.0,397.0,1.52,"3,187",86.1,993,"2,246",44.2,31.0,6.0,83.8,532.0,768.0,69.3,20.8,613.0,16.6,12.0,489.0,13.22,877.0,306.0,34.9,279.0,737,19.9,"2,715",73.4,"1,188","2,282",52.1,"1,171",31.6,5.5,383.0,10.35,37.9,7.5,"1,376",37.19,14.4,8,23.02,122.3,99.3,70.3,0.08,8.26,110.1,101.9,7.81
Grand Canyon,14.0,953,26.47,7.9,452.0,430.0,1.05,"2,706",75.2,863,"2,112",40.9,24.0,12.0,66.7,517.0,722.0,71.6,20.1,648.0,18.0,12.0,387.0,10.75,694.0,220.0,31.7,323.0,843,23.4,"2,421",67.3,933,"2,018",46.2,"1,211",33.6,2.9,364.0,10.11,38.3,9.0,"1,317",36.58,14.4,108,5.88,111.9,106.1,65.0,0.039,1.23,104.8,103.5,-0.46
Houston,1.0,967,26.14,17.4,544.0,370.0,1.47,"2,770",74.9,708,"1,933",36.6,33.0,4.0,89.2,466.0,636.0,73.3,17.2,618.0,16.7,9.0,506.0,13.68,840.0,234.0,27.9,284.0,835,22.6,"2,126",57.5,"1,010","2,203",45.8,"1,173",31.7,7.2,474.0,12.81,34.0,7.7,"1,441",38.95,12.6,2,27.72,118.1,90.4,63.5,0.023,4.56,107.2,102.6,-0.03
Howard,16.0,845,24.14,2.6,523.0,573.0,0.91,"2,634",75.3,902,"2,027",44.5,22.0,13.0,62.9,484.0,679.0,71.3,19.4,614.0,17.5,10.0,540.0,15.43,743.0,253.0,34.1,282.0,754,21.5,"2,542",72.6,934,"2,038",45.8,"1,168",33.4,2.4,407.0,11.63,37.4,8.1,"1,252",35.77,13.8,218,-3.38,103.5,106.9,69.0,0.096,-5.6,101.3,106.9,-0.01
Illinois,9.0,882,26.73,7.2,409.0,426.0,0.96,"2,452",74.3,804,"1,934",41.6,20.0,13.0,60.6,453.0,667.0,67.9,20.2,559.0,16.9,12.0,429.0,13.0,589.0,197.0,33.4,251.0,815,24.7,"2,216",67.2,874,"1,946",44.9,"1,115",33.8,4.0,366.0,11.09,30.8,7.6,"1,248",37.82,13.7,35,16.22,111.1,94.9,69.5,-0.053,8.8,109.1,100.3,-6.42
Indiana,4.0,929,26.54,6.1,533.0,402.0,1.33,"2,616",74.7,852,"2,084",40.9,23.0,12.0,65.7,428.0,602.0,71.1,17.2,599.0,17.1,7.0,391.0,11.17,787.0,263.0,33.4,200.0,544,15.5,"2,404",68.7,994,"2,044",48.6,"1,199",34.3,1.5,321.0,9.17,36.8,5.7,"1,250",35.71,12.2,30,17.03,114.2,97.2,67.8,0.022,10.69,110.5,99.9,-3.56
