Team,Seed,DRebs,DRPG,SCR MAR,AST,TO,Ratio,PTS,PPG,OPP FG,OPP FGA,OPP FG%,W,L,Win%,FT,FTA,FT%,FTA PG,Fouls,PFPG,DQ,Opp TO,TO PG,Opp 3FGA,Opp 3FG,Opp 3FG%,3FG,3FGA,3FGA PG,OPP PTS,OPP PPG,FGM,FGA,FG%,OPP REB,OPP RPG,REB MAR,ORebs,ORPG,3FG%,3FG PG,REB,RPG,FT PG
A&M-CC (Southland),16,881,25.17,6.9,536.0,448.0,1.2,"2,803",80.1,893,"1,995",44.8,24.0,11.0,68.6,593.0,749.0,79.2,21.4,665.0,19.0,12.0,529.0,15.11,860.0,288.0,33.5,268.0,736,21.0,"2,561",73.2,971,"2,152",45.1,"1,175",33.6,3.7,425.0,12.14,36.4,7.7,"1,306",37.31,16.9
Abilene Christian (WAC),,665,22.17,3.9,471.0,379.0,1.24,"2,249",75.0,727,"1,526",47.6,13.0,17.0,43.3,414.0,573.0,72.3,19.1,617.0,20.6,15.0,530.0,17.67,517.0,188.0,36.4,211.0,613,20.4,"2,133",71.1,812,"1,800",45.1,"1,008",33.6,-1.2,307.0,10.23,34.4,7.0,972,32.4,13.8
Air Force (Mountain West),,733,22.91,-0.1,491.0,391.0,1.26,"2,142",66.9,764,"1,718",44.5,14.0,18.0,43.8,369.0,511.0,72.2,16.0,544.0,17.0,6.0,352.0,11.0,566.0,166.0,29.3,261.0,733,22.9,"2,146",67.1,756,"1,636",46.2,"1,036",32.4,-2.8,213.0,6.66,35.6,8.2,946,29.56,11.5
Akron (MAC),,843,25.55,7.7,443.0,370.0,1.2,"2,463",74.6,802,"1,873",42.8,22.0,11.0,66.7,475.0,643.0,73.9,19.5,529.0,16.0,13.0,407.0,12.33,669.0,229.0,34.2,300.0,845,25.6,"2,209",66.9,844,"1,898",44.5,"1,081",32.8,2.9,335.0,10.15,35.5,9.1,"1,178",35.7,14.4
Alabama (SEC),1,"1,168",31.57,13.5,555.0,512.0,1.08,"3,027",81.8,885,"2,387",37.1,31.0,6.0,83.8,615.0,848.0,72.5,22.9,691.0,18.7,14.0,434.0,11.73,715.0,202.0,28.3,366.0,"1,093",29.5,"2,526",68.3,"1,023","2,314",44.2,"1,383",37.4,7.3,484.0,13.08,33.5,9.9,"1,652",44.65,16.6
Alabama A&M (SWAC),,745,22.58,-1.3,419.0,498.0,0.84,"2,297",69.6,781,"1,842",42.4,15.0,18.0,45.5,425.0,649.0,65.5,19.7,624.0,18.9,8.0,510.0,15.45,735.0,251.0,34.1,226.0,610,18.5,"2,340",70.9,823,"1,868",44.1,"1,179",35.7,-3.0,334.0,10.12,37.0,6.8,"1,079",32.7,12.9
Alabama St. (SWAC),,730,23.55,-9.3,309.0,414.0,0.75,"1,963",63.3,801,"1,839",43.6,8.0,23.0,25.8,412.0,584.0,70.5,18.8,557.0,18.0,8.0,379.0,12.23,635.0,216.0,34.0,185.0,605,19.5,"2,252",72.6,683,"1,821",37.5,"1,184",38.2,-2.2,387.0,12.48,30.6,6.0,"1,117",36.03,13.3
Alcorn (SWAC),,703,21.97,-2.9,316.0,404.0,0.78,"2,165",67.7,778,"1,741",44.7,18.0,14.0,56.3,475.0,659.0,72.1,20.6,605.0,18.9,11.0,463.0,14.47,707.0,233.0,33.0,164.0,554,17.3,"2,259",70.6,763,"1,868",40.8,"1,077",33.7,0.3,384.0,12.0,29.6,5.1,"1,087",33.97,14.8
American (Patriot),,711,22.22,-0.5,436.0,448.0,0.97,"2,093",65.4,754,"1,665",45.3,17.0,15.0,53.1,319.0,455.0,70.1,14.2,482.0,15.1,3.0,390.0,12.19,561.0,216.0,38.5,204.0,589,18.4,"2,110",65.9,785,"1,630",48.2,931,29.1,1.2,259.0,8.09,34.6,6.4,970,30.31,10.0
App State (Sun Belt),,854,26.69,5.7,417.0,352.0,1.18,"2,248",70.3,753,"1,870",40.3,16.0,16.0,50.0,367.0,543.0,67.6,17.0,442.0,13.8,3.0,399.0,12.47,729.0,235.0,32.2,243.0,726,22.7,"2,067",64.6,819,"1,854",44.2,"1,152",36.0,-0.3,288.0,9.0,33.5,7.6,"1,142",35.69,11.5
Arizona (Pac-12),2,"1,020",29.14,10.7,662.0,468.0,1.41,"2,866",81.9,905,"2,216",40.8,28.0,7.0,80.0,525.0,742.0,70.8,21.2,593.0,16.9,7.0,431.0,12.31,858.0,277.0,32.3,295.0,781,22.3,"2,490",71.1,"1,023","2,072",49.4,"1,163",33.2,6.1,356.0,10.17,37.8,8.4,"1,376",39.31,15.0
Arizona St. (Pac-12),11,920,25.56,3.1,515.0,422.0,1.22,"2,559",71.1,836,"2,096",39.9,23.0,13.0,63.9,465.0,675.0,68.9,18.8,668.0,18.6,13.0,505.0,14.03,818.0,279.0,34.1,274.0,851,23.6,"2,447",68.0,910,"2,163",42.1,"1,382",38.4,-1.9,395.0,10.97,32.2,7.6,"1,315",36.53,12.9
Ark.-Pine Bluff (SWAC),,757,24.42,-2.8,396.0,473.0,0.84,"2,074",66.9,738,"1,689",43.7,10.0,21.0,32.3,427.0,587.0,72.7,18.9,611.0,19.7,26.0,497.0,16.03,603.0,197.0,32.7,245.0,776,25.0,"2,162",69.7,701,"1,791",39.1,"1,127",36.4,-1.8,314.0,10.13,31.6,7.9,"1,071",34.55,13.8
Arkansas (SEC),8,899,24.97,6.1,462.0,458.0,1.01,"2,666",74.1,847,"1,996",42.4,22.0,14.0,61.1,565.0,810.0,69.8,22.5,694.0,19.3,25.0,519.0,14.42,608.0,189.0,31.1,179.0,572,15.9,"2,446",67.9,961,"2,063",46.6,"1,189",33.0,2.3,373.0,10.36,31.3,5.0,"1,272",35.33,15.7
Arkansas St. (Sun Belt),,783,23.73,-1.9,433.0,385.0,1.12,"2,169",65.7,778,"1,776",43.8,13.0,20.0,39.4,406.0,600.0,67.7,18.2,553.0,16.8,10.0,382.0,11.58,596.0,219.0,36.7,209.0,593,18.0,"2,232",67.6,777,"1,799",43.2,"1,093",33.1,0.5,325.0,9.85,35.2,6.3,"1,108",33.58,12.3
Army West Point (Patriot),,852,25.82,2.7,432.0,427.0,1.01,"2,412",73.1,852,"1,909",44.6,17.0,16.0,51.5,390.0,570.0,68.4,17.3,532.0,16.1,6.0,356.0,10.79,733.0,243.0,33.2,252.0,718,21.8,"2,322",70.4,885,"1,853",47.8,"1,002",30.4,3.9,280.0,8.48,35.1,7.6,"1,132",34.3,11.8
Auburn (SEC),9,835,24.56,5.1,479.0,414.0,1.16,"2,474",72.8,788,"1,935",40.7,21.0,13.0,61.8,503.0,723.0,69.6,21.3,655.0,19.3,12.0,442.0,13.0,667.0,192.0,28.8,221.0,701,20.6,"2,302",67.7,875,"1,991",43.9,"1,211",35.6,0.6,396.0,11.65,31.5,6.5,"1,231",36.21,14.8
Austin Peay (ASUN),,660,21.29,-5.6,387.0,364.0,1.06,"2,067",66.7,796,"1,664",47.8,9.0,22.0,29.0,359.0,495.0,72.5,16.0,525.0,16.9,7.0,421.0,13.58,593.0,202.0,34.1,222.0,690,22.3,"2,241",72.3,743,"1,790",41.5,"1,092",35.2,-3.9,312.0,10.06,32.2,7.2,972,31.35,11.6
BYU (Big 12),,897,26.38,5.6,501.0,481.0,1.04,"2,568",75.5,819,"1,897",43.2,19.0,15.0,55.9,466.0,650.0,71.7,19.1,659.0,19.4,12.0,464.0,13.65,715.0,243.0,34.0,276.0,812,23.9,"2,376",69.9,913,"2,008",45.5,"1,084",31.9,5.5,374.0,11.0,34.0,8.1,"1,271",37.38,13.7
Ball St. (MAC),,810,25.31,4.8,422.0,391.0,1.08,"2,445",76.4,823,"1,873",43.9,20.0,12.0,62.5,523.0,759.0,68.9,23.7,525.0,16.4,8.0,373.0,11.66,619.0,237.0,38.3,240.0,651,20.3,"2,292",71.6,841,"1,785",47.1,"1,054",32.9,2.9,337.0,10.53,36.9,7.5,"1,147",35.84,16.3
Baylor (Big 12),3,764,22.47,6.8,483.0,413.0,1.17,"2,619",77.0,864,"1,902",45.4,23.0,11.0,67.6,536.0,720.0,74.4,21.2,590.0,17.4,8.0,460.0,13.53,720.0,234.0,32.5,323.0,878,25.8,"2,389",70.3,880,"1,957",45.0,"1,086",31.9,2.0,391.0,11.5,36.8,9.5,"1,155",33.97,15.8
