Rank,Team,GM,W-L,AST,TO,Ratio
1,Virginia (ACC),33,25-8,519,282,1.84
2,Colgate (Patriot),35,26-9,637,357,1.78
3,Iowa (Big Ten),33,19-14,541,325,1.66
4,Marquette (Big East),36,29-7,624,386,1.62
5,Virginia Tech (ACC),34,19-15,528,336,1.57
6,Oral Roberts (Summit League),35,30-5,514,329,1.56
7,Liberty (ASUN),36,27-9,580,373,1.55
8,Toledo (MAC),35,27-8,521,336,1.55
9,Xavier (Big East),37,27-10,705,459,1.54
10,Penn St. (Big Ten),37,23-14,508,332,1.53
11,Gonzaga (WCC),37,31-6,602,397,1.52
12,Furman (SoCon),36,28-8,600,397,1.51
13,Marshall (Sun Belt),32,24-8,561,372,1.51
14,Colorado St. (Mountain West),33,15-18,545,368,1.48
15,Houston (AAC),37,33-4,544,370,1.47
16,Vermont (America East),34,23-11,465,318,1.46
17,Cincinnati (AAC),36,23-13,559,384,1.46
18,UCLA (Pac-12),37,31-6,538,371,1.45
19,Missouri (SEC),35,25-10,559,390,1.43
20,Iona (MAAC),35,27-8,520,367,1.42
21,Arizona (Pac-12),35,28-7,662,468,1.41
22,UMBC (America East),32,18-14,456,323,1.41
23,Cornell (Ivy League),28,17-11,489,348,1.41
24,Texas (Big 12),38,29-9,614,439,1.40
25,Nevada (Mountain West),33,22-11,474,339,1.40
26,Purdue (Big Ten),35,29-6,542,388,1.40
27,Tennessee (SEC),36,25-11,601,431,1.39
28,Youngstown St. (Horizon),34,24-10,521,376,1.39
29,Tulane (AAC),31,20-11,485,351,1.38
30,Utah St. (Mountain West),35,26-9,585,426,1.37
31,Saint Louis (Atlantic 10),33,21-12,543,399,1.36
32,UConn (Big East),39,31-8,684,503,1.36
33,TCU (Big 12),35,22-13,565,416,1.36
34,NC State (ACC),34,23-11,434,320,1.36
35,Creighton (Big East),37,24-13,581,429,1.35
36,Notre Dame (ACC),32,11-21,379,281,1.35
37,Wisconsin (Big Ten),35,20-15,406,302,1.34
38,Michigan St. (Big Ten),34,21-13,497,370,1.34
39,Hofstra (CAA),35,25-10,504,376,1.34
40,Belmont (MVC),32,21-11,488,365,1.34
41,Lafayette (Patriot),34,11-23,528,396,1.33
42,Kansas (Big 12),36,28-8,590,444,1.33
43,Northwestern (Big Ten),34,22-12,434,327,1.33
44,Georgia Tech (ACC),33,15-18,463,349,1.33
45,Indiana (Big Ten),35,23-12,533,402,1.33
46,Rutgers (Big Ten),34,19-15,512,388,1.32
47,Chattanooga (SoCon),35,18-17,536,407,1.32
48,Indiana St. (MVC),36,23-13,570,434,1.31
49,Yale (Ivy League),30,21-9,439,335,1.31
50,Stetson (ASUN),31,17-14,429,329,1.30
51,Miami (FL) (ACC),37,29-8,535,411,1.30
52,Drake (MVC),35,27-8,478,368,1.30
53,Navy (Patriot),31,18-13,459,355,1.29
54,Clemson (ACC),34,23-11,485,376,1.29
55,FDU (NEC),37,21-16,545,425,1.28
56,Northern Ariz. (Big Sky),35,12-23,484,378,1.28
57,Kentucky (SEC),34,22-12,512,400,1.28
58,Duquesne (Atlantic 10),33,20-13,505,395,1.28
59,Western Ill. (Summit League),30,16-14,410,322,1.27
60,Pittsburgh (ACC),36,24-12,509,400,1.27
61,Dayton (Atlantic 10),34,22-12,518,411,1.26
62,Air Force (Mountain West),32,14-18,491,391,1.26
63,UC Santa Barbara (Big West),35,27-8,495,397,1.25
64,Providence (Big East),33,21-12,482,387,1.25
65,Eastern Ky. (ASUN),37,23-14,552,444,1.24
66,Abilene Christian (WAC),30,13-17,471,379,1.24
66,California Baptist (WAC),33,17-16,471,379,1.24
68,UNC Greensboro (SoCon),32,20-12,465,376,1.24
69,Syracuse (ACC),32,17-15,459,373,1.23
70,Charlotte (CUSA),36,22-14,470,382,1.23
71,Kansas St. (Big 12),36,26-10,611,498,1.23
72,Fla. Atlantic (CUSA),39,35-4,562,460,1.22
73,Arizona St. (Pac-12),36,23-13,515,422,1.22
74,New Mexico (Mountain West),34,22-12,466,382,1.22
75,Duke (ACC),36,27-9,526,432,1.22
76,Southern Miss. (Sun Belt),33,25-8,489,403,1.21
77,Davidson (Atlantic 10),32,16-16,420,347,1.21
78,Canisius (MAAC),30,10-20,431,357,1.21
79,UC Irvine (Big West),35,23-12,518,431,1.20
80,Utah (Pac-12),32,17-15,462,385,1.20
81,Akron (MAC),33,22-11,443,370,1.20
82,A&M-Corpus Christi (Southland),35,24-11,536,448,1.20
83,Stanford (Pac-12),33,14-19,490,413,1.19
84,Northern Ky. (Horizon),35,22-13,468,395,1.18
85,App State (Sun Belt),32,16-16,417,352,1.18
86,Rice (CUSA),35,19-16,533,450,1.18
87,Wright St. (Horizon),33,18-15,495,419,1.18
88,New Hampshire (America East),30,15-15,350,297,1.18
89,Louisiana (Sun Belt),34,26-8,489,415,1.18
90,Saint Mary's (CA) (WCC),35,27-8,439,373,1.18
91,Western Caro. (SoCon),34,18-16,428,365,1.17
92,Baylor (Big 12),34,23-11,483,413,1.17
93,Memphis (AAC),35,26-9,546,467,1.17
94,Lipscomb (ASUN),33,20-13,466,399,1.17
95,Utah Valley (WAC),37,28-9,594,509,1.17
96,South Alabama (Sun Belt),35,19-16,399,342,1.17
97,Michigan (Big Ten),34,18-16,414,356,1.16
98,Penn (Ivy League),30,17-13,444,382,1.16
99,Portland (WCC),33,14-19,488,420,1.16
100,Southeastern La. (Southland),32,18-14,453,390,1.16
101,Morehead St. (OVC),34,22-12,467,403,1.16
102,Auburn (SEC),34,21-13,479,414,1.16
103,Kennesaw St. (ASUN),35,26-9,502,434,1.16
104,Portland St. (Big Sky),31,12-19,431,375,1.15
105,Cleveland St. (Horizon),35,21-14,465,406,1.15
106,Tennessee Tech (OVC),33,16-17,476,416,1.14
107,Col. of Charleston (CAA),35,31-4,478,418,1.14
108,UT Martin (OVC),33,19-14,450,394,1.14
109,Wofford (SoCon),33,17-16,412,361,1.14
110,Towson (CAA),33,21-12,461,404,1.14
111,Bradley (MVC),35,25-10,465,409,1.14
112,Eastern Wash. (Big Sky),34,23-11,523,461,1.13
113,Oakland (Horizon),32,13-19,384,339,1.13
114,Princeton (Ivy League),32,23-9,436,385,1.13
115,Bowling Green (MAC),31,11-20,428,378,1.13
116,Minnesota (Big Ten),31,9-22,454,401,1.13
117,Jacksonville (ASUN),29,13-16,376,333,1.13
118,UAB (CUSA),39,29-10,551,488,1.13
119,Arkansas St. (Sun Belt),33,13-20,433,385,1.12
