Rank,Team,GM,W-L,FGM,FGA,FG%
1,Gonzaga (WCC),37,31-6,"1,188","2,282",52.1
2,Colgate (Patriot),35,26-9,"1,042","2,038",51.1
3,Wright St. (Horizon),33,18-15,"1,031","2,077",49.6
4,Toledo (MAC),35,27-8,"1,057","2,138",49.4
5,Arizona (Pac-12),35,28-7,"1,023","2,072",49.4
6,UC Santa Barbara (Big West),35,27-8,924,"1,875",49.3
7,Xavier (Big East),37,27-10,"1,109","2,256",49.2
8,Eastern Wash. (Big Sky),34,23-11,931,"1,901",49
9,Colorado St. (Mountain West),33,15-18,873,"1,790",48.8
10,Youngstown St. (Horizon),34,24-10,"1,017","2,088",48.7
11,Denver (Summit League),32,15-17,835,"1,716",48.7
12,Indiana (Big Ten),35,23-12,994,"2,044",48.6
13,Marquette (Big East),36,29-7,"1,056","2,174",48.6
14,UMass Lowell (America East),34,26-8,965,"1,995",48.4
15,Indiana St. (MVC),36,23-13,"1,008","2,088",48.3
16,Louisiana (Sun Belt),34,26-8,950,"1,972",48.2
17,American (Patriot),32,17-15,785,"1,630",48.2
18,New Mexico (Mountain West),34,22-12,983,"2,043",48.1
19,Hofstra (CAA),35,25-10,"1,001","2,084",48
20,Miami (FL) (ACC),37,29-8,"1,058","2,205",48
21,Utah St. (Mountain West),35,26-9,947,"1,975",47.9
22,Memphis (AAC),35,26-9,"1,004","2,096",47.9
23,Army West Point (Patriot),33,17-16,885,"1,853",47.8
24,Furman (SoCon),36,28-8,"1,016","2,129",47.7
25,Yale (Ivy League),30,21-9,841,"1,764",47.7
26,Lipscomb (ASUN),33,20-13,943,"1,983",47.6
27,UNC Asheville (Big South),35,27-8,897,"1,890",47.5
28,Oral Roberts (Summit League),35,30-5,"1,058","2,231",47.4
29,Vermont (America East),34,23-11,901,"1,901",47.4
30,Liberty (ASUN),36,27-9,963,"2,032",47.4
31,Texas (Big 12),38,29-9,"1,083","2,289",47.3
32,Charlotte (CUSA),36,22-14,885,"1,871",47.3
33,Wofford (SoCon),33,17-16,906,"1,916",47.3
34,SFA (WAC),32,19-13,867,"1,834",47.3
