Rank,Team,GM,W-L,Fouls,PFPG,DQ
1,Colgate (Patriot),35,26-9,438,12.5,2
2,Oral Roberts (Summit League),35,30-5,453,12.9,3
3,Creighton (Big East),37,24-13,486,13.1,2
4,Syracuse (ACC),32,17-15,427,13.3,10
5,Butler (Big East),32,14-18,429,13.4,5
6,Charlotte (CUSA),36,22-14,489,13.6,3
7,Purdue (Big Ten),35,29-6,479,13.7,0
8,App State (Sun Belt),32,16-16,442,13.8,3
9,Dayton (Atlantic 10),34,22-12,470,13.8,10
10,Lipscomb (ASUN),33,20-13,460,13.9,2
11,Oakland (Horizon),32,13-19,448,14,9
12,North Florida (ASUN),31,14-17,435,14,6
13,Central Conn. St. (NEC),32,10-22,451,14.1,3
14,Jacksonville (ASUN),29,13-16,409,14.1,8
15,Hartford (DI Independent),28,5-23,395,14.1,6
16,Nebraska (Big Ten),32,16-16,452,14.1,3
17,Wofford (SoCon),33,17-16,468,14.2,7
18,Miami (FL) (ACC),37,29-8,527,14.2,5
19,Notre Dame (ACC),32,11-21,456,14.3,7
19,South Dakota St. (Summit League),32,19-13,456,14.3,9
21,Virginia (ACC),33,25-8,471,14.3,4
22,Hofstra (CAA),35,25-10,503,14.4,14
23,Georgetown (Big East),32,7-25,462,14.4,14
24,Western Ill. (Summit League),30,16-14,434,14.5,7
25,Drexel (CAA),32,17-15,464,14.5,2
26,Harvard (Ivy League),28,14-14,408,14.6,4
27,Murray St. (MVC),32,17-15,467,14.6,2
27,Purdue Fort Wayne (Horizon),32,17-15,467,14.6,3
27,UMBC (America East),32,18-14,467,14.6,3
30,South Alabama (Sun Belt),35,19-16,512,14.6,5
31,Oregon (Pac-12),36,21-15,529,14.7,4
32,Iowa (Big Ten),33,19-14,488,14.8,6
33,Western Ky. (CUSA),33,17-16,489,14.8,8
34,Vermont (America East),34,23-11,504,14.8,8
35,Maine (America East),30,13-17,446,14.9,4
36,Drake (MVC),35,27-8,522,14.9,5
37,Wichita St. (AAC),32,17-15,478,14.9,10
38,Liberty (ASUN),36,27-9,540,15,5
38,Providence (Big East),33,21-12,495,15,5
40,American (Patriot),32,17-15,482,15.1,3
41,New Hampshire (America East),30,15-15,452,15.1,6
42,Richmond (Atlantic 10),33,15-18,499,15.1,3
42,Stony Brook (CAA),33,11-22,499,15.1,8
44,ULM (Sun Belt),32,11-21,484,15.1,10
44,VMI (SoCon),32,7-25,484,15.1,12
46,Davidson (Atlantic 10),32,16-16,485,15.2,4
47,Mississippi St. (SEC),34,21-13,517,15.2,6
48,Sacred Heart (NEC),33,16-17,502,15.2,3
49,Utah (Pac-12),32,17-15,487,15.2,9
50,Fairfield (MAAC),31,13-18,472,15.2,10
51,Duke (ACC),36,27-9,549,15.3,8
52,Northern Ky. (Horizon),35,22-13,535,15.3,11
53,St. Francis Brooklyn (NEC),30,14-16,460,15.3,10
54,ETSU (SoCon),32,12-20,491,15.3,6
55,Lafayette (Patriot),34,11-23,523,15.4,3
56,Marist (MAAC),33,13-20,509,15.4,4
56,North Dakota St. (Summit League),33,16-17,509,15.4,7
58,Texas Tech (Big 12),32,16-16,494,15.4,4
59,Rice (CUSA),35,19-16,541,15.5,6
60,Penn St. (Big Ten),37,23-14,572,15.5,7
61,Tulsa (AAC),30,5-25,464,15.5,5
62,Virginia Tech (ACC),34,19-15,526,15.5,5
63,UNC Asheville (Big South),35,27-8,542,15.5,13
64,UCLA (Pac-12),37,31-6,573,15.5,9
65,Michigan (Big Ten),34,18-16,527,15.5,9
66,FGCU (ASUN),32,17-15,497,15.5,7
66,Missouri St. (MVC),32,17-15,497,15.5,8
66,Sacramento St. (Big Sky),32,14-18,497,15.5,8
69,Minnesota (Big Ten),31,9-22,482,15.5,8
70,Bucknell (Patriot),32,12-20,498,15.6,3
70,UNI (MVC),32,14-18,498,15.6,15
72,San Jose St. (Mountain West),35,21-14,545,15.6,6
73,Wright St. (Horizon),33,18-15,514,15.6,6
