Rank,Team,GM,W-L,FTA PG
1,UTRGV (WAC),32,15-17,25.1
2,Texas A&M (SEC),35,25-10,24.9
3,UC Davis (Big West),32,18-14,24.7
4,Ball St. (MAC),32,20-12,23.7
5,Samford (SoCon),32,21-11,23.6
6,New Mexico (Mountain West),34,22-12,23.5
7,Portland (WCC),33,14-19,23.5
8,High Point (Big South),31,14-17,23.3
9,Montana St. (Big Sky),35,25-10,23.3
10,SIUE (OVC),33,19-14,23.2
11,Southern Utah (WAC),37,24-13,23.2
12,Southeast Mo. St. (OVC),36,19-17,23
13,Alabama (SEC),37,31-6,22.9
14,James Madison (Sun Belt),33,22-11,22.7
15,West Virginia (Big 12),34,19-15,22.6
16,Grambling (SWAC),33,24-9,22.6
17,Arkansas (SEC),36,22-14,22.5
18,UAB (CUSA),39,29-10,22.5
19,Georgia (SEC),32,16-16,22.4
20,Houston Christian (Southland),32,10-22,22.4
21,North Carolina (ACC),33,20-13,22.4
22,Denver (Summit League),32,15-17,22.3
23,VCU (Atlantic 10),35,27-8,22.2
24,UNC Asheville (Big South),35,27-8,22.1
25,Seton Hall (Big East),33,17-16,22
26,UTEP (CUSA),32,14-18,21.8
27,Providence (Big East),33,21-12,21.7
28,Tennessee St. (OVC),32,18-14,21.7
29,Fordham (Atlantic 10),33,25-8,21.7
30,UT Martin (OVC),33,19-14,21.5
31,Long Beach St. (Big West),33,17-16,21.5
31,Nevada (Mountain West),33,22-11,21.5
33,A&M-Corpus Christi (Southland),35,24-11,21.4
34,Tulane (AAC),31,20-11,21.4
35,SFA (WAC),32,19-13,21.4
36,East Carolina (AAC),33,16-17,21.3
36,Norfolk St. (MEAC),33,22-11,21.3
38,Winthrop (Big South),32,15-17,21.3
39,Auburn (SEC),34,21-13,21.3
40,Toledo (MAC),35,27-8,21.3
41,Memphis (AAC),35,26-9,21.2
42,Arizona (Pac-12),35,28-7,21.2
43,Baylor (Big 12),34,23-11,21.2
43,Louisiana (Sun Belt),34,26-8,21.2
45,Utah Valley (WAC),37,28-9,21.1
46,Rhode Island (Atlantic 10),31,9-22,21.1
47,New Orleans (Southland),32,12-20,21.1
48,Kansas St. (Big 12),36,26-10,20.9
49,Old Dominion (Sun Belt),31,19-12,20.8
50,Coppin St. (MEAC),32,9-23,20.8
51,Gonzaga (WCC),37,31-6,20.8
52,TCU (Big 12),35,22-13,20.7
53,Central Mich. (MAC),31,10-21,20.7
54,Col. of Charleston (CAA),35,31-4,20.7
54,Kennesaw St. (ASUN),35,26-9,20.7
56,Cal St. Fullerton (Big West),33,20-13,20.6
57,Alcorn (SWAC),32,18-14,20.6
57,UTSA (CUSA),32,10-22,20.6
59,Purdue (Big Ten),35,29-6,20.6
60,UNLV (Mountain West),32,19-13,20.6
61,UNCW (CAA),34,24-10,20.5
62,Little Rock (OVC),31,10-21,20.4
63,Portland St. (Big Sky),31,12-19,20.4
64,Iowa (Big Ten),33,19-14,20.3
65,Campbell (Big South),34,16-18,20.3
66,Texas Southern (SWAC),35,14-21,20.3
67,Fairfield (MAAC),31,13-18,20.2
68,Illinois (Big Ten),33,20-13,20.2
69,Furman (SoCon),36,28-8,20.2
70,George Washington (Atlantic 10),32,16-16,20.1
71,Bryant (America East),30,17-13,20.1
72,Bowling Green (MAC),31,11-20,20.1
73,Grand Canyon (WAC),36,24-12,20.1
74,Milwaukee (Horizon),34,22-12,20
75,Mississippi Val. (SWAC),32,5-27,20
76,New Mexico St. (WAC),24,9-15,20
77,Florida (SEC),33,16-17,19.9
