Rank,Team,GM,W-L,OPP REB,OPP RPG,REB MAR
1,Purdue (Big Ten),35,29-6,975,27.9,10.8
2,Kentucky (SEC),34,22-12,"1,022",30.1,9.3
3,UConn (Big East),39,31-8,"1,173",30.1,9.3
4,UMass Lowell (America East),34,26-8,"1,029",30.3,8.4
5,Duke (ACC),36,27-9,"1,108",30.8,7.9
6,San Jose St. (Mountain West),35,21-14,"1,067",30.5,7.7
7,Alabama (SEC),37,31-6,"1,383",37.4,7.3
8,Houston (AAC),37,33-4,"1,173",31.7,7.2
9,Saint Mary's (CA) (WCC),35,27-8,"1,000",28.6,6.7
10,Tennessee (SEC),36,25-11,"1,147",31.9,6.5
11,Col. of Charleston (CAA),35,31-4,"1,189",34,6.3
12,Sam Houston (WAC),34,26-8,"1,040",30.6,6.2
13,Arizona (Pac-12),35,28-7,"1,163",33.2,6.1
14,Louisiana (Sun Belt),34,26-8,"1,035",30.4,6.1
15,Princeton (Ivy League),32,23-9,"1,055",33,6
16,Towson (CAA),33,21-12,"1,033",31.3,6
17,Fla. Atlantic (CUSA),39,35-4,"1,286",33,6
18,Sacramento St. (Big Sky),32,14-18,950,29.7,6
19,Yale (Ivy League),30,21-9,957,31.9,5.9
20,Long Beach St. (Big West),33,17-16,"1,148",34.8,5.8
21,Providence (Big East),33,21-12,"1,069",32.4,5.7
22,Gonzaga (WCC),37,31-6,"1,171",31.6,5.5
23,BYU (Big 12),34,19-15,"1,084",31.9,5.5
24,UAB (CUSA),39,29-10,"1,381",35.4,5.5
25,Xavier (Big East),37,27-10,"1,195",32.3,5.4
26,North Carolina (ACC),33,20-13,"1,127",34.2,5.4
27,Bryant (America East),30,17-13,"1,021",34,5.3
28,Oregon (Pac-12),36,21-15,"1,165",32.4,5.3
29,UC Riverside (Big West),34,22-12,"1,078",31.7,5.1
30,Dayton (Atlantic 10),34,22-12,"1,057",31.1,5.1
31,Wagner (NEC),28,15-13,865,30.9,5
32,Eastern Wash. (Big Sky),34,23-11,"1,055",31,4.9
33,Texas A&M (SEC),35,25-10,"1,122",32.1,4.7
34,Western Mich. (MAC),31,8-23,"1,000",32.3,4.7
35,Santa Clara (WCC),33,23-10,"1,106",33.5,4.7
36,Norfolk St. (MEAC),33,22-11,"1,032",31.3,4.6
37,Rider (MAAC),30,16-14,947,31.6,4.6
38,St. John's (NY) (Big East),33,18-15,"1,178",35.7,4.4
39,Mississippi St. (SEC),34,21-13,"1,138",33.5,4.4
40,North Texas (CUSA),38,31-7,"1,122",29.5,4.4
41,LMU (CA) (WCC),31,19-12,983,31.7,4.4
42,Saint Louis (Atlantic 10),33,21-12,"1,110",33.6,4.4
43,UC Davis (Big West),32,18-14,"1,050",32.8,4.3
44,Utah (Pac-12),32,17-15,"1,120",35,4.2
45,San Diego St. (Mountain West),39,32-7,"1,255",32.2,4.1
46,Denver (Summit League),32,15-17,995,31.1,4.1
47,Harvard (Ivy League),28,14-14,902,32.2,4
48,Illinois (Big Ten),33,20-13,"1,115",33.8,4
49,Utah St. (Mountain West),35,26-9,"1,103",31.5,4
50,Missouri St. (MVC),32,17-15,997,31.2,4
51,Jacksonville St. (ASUN),31,13-18,994,32.1,4
52,Army West Point (Patriot),33,17-16,"1,002",30.4,3.9
53,James Madison (Sun Belt),33,22-11,"1,128",34.2,3.9
54,Bradley (MVC),35,25-10,"1,107",31.6,3.8
54,Penn (Ivy League),30,17-13,"1,014",33.8,3.8
56,Creighton (Big East),37,24-13,"1,230",33.2,3.8
57,A&M-Corpus Christi (Southland),35,24-11,"1,175",33.6,3.7
58,Massachusetts (Atlantic 10),31,15-16,"1,071",34.5,3.7
59,Utah Valley (WAC),37,28-9,"1,354",36.6,3.7
60,Kansas City (Summit League),32,11-21,"1,065",33.3,3.7
61,Oklahoma St. (Big 12),36,20-16,"1,213",33.7,3.7
62,Southern Utah (WAC),37,24-13,"1,292",34.9,3.6
63,Gardner-Webb (Big South),31,15-16,985,31.8,3.6
64,Liberty (ASUN),36,27-9,"1,089",30.3,3.6
65,UNC Greensboro (SoCon),32,20-12,"1,065",33.3,3.6
66,Colorado (Pac-12),35,18-17,"1,175",33.6,3.6
67,N.C. Central (MEAC),30,18-12,966,32.2,3.6
68,Boise St. (Mountain West),34,24-10,"1,096",32.2,3.5
68,UTRGV (WAC),32,15-17,"1,099",34.3,3.5
70,Detroit Mercy (Horizon),33,14-19,"1,097",33.2,3.5
71,South Fla. (AAC),32,14-18,"1,087",34,3.4
72,Morehead St. (OVC),34,22-12,"1,098",32.3,3.4
73,California Baptist (WAC),33,17-16,"1,118",33.9,3.3
73,George Mason (Atlantic 10),33,20-13,"1,071",32.5,3.3
75,Quinnipiac (MAAC),32,20-12,"1,092",34.1,3.3
76,Iowa St. (Big 12),33,19-14,"1,005",30.5,3.2
77,Longwood (Big South),32,20-12,"1,009",31.5,3.2
78,UC Irvine (Big West),35,23-12,"1,185",33.9,3.2
79,Ohio (MAC),33,19-14,"1,135",34.4,3.2
79,Lipscomb (ASUN),33,20-13,"1,094",33.2,3.2
81,Northeastern (CAA),30,10-20,988,32.9,3.1
82,Hawaii (Big West),33,22-11,"1,064",32.2,3.1
83,Michigan St. (Big Ten),34,21-13,"1,110",32.6,3
84,Drake (MVC),35,27-8,"1,146",32.7,3
85,Eastern Ky. (ASUN),37,23-14,"1,372",37.1,2.9
85,UCLA (Pac-12),37,31-6,"1,198",32.4,2.9
87,Grand Canyon (WAC),36,24-12,"1,211",33.6,2.9
88,Akron (MAC),33,22-11,"1,081",32.8,2.9
89,North Dakota St. (Summit League),33,16-17,"1,095",33.2,2.9
89,Stanford (Pac-12),33,14-19,"1,041",31.5,2.9
91,Ball St. (MAC),32,20-12,"1,054",32.9,2.9
92,Ohio St. (Big Ten),35,16-19,"1,159",33.1,2.8
93,Fordham (Atlantic 10),33,25-8,"1,127",34.2,2.8
94,Old Dominion (Sun Belt),31,19-12,"1,089",35.1,2.8
95,Washington St. (Pac-12),34,17-17,"1,089",32,2.8
96,Milwaukee (Horizon),34,22-12,"1,237",36.4,2.7
97,West Virginia (Big 12),34,19-15,"1,062",31.2,2.6
98,Miami (FL) (ACC),37,29-8,"1,188",32.1,2.6
99,Buffalo (MAC),32,15-17,"1,125",35.2,2.6
100,Saint Peter's (MAAC),32,14-18,"1,037",32.4,2.6
101,Cincinnati (AAC),36,23-13,"1,249",34.7,2.6
102,Southern Miss. (Sun Belt),33,25-8,"1,119",33.9,2.5
103,Rutgers (Big Ten),34,19-15,"1,166",34.3,2.5
104,Siena (MAAC),32,17-15,"1,019",31.8,2.5
105,Howard (MEAC),35,22-13,"1,168",33.4,2.4
106,Mercer (SoCon),33,14-19,"1,065",32.3,2.4
107,Texas Tech (Big 12),32,16-16,"1,049",32.8,2.4
108,Chattanooga (SoCon),35,18-17,"1,185",33.9,2.4
109,Jacksonville (ASUN),29,13-16,901,31.1,2.3
110,Arkansas (SEC),36,22-14,"1,189",33,2.3
111,Montana St. (Big Sky),35,25-10,"1,074",30.7,2.3
112,Youngstown St. (Horizon),34,24-10,"1,127",33.1,2.3
113,UTEP (CUSA),32,14-18,"1,050",32.8,2.3
114,Wright St. (Horizon),33,18-15,"1,138",34.5,2.2
115,Samford (SoCon),32,21-11,"1,066",33.3,2.2
116,Colgate (Patriot),35,26-9,"1,103",31.5,2.2
117,Wichita St. (AAC),32,17-15,"1,094",34.2,2.2
117,UT Arlington (WAC),32,11-21,"1,079",33.7,2.2
117,Drexel (CAA),32,17-15,"1,051",32.8,2.2
120,East Carolina (AAC),33,16-17,"1,153",34.9,2.1
121,Louisiana Tech (CUSA),33,15-18,"1,077",32.6,2.1
122,Radford (Big South),36,21-15,"1,128",31.3,2.1
123,UT Martin (OVC),33,19-14,"1,226",37.2,2
123,Grambling (SWAC),33,24-9,"1,129",34.2,2
125,Baylor (Big 12),34,23-11,"1,086",31.9,2
126,Texas Southern (SWAC),35,14-21,"1,242",35.5,2
127,Clemson (ACC),34,23-11,"1,128",33.2,2
127,Bucknell (Patriot),32,12-20,"1,020",31.9,2
129,Indiana St. (MVC),36,23-13,"1,174",32.6,2
130,New Mexico (Mountain West),34,22-12,"1,193",35.1,2
130,Western Caro. (SoCon),34,18-16,"1,189",35,2
132,Wofford (SoCon),33,17-16,"1,023",31,2
133,New Mexico St. (WAC),24,9-15,806,33.6,1.9
134,Seattle U (WAC),32,20-12,"1,125",35.2,1.9
135,Iowa (Big Ten),33,19-14,"1,145",34.7,1.9
135,Middle Tenn. (CUSA),33,19-14,"1,047",31.7,1.9
137,Navy (Patriot),31,18-13,"1,010",32.6,1.9
138,Texas St. (Sun Belt),35,16-19,"1,078",30.8,1.9
139,Boston U. (Patriot),32,15-17,"1,077",33.7,1.8
140,Coastal Carolina (Sun Belt),31,11-20,"1,098",35.4,1.8
141,UCF (AAC),34,19-15,"1,130",33.2,1.8
141,San Francisco (WCC),34,20-14,"1,113",32.7,1.8
143,ETSU (SoCon),32,12-20,"1,066",33.3,1.8
144,NC State (ACC),34,23-11,"1,185",34.9,1.7
145,Chicago St. (DI Independent),31,11-20,"1,037",33.5,1.7
146,Illinois St. (MVC),32,11-21,992,31,1.7
147,Stetson (ASUN),31,17-14,"1,034",33.4,1.6
148,Furman (SoCon),36,28-8,"1,204",33.4,1.6
149,Ole Miss (SEC),33,12-21,"1,127",34.2,1.6
150,UC Santa Barbara (Big West),35,27-8,"1,057",30.2,1.6
151,Georgia St. (Sun Belt),31,10-21,"1,021",32.9,1.6
152,SIUE (OVC),33,19-14,"1,171",35.5,1.5
152,Jackson St. (SWAC),33,14-19,"1,086",32.9,1.5
154,Pittsburgh (ACC),36,24-12,"1,246",34.6,1.5
155,VMI (SoCon),32,7-25,"1,084",33.9,1.5
156,Indiana (Big Ten),35,23-12,"1,199",34.3,1.5
156,Maryland (Big Ten),35,22-13,"1,124",32.1,1.5
