Rank,Team,GM,W-L,OPP PTS,OPP PPG
1,North Texas (CUSA),38,31-7,"2,121",55.8
2,Houston (AAC),37,33-4,"2,126",57.5
3,Tennessee (SEC),36,25-11,"2,084",57.9
4,Sam Houston (WAC),34,26-8,"2,015",59.3
5,Saint Mary's (CA) (WCC),35,27-8,"2,105",60.1
6,Virginia (ACC),33,25-8,"1,996",60.5
7,UCLA (Pac-12),37,31-6,"2,245",60.7
8,Liberty (ASUN),36,27-9,"2,194",60.9
9,Mississippi St. (SEC),34,21-13,"2,073",61
10,Dayton (Atlantic 10),34,22-12,"2,075",61
11,Rutgers (Big Ten),34,19-15,"2,079",61.1
12,Southern Ill. (MVC),33,23-10,"2,026",61.4
13,Wagner (NEC),28,15-13,"1,727",61.7
14,Hawaii (Big West),33,22-11,"2,039",61.8
15,Grambling (SWAC),33,24-9,"2,054",62.2
16,Drexel (CAA),32,17-15,"1,997",62.4
17,Charlotte (CUSA),36,22-14,"2,253",62.6
18,Jacksonville (ASUN),29,13-16,"1,816",62.6
19,Iowa St. (Big 12),33,19-14,"2,067",62.6
20,Bradley (MVC),35,25-10,"2,195",62.7
21,Purdue (Big Ten),35,29-6,"2,196",62.7
22,Northwestern (Big Ten),34,22-12,"2,134",62.8
23,VCU (Atlantic 10),35,27-8,"2,202",62.9
24,Missouri St. (MVC),32,17-15,"2,021",63.2
25,Yale (Ivy League),30,21-9,"1,897",63.2
26,San Diego St. (Mountain West),39,32-7,"2,475",63.5
27,Maryland (Big Ten),35,22-13,"2,222",63.5
28,Northern Ky. (Horizon),35,22-13,"2,224",63.5
29,Wisconsin (Big Ten),35,20-15,"2,225",63.6
30,Duke (ACC),36,27-9,"2,290",63.6
31,Utah (Pac-12),32,17-15,"2,043",63.8
32,Drake (MVC),35,27-8,"2,236",63.9
33,UConn (Big East),39,31-8,"2,501",64.1
34,UNCW (CAA),34,24-10,"2,187",64.3
35,UNC Greensboro (SoCon),32,20-12,"2,064",64.5
36,App State (Sun Belt),32,16-16,"2,067",64.6
37,Boise St. (Mountain West),34,24-10,"2,198",64.6
38,CSU Bakersfield (Big West),33,11-22,"2,134",64.7
39,Radford (Big South),36,21-15,"2,332",64.8
40,Navy (Patriot),31,18-13,"2,013",64.9
41,Cal St. Fullerton (Big West),33,20-13,"2,148",65.1
42,Saint Peter's (MAAC),32,14-18,"2,083",65.1
43,Seton Hall (Big East),33,17-16,"2,149",65.1
44,South Alabama (Sun Belt),35,19-16,"2,282",65.2
45,Fla. Atlantic (CUSA),39,35-4,"2,547",65.3
46,California Baptist (WAC),33,17-16,"2,156",65.3
47,UCF (AAC),34,19-15,"2,228",65.5
48,Gardner-Webb (Big South),31,15-16,"2,032",65.5
49,Iona (MAAC),35,27-8,"2,297",65.6
50,Lafayette (Patriot),34,11-23,"2,232",65.6
51,Fresno St. (Mountain West),31,11-20,"2,036",65.7
52,Washington St. (Pac-12),34,17-17,"2,235",65.7
53,Oklahoma St. (Big 12),36,20-16,"2,370",65.8
54,Kent St. (MAC),35,28-7,"2,305",65.9
54,UC Santa Barbara (Big West),35,27-8,"2,305",65.9
56,Cal Poly (Big West),33,8-25,"2,174",65.9
57,N.C. Central (MEAC),30,18-12,"1,977",65.9
58,Niagara (MAAC),31,16-15,"2,044",65.9
59,American (Patriot),32,17-15,"2,110",65.9
