Rank,Team,GM,W-L,PTS,PPG
1,Gonzaga (WCC),37,31-6,"3,187",86.1
2,Toledo (MAC),35,27-8,"2,989",85.4
3,Oral Roberts (Summit League),35,30-5,"2,915",83.3
4,Southern Utah (WAC),37,24-13,"3,064",82.8
5,Youngstown St. (Horizon),34,24-10,"2,785",81.9
6,Arizona (Pac-12),35,28-7,"2,866",81.9
7,Alabama (SEC),37,31-6,"3,027",81.8
8,Marshall (Sun Belt),32,24-8,"2,616",81.8
9,Cornell (Ivy League),28,17-11,"2,287",81.7
10,Xavier (Big East),37,27-10,"2,995",80.9
11,Furman (SoCon),36,28-8,"2,911",80.9
12,New Mexico (Mountain West),34,22-12,"2,749",80.9
13,UAB (CUSA),39,29-10,"3,149",80.7
14,James Madison (Sun Belt),33,22-11,"2,658",80.5
14,UT Martin (OVC),33,19-14,"2,658",80.5
16,Col. of Charleston (CAA),35,31-4,"2,804",80.1
17,A&M-Corpus Christi (Southland),35,24-11,"2,803",80.1
18,Iowa (Big Ten),33,19-14,"2,642",80.1
19,Tulane (AAC),31,20-11,"2,478",79.9
20,Wright St. (Horizon),33,18-15,"2,637",79.9
21,Memphis (AAC),35,26-9,"2,778",79.4
22,Bryant (America East),30,17-13,"2,381",79.4
23,Marquette (Big East),36,29-7,"2,856",79.3
24,Indiana St. (MVC),36,23-13,"2,855",79.3
25,Miami (FL) (ACC),37,29-8,"2,925",79.1
26,Missouri (SEC),35,25-10,"2,762",78.9
27,Ohio (MAC),33,19-14,"2,602",78.8
28,Samford (SoCon),32,21-11,"2,519",78.7
29,UTRGV (WAC),32,15-17,"2,518",78.7
30,Eastern Ky. (ASUN),37,23-14,"2,909",78.6
31,UConn (Big East),39,31-8,"3,064",78.6
32,Milwaukee (Horizon),34,22-12,"2,659",78.2
33,Utah St. (Mountain West),35,26-9,"2,736",78.2
34,Tennessee St. (OVC),32,18-14,"2,499",78.1
35,Colgate (Patriot),35,26-9,"2,733",78.1
36,UMass Lowell (America East),34,26-8,"2,653",78
37,Texas (Big 12),38,29-9,"2,963",78
38,Pepperdine (WCC),31,9-22,"2,417",78
39,Fla. Atlantic (CUSA),39,35-4,"3,035",77.8
40,Portland (WCC),33,14-19,"2,566",77.8
41,NC State (ACC),34,23-11,"2,643",77.7
42,Southeastern La. (Southland),32,18-14,"2,483",77.6
43,Houston Christian (Southland),32,10-22,"2,482",77.6
44,Buffalo (MAC),32,15-17,"2,481",77.5
45,Southeast Mo. St. (OVC),36,19-17,"2,789",77.5
46,FDU (NEC),37,21-16,"2,863",77.4
46,Utah Valley (WAC),37,28-9,"2,863",77.4
48,Louisiana (Sun Belt),34,26-8,"2,630",77.4
49,Providence (Big East),33,21-12,"2,552",77.3
49,St. John's (NY) (Big East),33,18-15,"2,552",77.3
51,Chattanooga (SoCon),35,18-17,"2,702",77.2
52,San Diego (WCC),31,11-20,"2,391",77.1
53,Cincinnati (AAC),36,23-13,"2,776",77.1
54,Baylor (Big 12),34,23-11,"2,619",77
55,Rice (CUSA),35,19-16,"2,693",76.9
56,Santa Clara (WCC),33,23-10,"2,538",76.9
57,Stetson (ASUN),31,17-14,"2,381",76.8
58,Eastern Wash. (Big Sky),34,23-11,"2,607",76.7
59,Wake Forest (ACC),33,19-14,"2,528",76.6
60,Detroit Mercy (Horizon),33,14-19,"2,527",76.6
61,Long Beach St. (Big West),33,17-16,"2,524",76.5
62,Belmont (MVC),32,21-11,"2,447",76.5
63,Creighton (Big East),37,24-13,"2,828",76.4
64,Ball St. (MAC),32,20-12,"2,445",76.4
65,Lipscomb (ASUN),33,20-13,"2,521",76.4
66,George Washington (Atlantic 10),32,16-16,"2,441",76.3
67,North Florida (ASUN),31,14-17,"2,363",76.2
67,Portland St. (Big Sky),31,12-19,"2,363",76.2
69,San Francisco (WCC),34,20-14,"2,591",76.2
70,North Carolina (ACC),33,20-13,"2,514",76.2
71,Kansas St. (Big 12),36,26-10,"2,742",76.2
72,Kent St. (MAC),35,28-7,"2,665",76.1
73,West Virginia (Big 12),34,19-15,"2,583",76
74,Bowling Green (MAC),31,11-20,"2,355",76
75,Iona (MAAC),35,27-8,"2,658",75.9
76,SFA (WAC),32,19-13,"2,427",75.8
77,Pacific (WCC),33,15-18,"2,502",75.8
78,Norfolk St. (MEAC),33,22-11,"2,501",75.8
79,Yale (Ivy League),30,21-9,"2,273",75.8
80,Nicholls (Southland),31,16-15,"2,344",75.6
81,N.C. Central (MEAC),30,18-12,"2,268",75.6
82,Saint Louis (Atlantic 10),33,21-12,"2,493",75.5
83,BYU (Big 12),34,19-15,"2,568",75.5
84,Princeton (Ivy League),32,23-9,"2,416",75.5
85,Kansas (Big 12),36,28-8,"2,715",75.4
86,Little Rock (OVC),31,10-21,"2,337",75.4
87,LMU (CA) (WCC),31,19-12,"2,335",75.3
88,Howard (MEAC),35,22-13,"2,634",75.3
88,TCU (Big 12),35,22-13,"2,634",75.3
90,Grand Canyon (WAC),36,24-12,"2,706",75.2
91,Pittsburgh (ACC),36,24-12,"2,704",75.1
92,Kennesaw St. (ASUN),35,26-9,"2,626",75
93,Abilene Christian (WAC),30,13-17,"2,249",75
93,Penn (Ivy League),30,17-13,"2,249",75
95,Morgan St. (MEAC),31,15-16,"2,323",74.9
96,Duquesne (Atlantic 10),33,20-13,"2,472",74.9
97,Houston (AAC),37,33-4,"2,770",74.9
98,Hofstra (CAA),35,25-10,"2,619",74.8
99,Drake (MVC),35,27-8,"2,617",74.8
99,UC Irvine (Big West),35,23-12,"2,617",74.8
101,UC Davis (Big West),32,18-14,"2,392",74.8
102,Indiana (Big Ten),35,23-12,"2,616",74.7
103,Wofford (SoCon),33,17-16,"2,466",74.7
104,Clemson (ACC),34,23-11,"2,540",74.7
105,Liberty (ASUN),36,27-9,"2,689",74.7
106,Akron (MAC),33,22-11,"2,463",74.6
106,Northwestern St. (Southland),33,22-11,"2,463",74.6
106,SIUE (OVC),33,19-14,"2,463",74.6
109,High Point (Big South),31,14-17,"2,312",74.6
110,Kentucky (SEC),34,22-12,"2,532",74.5
111,UNC Asheville (Big South),35,27-8,"2,604",74.4
112,UMBC (America East),32,18-14,"2,378",74.3
113,Illinois (Big Ten),33,20-13,"2,452",74.3
114,UNLV (Mountain West),32,19-13,"2,376",74.3
115,Virginia Tech (ACC),34,19-15,"2,521",74.1
116,UCLA (Pac-12),37,31-6,"2,743",74.1
117,Syracuse (ACC),32,17-15,"2,372",74.1
118,North Ala. (ASUN),33,18-15,"2,446",74.1
119,Arkansas (SEC),36,22-14,"2,666",74.1
120,Montana St. (Big Sky),35,25-10,"2,588",73.9
121,Western Caro. (SoCon),34,18-16,"2,513",73.9
122,Purdue Fort Wayne (Horizon),32,17-15,"2,364",73.9
123,Southern Miss. (Sun Belt),33,25-8,"2,436",73.8
124,Winthrop (Big South),32,15-17,"2,360",73.8
125,Northern Ariz. (Big Sky),35,12-23,"2,581",73.7
126,New Mexico St. (WAC),24,9-15,"1,769",73.7
127,Tennessee Tech (OVC),33,16-17,"2,432",73.7
128,Miami (OH) (MAC),32,12-20,"2,357",73.7
129,Northern Colo. (Big Sky),32,12-20,"2,355",73.6
130,South Carolina St. (MEAC),31,5-26,"2,274",73.4
131,Michigan (Big Ten),34,18-16,"2,494",73.4
132,Oakland (Horizon),32,13-19,"2,347",73.3
132,Texas Tech (Big 12),32,16-16,"2,347",73.3
134,Coastal Carolina (Sun Belt),31,11-20,"2,273",73.3
135,Longwood (Big South),32,20-12,"2,341",73.2
136,Troy (Sun Belt),33,20-13,"2,414",73.2
137,New Orleans (Southland),32,12-20,"2,340",73.1
138,FIU (CUSA),32,14-18,"2,339",73.1
139,Army West Point (Patriot),33,17-16,"2,412",73.1
140,Western Ill. (Summit League),30,16-14,"2,191",73
141,Saint Francis (PA) (NEC),31,13-18,"2,263",73
142,Idaho (Big Sky),32,10-22,"2,335",73
142,Quinnipiac (MAAC),32,20-12,"2,335",73
144,Central Ark. (ASUN),31,9-22,"2,261",72.9
145,North Dakota St. (Summit League),33,16-17,"2,404",72.8
146,Texas A&M (SEC),35,25-10,"2,549",72.8
147,Auburn (SEC),34,21-13,"2,474",72.8
148,Vermont (America East),34,23-11,"2,471",72.7
149,Purdue (Big Ten),35,29-6,"2,543",72.7
