Rank,Team,GM,W-L,3FG,3FGA,3FGA PG
1,Cornell (Ivy League),28,17-11,300,851,30.4
2,Chattanooga (SoCon),35,18-17,398,"1,057",30.2
3,Col. of Charleston (CAA),35,31-4,348,"1,051",30
4,Alabama (SEC),37,31-6,366,"1,093",29.5
5,Oral Roberts (Summit League),35,30-5,375,"1,027",29.3
6,North Florida (ASUN),31,14-17,323,881,28.4
7,San Francisco (WCC),34,20-14,349,966,28.4
8,Liberty (ASUN),36,27-9,376,"1,007",28
9,Purdue Fort Wayne (Horizon),32,17-15,308,891,27.8
10,VMI (SoCon),32,7-25,309,880,27.5
11,Furman (SoCon),36,28-8,340,988,27.4
12,Seattle U (WAC),32,20-12,275,870,27.2
13,Penn St. (Big Ten),37,23-14,385,995,26.9
14,Lafayette (Patriot),34,11-23,298,911,26.8
15,Saint Joseph's (Atlantic 10),33,16-17,290,882,26.7
16,Indiana St. (MVC),36,23-13,340,959,26.6
17,Detroit Mercy (Horizon),33,14-19,338,875,26.5
18,Central Ark. (ASUN),31,9-22,264,818,26.4
19,North Dakota (Summit League),33,13-20,304,868,26.3
20,Fla. Atlantic (CUSA),39,35-4,375,"1,024",26.3
21,Wake Forest (ACC),33,19-14,315,866,26.2
22,Stetson (ASUN),31,17-14,311,811,26.2
23,Villanova (Big East),34,17-17,296,885,26
24,FGCU (ASUN),32,17-15,295,832,26
25,Missouri (SEC),35,25-10,325,904,25.8
26,Baylor (Big 12),34,23-11,323,878,25.8
27,Samford (SoCon),32,21-11,290,822,25.7
28,Akron (MAC),33,22-11,300,845,25.6
28,Portland (WCC),33,14-19,317,845,25.6
30,LMU (CA) (WCC),31,19-12,289,792,25.5
31,California Baptist (WAC),33,17-16,276,837,25.4
32,Marquette (Big East),36,29-7,322,912,25.3
33,Tennessee St. (OVC),32,18-14,281,804,25.1
34,Tennessee Tech (OVC),33,16-17,302,829,25.1
35,Pittsburgh (ACC),36,24-12,325,903,25.1
36,Eastern Ky. (ASUN),37,23-14,318,927,25.1
37,Ark.-Pine Bluff (SWAC),31,10-21,245,776,25
38,Duquesne (Atlantic 10),33,20-13,302,826,25
39,Rice (CUSA),35,19-16,308,875,25
40,Western Caro. (SoCon),34,18-16,289,849,25
41,UConn (Big East),39,31-8,353,973,24.9
42,Vanderbilt (SEC),37,22-15,310,922,24.9
43,Princeton (Ivy League),32,23-9,272,796,24.9
44,Cincinnati (AAC),36,23-13,314,894,24.8
45,Coppin St. (MEAC),32,9-23,268,794,24.8
46,Wyoming (Mountain West),31,9-22,268,768,24.8
47,Belmont (MVC),32,21-11,307,791,24.7
48,Illinois (Big Ten),33,20-13,251,815,24.7
49,Louisiana Tech (CUSA),33,15-18,281,814,24.7
50,Columbia (Ivy League),29,7-22,226,714,24.6
51,Eastern Wash. (Big Sky),34,23-11,300,837,24.6
52,Notre Dame (ACC),32,11-21,282,787,24.6
53,UCF (AAC),34,19-15,295,835,24.6
54,N.C. A&T (CAA),32,13-19,261,785,24.5
55,Tulsa (AAC),30,5-25,230,735,24.5
56,Washington St. (Pac-12),34,17-17,310,832,24.5
57,Canisius (MAAC),30,10-20,255,734,24.5
58,Dartmouth (Ivy League),28,10-18,228,685,24.5
59,Western Mich. (MAC),31,8-23,250,757,24.4
60,Marshall (Sun Belt),32,24-8,264,781,24.4
61,Creighton (Big East),37,24-13,319,902,24.4
62,Chicago St. (DI Independent),31,11-20,256,755,24.4
63,Southeast Mo. St. (OVC),36,19-17,286,875,24.3
64,UIC (MVC),32,12-20,255,774,24.2
65,Troy (Sun Belt),33,20-13,255,798,24.2
66,New Hampshire (America East),30,15-15,248,725,24.2
67,Temple (AAC),32,16-16,255,773,24.2
68,Jacksonville St. (ASUN),31,13-18,281,747,24.1
69,Southern Ill. (MVC),33,23-10,259,795,24.1
70,Stony Brook (CAA),33,11-22,256,794,24.1
71,Fordham (Atlantic 10),33,25-8,252,792,24
71,Utah St. (Mountain West),35,26-9,325,840,24
71,Vermont (America East),34,23-11,292,816,24
74,Southern Utah (WAC),37,24-13,313,887,24
75,Ohio (MAC),33,19-14,295,791,24
76,Missouri St. (MVC),32,17-15,254,767,24
77,Richmond (Atlantic 10),33,15-18,261,790,23.9
78,BYU (Big 12),34,19-15,276,812,23.9
79,East Carolina (AAC),33,16-17,249,788,23.9
80,NC State (ACC),34,23-11,281,810,23.8
81,Bryant (America East),30,17-13,243,714,23.8
82,Northwestern (Big Ten),34,22-12,259,807,23.7
83,FDU (NEC),37,21-16,302,876,23.7
84,Winthrop (Big South),32,15-17,283,757,23.7
85,Arizona St. (Pac-12),36,23-13,274,851,23.6
86,Northern Ky. (Horizon),35,22-13,283,827,23.6
87,Iowa (Big Ten),33,19-14,265,779,23.6
88,Hofstra (CAA),35,25-10,303,826,23.6
89,South Carolina (SEC),32,11-21,244,755,23.6
90,Charleston So. (Big South),31,10-21,251,731,23.6
91,UMBC (America East),32,18-14,257,754,23.6
92,Oakland (Horizon),32,13-19,232,753,23.5
93,UNLV (Mountain West),32,19-13,262,751,23.5
94,Georgia Tech (ACC),33,15-18,259,773,23.4
95,Grand Canyon (WAC),36,24-12,323,843,23.4
96,UAlbany (America East),31,8-23,237,725,23.4
97,Kent St. (MAC),35,28-7,275,818,23.4
98,Marist (MAAC),33,13-20,253,771,23.4
98,UT Martin (OVC),33,19-14,255,771,23.4
100,Northwestern St. (Southland),33,22-11,278,770,23.3
100,Tennessee (SEC),36,25-11,276,840,23.3
102,McNeese (Southland),34,11-23,258,793,23.3
103,Northern Ariz. (Big Sky),35,12-23,295,815,23.3
104,San Jose St. (Mountain West),35,21-14,265,814,23.3
105,High Point (Big South),31,14-17,234,720,23.2
105,UMES (MEAC),31,18-13,229,720,23.2
107,Northern Colo. (Big Sky),32,12-20,265,741,23.2
108,Virginia Tech (ACC),34,19-15,281,786,23.1
109,Pacific (WCC),33,15-18,297,761,23.1
110,UC Riverside (Big West),34,22-12,284,784,23.1
111,Wisconsin (Big Ten),35,20-15,276,807,23.1
112,Brown (Ivy League),27,14-13,216,622,23
113,Southern U. (SWAC),32,15-17,244,737,23
114,Miami (OH) (MAC),32,12-20,250,736,23
114,Tulane (AAC),31,20-11,241,713,23
116,Air Force (Mountain West),32,14-18,261,733,22.9
117,Clemson (ACC),34,23-11,282,775,22.8
118,South Dakota (Summit League),31,12-19,275,706,22.8
119,Milwaukee (Horizon),34,22-12,267,774,22.8
120,James Madison (Sun Belt),33,22-11,263,751,22.8
120,North Carolina (ACC),33,20-13,234,751,22.8
122,Coastal Carolina (Sun Belt),31,11-20,223,705,22.7
123,App State (Sun Belt),32,16-16,243,726,22.7
123,Houston Christian (Southland),32,10-22,265,726,22.7
