Rank,Team,GM,W-L,3FG%
1,Colgate (Patriot),35,26-9,40.3
2,Toledo (MAC),35,27-8,39.5
3,Michigan St. (Big Ten),34,21-13,39.3
4,Pacific (WCC),33,15-18,39
5,Xavier (Big East),37,27-10,39
6,South Dakota (Summit League),31,12-19,39
7,Belmont (MVC),32,21-11,38.8
8,UNC Asheville (Big South),35,27-8,38.8
9,Penn St. (Big Ten),37,23-14,38.7
10,Utah St. (Mountain West),35,26-9,38.7
11,Detroit Mercy (Horizon),33,14-19,38.6
12,Stetson (ASUN),31,17-14,38.3
13,Grand Canyon (WAC),36,24-12,38.3
14,SFA (WAC),32,19-13,38.2
15,UMass Lowell (America East),34,26-8,38.1
16,Saint Francis (PA) (NEC),31,13-18,37.9
17,Sam Houston (WAC),34,26-8,37.9
18,Gonzaga (WCC),37,31-6,37.9
19,Arizona (Pac-12),35,28-7,37.8
20,New Orleans (Southland),32,12-20,37.8
21,Charlotte (CUSA),36,22-14,37.7
22,Chattanooga (SoCon),35,18-17,37.7
23,UC Irvine (Big West),35,23-12,37.7
24,Louisiana (Sun Belt),34,26-8,37.6
25,Jacksonville St. (ASUN),31,13-18,37.6
26,Portland (WCC),33,14-19,37.5
27,Howard (MEAC),35,22-13,37.4
28,Winthrop (Big South),32,15-17,37.4
29,Liberty (ASUN),36,27-9,37.3
30,Ohio (MAC),33,19-14,37.3
31,Washington St. (Pac-12),34,17-17,37.3
32,Montana (Big Sky),31,17-14,37.2
33,Navy (Patriot),31,18-13,37.1
34,Santa Clara (WCC),33,23-10,37.1
35,Alabama A&M (SWAC),33,15-18,37
36,Drake (MVC),35,27-8,37
37,North Ala. (ASUN),33,18-15,37
38,Southeastern La. (Southland),32,18-14,36.9
39,Cal St. Fullerton (Big West),33,20-13,36.9
40,Ball St. (MAC),32,20-12,36.9
41,Morgan St. (MEAC),31,15-16,36.9
42,Miami (FL) (ACC),37,29-8,36.8
43,DePaul (Big East),33,10-23,36.8
44,Baylor (Big 12),34,23-11,36.8
45,Ohio St. (Big Ten),35,16-19,36.8
46,Indiana (Big Ten),35,23-12,36.8
47,Hofstra (CAA),35,25-10,36.7
48,William & Mary (CAA),33,13-20,36.7
49,North Florida (ASUN),31,14-17,36.7
50,Towson (CAA),33,21-12,36.7
51,Fla. Atlantic (CUSA),39,35-4,36.6
52,Duquesne (Atlantic 10),33,20-13,36.6
53,Holy Cross (Patriot),32,10-22,36.6
54,Saint Mary's (CA) (WCC),35,27-8,36.5
55,Kennesaw St. (ASUN),35,26-9,36.5
56,Oral Roberts (Summit League),35,30-5,36.5
57,Houston Christian (Southland),32,10-22,36.5
58,LMU (CA) (WCC),31,19-12,36.5
59,Youngstown St. (Horizon),34,24-10,36.5
60,Colorado St. (Mountain West),33,15-18,36.4
61,Tennessee Tech (OVC),33,16-17,36.4
62,A&M-Corpus Christi (Southland),35,24-11,36.4
63,Clemson (ACC),34,23-11,36.4
64,Wake Forest (ACC),33,19-14,36.4
65,UConn (Big East),39,31-8,36.3
66,Stanford (Pac-12),33,14-19,36.3
67,Quinnipiac (MAAC),32,20-12,36.3
68,UC Riverside (Big West),34,22-12,36.2
69,Syracuse (ACC),32,17-15,36.2
70,Northern Ariz. (Big Sky),35,12-23,36.2
71,Pepperdine (WCC),31,9-22,36.2
72,Iona (MAAC),35,27-8,36.2
73,Boise St. (Mountain West),34,24-10,36.2
74,Bethune-Cookman (SWAC),32,12-20,36.1
75,Yale (Ivy League),30,21-9,36.1
76,San Francisco (WCC),34,20-14,36.1
77,Northwestern St. (Southland),33,22-11,36.1
78,N.C. Central (MEAC),30,18-12,36
79,Pittsburgh (ACC),36,24-12,36
80,Penn (Ivy League),30,17-13,36
81,Missouri (SEC),35,25-10,36
82,Radford (Big South),36,21-15,35.9
83,Eastern Wash. (Big Sky),34,23-11,35.8
84,Notre Dame (ACC),32,11-21,35.8
85,Western Ky. (CUSA),33,17-16,35.8
86,Vermont (America East),34,23-11,35.8
87,Northern Colo. (Big Sky),32,12-20,35.8
88,Virginia Tech (ACC),34,19-15,35.8
89,Wright St. (Horizon),33,18-15,35.7
90,Loyola Maryland (Patriot),33,13-20,35.7
91,Saint Louis (Atlantic 10),33,21-12,35.7
92,Air Force (Mountain West),32,14-18,35.6
93,Bucknell (Patriot),32,12-20,35.6
94,Grambling (SWAC),33,24-9,35.6
95,Lipscomb (ASUN),33,20-13,35.6
96,Bradley (MVC),35,25-10,35.5
97,Akron (MAC),33,22-11,35.5
98,UAB (CUSA),39,29-10,35.5
99,FGCU (ASUN),32,17-15,35.5
100,Indiana St. (MVC),36,23-13,35.5
101,UNC Greensboro (SoCon),32,20-12,35.4
102,Mount St. Mary's (MAAC),33,13-20,35.4
103,Creighton (Big East),37,24-13,35.4
104,St. Francis Brooklyn (NEC),30,14-16,35.4
105,UCF (AAC),34,19-15,35.3
106,San Diego (WCC),31,11-20,35.3
107,Marquette (Big East),36,29-7,35.3
108,Memphis (AAC),35,26-9,35.3
109,Southern Utah (WAC),37,24-13,35.3
110,Samford (SoCon),32,21-11,35.3
111,Cornell (Ivy League),28,17-11,35.3
112,Arkansas St. (Sun Belt),33,13-20,35.2
