Rank,Team,GM,Opp TO,TO PG
1,UMES (MEAC),31,589,19.00
2,Morgan St. (MEAC),31,586,18.90
3,SFA (WAC),32,578,18.06
4,Nicholls (Southland),31,549,17.71
5,Abilene Christian (WAC),30,530,17.67
6,UNLV (Mountain West),32,562,17.56
7,Southern U. (SWAC),32,552,17.25
8,Missouri (SEC),35,592,16.91
9,N.C. Central (MEAC),30,503,16.77
10,UTEP (CUSA),32,536,16.75
11,Sam Houston (WAC),34,564,16.59
12,Iowa St. (Big 12),33,546,16.55
12,James Madison (Sun Belt),33,546,16.55
14,FIU (CUSA),32,528,16.50
15,VCU (Atlantic 10),35,572,16.34
16,Ark.-Pine Bluff (SWAC),31,497,16.03
17,Portland St. (Big Sky),31,495,15.97
18,Cornell (Ivy League),28,446,15.93
19,Marquette (Big East),36,570,15.83
20,Kent St. (MAC),35,551,15.74
21,Northern Ky. (Horizon),35,549,15.69
22,UCLA (Pac-12),37,580,15.68
23,Texas (Big 12),38,595,15.66
24,South Carolina St. (MEAC),31,485,15.65
25,Troy (Sun Belt),33,513,15.55
26,Alabama A&M (SWAC),33,510,15.45
27,Prairie View (SWAC),32,494,15.44
28,Howard (MEAC),35,540,15.43
29,TCU (Big 12),35,539,15.40
30,FDU (NEC),37,567,15.32
31,Louisiana Tech (CUSA),33,502,15.21
32,New Orleans (Southland),32,486,15.19
33,Memphis (AAC),35,531,15.17
34,A&M-Corpus Christi (Southland),35,529,15.11
35,Kansas St. (Big 12),36,541,15.03
36,Marshall (Sun Belt),32,478,14.94
37,Middle Tenn. (CUSA),33,492,14.91
38,UCF (AAC),34,504,14.82
39,Northwestern St. (Southland),33,489,14.82
40,UC Davis (Big West),32,473,14.78
41,Eastern Ill. (OVC),31,457,14.74
42,St. John's (NY) (Big East),33,486,14.73
43,UIW (Southland),31,455,14.68
44,Grambling (SWAC),33,484,14.67
44,Tennessee (SEC),36,528,14.67
46,Southeast Mo. St. (OVC),36,527,14.64
47,Samford (SoCon),32,468,14.63
48,West Virginia (Big 12),34,496,14.59
49,Southern Miss. (Sun Belt),33,481,14.58
50,Southeastern La. (Southland),32,465,14.53
51,Tulane (AAC),31,450,14.52
52,Eastern Ky. (ASUN),37,536,14.49
53,Rutgers (Big Ten),34,492,14.47
54,Alcorn (SWAC),32,463,14.47
55,Longwood (Big South),32,462,14.44
56,Arkansas (SEC),36,519,14.42
57,Duquesne (Atlantic 10),33,475,14.39
57,Seton Hall (Big East),33,475,14.39
59,USC Upstate (Big South),32,460,14.38
60,Iona (MAAC),35,503,14.37
61,Monmouth (CAA),33,474,14.36
62,Kennesaw St. (ASUN),35,502,14.34
63,Kansas (Big 12),36,515,14.31
64,Mississippi St. (SEC),34,486,14.29
65,UT Arlington (WAC),32,456,14.25
66,Southern Utah (WAC),37,527,14.24
67,Little Rock (OVC),31,441,14.23
68,Manhattan (MAAC),30,426,14.20
69,Delaware St. (MEAC),30,425,14.17
70,UAB (CUSA),39,552,14.15
71,Gardner-Webb (Big South),31,438,14.13
72,Cal St. Fullerton (Big West),33,466,14.12
73,Long Beach St. (Big West),33,463,14.03
73,Sacred Heart (NEC),33,463,14.03
75,Arizona St. (Pac-12),36,505,14.03
76,Texas A&M (SEC),35,490,14.00
77,Buffalo (MAC),32,447,13.97
78,Cleveland St. (Horizon),35,488,13.94
79,Maine (America East),30,418,13.93
80,Northwestern (Big Ten),34,473,13.91
80,UNCW (CAA),34,473,13.91
82,Norfolk St. (MEAC),33,458,13.88
83,New Mexico St. (WAC),24,333,13.88
84,UMass Lowell (America East),34,471,13.85
85,Brown (Ivy League),27,374,13.85
86,Texas Tech (Big 12),32,443,13.84
86,UIC (MVC),32,443,13.84
88,Col. of Charleston (CAA),35,482,13.77
89,Coppin St. (MEAC),32,440,13.75
90,Texas Southern (SWAC),35,481,13.74
91,Loyola Maryland (Patriot),33,452,13.70
91,SIUE (OVC),33,452,13.70
93,Oakland (Horizon),32,438,13.69
94,Montana St. (Big Sky),35,479,13.69
95,Milwaukee (Horizon),34,465,13.68
96,Houston (AAC),37,506,13.68
97,Bethune-Cookman (SWAC),32,437,13.66
98,BYU (Big 12),34,464,13.65
99,St. Francis Brooklyn (NEC),30,409,13.63
100,Tennessee St. (OVC),32,436,13.63
101,Austin Peay (ASUN),31,421,13.58
101,Massachusetts (Atlantic 10),31,421,13.58
103,Fordham (Atlantic 10),33,448,13.58
103,Jackson St. (SWAC),33,448,13.58
105,NIU (MAC),32,433,13.53
106,Baylor (Big 12),34,460,13.53
107,CSU Bakersfield (Big West),33,445,13.48
108,Wagner (NEC),28,377,13.46
109,Mississippi Val. (SWAC),32,430,13.44
110,Colorado (Pac-12),35,470,13.43
111,Radford (Big South),36,483,13.42
112,Central Mich. (MAC),31,415,13.39
113,SMU (AAC),32,428,13.38
114,Miami (OH) (MAC),32,426,13.31
115,UNC Greensboro (SoCon),32,425,13.28
116,Saint Joseph's (Atlantic 10),33,437,13.24
116,Tennessee Tech (OVC),33,437,13.24
118,Gonzaga (WCC),37,489,13.22
119,NC State (ACC),34,449,13.21
120,Seattle U (WAC),32,422,13.19
121,Robert Morris (Horizon),33,435,13.18
122,Canisius (MAAC),30,395,13.17
123,Evansville (MVC),32,421,13.16
124,Wright St. (Horizon),33,434,13.15
125,Columbia (Ivy League),29,379,13.07
126,South Fla. (AAC),32,418,13.06
126,St. Bonaventure (Atlantic 10),32,418,13.06
128,Furman (SoCon),36,470,13.06
129,McNeese (Southland),34,443,13.03
130,Auburn (SEC),34,442,13.00
130,Ga. Southern (Sun Belt),33,429,13.00
130,Illinois (Big Ten),33,429,13.00
130,Liberty (ASUN),36,468,13.00
130,Weber St. (Big Sky),33,429,13.00
135,Pacific (WCC),33,428,12.97
135,Southern Ill. (MVC),33,428,12.97
137,Navy (Patriot),31,402,12.97
138,Purdue Fort Wayne (Horizon),32,414,12.94
138,UTRGV (WAC),32,414,12.94
140,Fresno St. (Mountain West),31,401,12.94
141,Toledo (MAC),35,452,12.91
142,UT Martin (OVC),33,426,12.91
143,Washington (Pac-12),32,413,12.91
144,San Diego St. (Mountain West),39,503,12.90
145,Oklahoma St. (Big 12),36,464,12.89
