Team,Seed,3FG,3FGA,3FGA PG,Fouls,PFPG,DQ,REB,RPG,FT,FTA,FT%,ORebs,ORPG,3FG PG,W,L,Win%,OPP REB,OPP RPG,REB MAR,OPP PTS,OPP PPG,SCR MAR,DRebs,DRPG,Opp TO,TO PG,AST,TO,Ratio,3FG%,FGM,FGA,FG%,FT PG,OPP FG,OPP FGA,OPP FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,PTS,PPG,FTA PG,Rk,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Non Conf Opp NetRtg
Akron,14.0,280,863,24.7,583,16.7,14,"1,278",36.51,467,642,72.7,363,10.37,8.0,24,11,68.6,"1,134",32.4,4.1,"2,316",66.2,7.5,915,26.14,404,11.54,455,394,1.15,32.4,915,"2,018",45.3,13.3,853,"1,985",43.0,738,224,30.4,"2,577",73.6,18.3,122.0,4.58,106.8,102.2,66.0,0.008,-1.43,105.7,107.2,6.16
Alabama,4.0,413,"1,108",29.9,734,19.8,26,"1,467",39.65,650,842,77.2,472,12.76,11.2,25,12,67.6,"1,324",35.8,3.9,"3,006",81.2,8.9,995,26.89,418,11.3,587,438,1.34,37.3,"1,136","2,385",47.6,17.6,"1,028","2,351",43.7,873,277,31.7,"3,335",90.1,22.8,14.0,22.96,126.0,103.0,72.6,-0.001,14.71,115.1,100.4,9.46
Arizona,2.0,284,776,21.6,590,16.4,5,"1,533",42.58,605,844,71.7,471,13.08,7.9,27,9,75.0,"1,175",32.6,9.9,"2,594",72.1,15.1,"1,062",29.5,483,13.42,665,430,1.55,36.6,"1,124","2,321",48.4,16.8,949,"2,252",42.1,853,281,32.9,"3,137",87.1,23.4,6.0,26.55,120.2,93.7,72.2,-0.047,11.12,112.2,101.1,10.47
Auburn,4.0,280,795,22.7,678,19.4,7,"1,323",37.8,609,812,75.0,393,11.23,8.0,27,8,77.1,"1,206",34.5,3.3,"2,391",68.3,14.8,930,26.57,449,12.83,622,374,1.66,35.2,"1,010","2,121",47.6,17.4,784,"2,029",38.6,678,205,30.2,"2,909",83.1,23.2,4.0,27.99,120.4,92.4,70.0,-0.08,9.49,111.9,102.4,1.47
BYU,6.0,378,"1,087",32.0,602,17.7,8,"1,343",39.5,406,547,74.2,405,11.91,11.1,23,11,67.6,"1,136",33.4,6.1,"2,378",69.9,11.5,938,27.59,381,11.21,629,364,1.73,34.8,992,"2,155",46.0,11.9,856,"2,003",42.7,681,218,32.0,"2,768",81.4,16.1,18.0,19.96,119.8,99.9,69.2,-0.048,9.21,110.1,100.9,-5.67
Baylor,3.0,301,773,22.1,577,16.5,5,"1,229",35.11,579,791,73.2,399,11.4,8.6,24,11,68.6,"1,023",29.2,5.9,"2,489",71.1,9.3,830,23.71,414,11.83,514,421,1.22,38.9,967,"2,001",48.3,16.5,904,"1,987",45.5,708,238,33.6,"2,814",80.4,22.6,15.0,21.9,122.4,100.5,65.8,-0.016,13.44,112.4,99.0,3.36
Boise St.,10.0,258,759,23.0,550,16.7,7,"1,231",37.3,505,686,73.6,384,11.64,7.8,22,11,66.7,984,29.8,7.5,"2,221",67.3,7.8,847,25.67,377,11.42,404,366,1.1,34.0,858,"1,913",44.9,15.3,796,"1,818",43.8,671,208,31.0,"2,479",75.1,20.8,44.0,15.97,113.4,97.4,66.6,-0.002,9.55,111.1,101.5,8.08
Clemson,6.0,296,844,23.4,585,16.3,13,"1,308",36.33,507,650,78.0,326,9.06,8.2,24,12,66.7,"1,226",34.1,2.3,"2,563",71.2,6.2,982,27.28,341,9.47,533,363,1.47,35.1,991,"2,115",46.9,14.1,885,"2,140",41.4,879,291,33.1,"2,785",77.4,18.1,19.0,19.44,117.7,98.3,66.4,-0.018,12.09,113.5,101.4,4.91
Charleston,13.0,368,"1,072",30.6,558,15.9,3,"1,392",39.77,452,626,72.2,457,13.06,10.5,27,8,77.1,"1,230",35.1,4.6,"2,575",73.6,7.3,935,26.71,403,11.51,536,348,1.54,34.3,"1,006","2,278",44.2,12.9,939,"2,112",44.5,784,269,34.3,"2,832",80.9,17.9,101.0,7.52,113.9,106.4,70.3,0.047,-1.68,105.9,107.5,-0.38
Colgate,14.0,272,757,21.6,468,13.4,6,"1,245",35.57,368,540,68.1,286,8.17,7.8,25,10,71.4,"1,156",33.0,2.5,"2,242",64.1,7.3,959,27.4,393,11.23,526,368,1.43,35.9,929,"1,979",46.9,10.5,834,"2,020",41.3,812,249,30.7,"2,498",71.4,15.4,150.0,1.5,104.8,103.3,66.4,0.068,-6.51,102.3,108.8,6.36
Colorado,10.0,254,649,17.5,548,14.8,4,"1,367",36.95,583,744,78.4,368,9.95,6.9,26,11,70.3,"1,117",30.2,6.8,"2,654",71.7,7.6,999,27.0,392,10.59,600,467,1.28,39.1,"1,049","2,121",49.5,15.8,984,"2,234",44.0,787,252,32.0,"2,935",79.3,20.1,24.0,19.03,118.4,99.3,67.6,0.014,9.34,110.9,101.6,-1.47
Colorado St.,10.0,264,781,21.7,613,17.0,14,"1,203",33.42,483,642,75.2,283,7.86,7.3,25,11,69.4,"1,180",32.8,0.6,"2,422",67.3,7.9,920,25.56,415,11.53,648,376,1.72,33.8,980,"2,024",48.4,13.4,865,"2,030",42.6,684,220,32.2,"2,707",75.2,17.8,36.0,17.02,114.0,97.0,66.1,-0.026,9.3,111.9,102.6,5.84
Creighton,3.0,375,"1,018",29.1,403,11.5,0,"1,334",38.11,408,518,78.8,294,8.4,10.7,25,10,71.4,"1,176",33.6,4.5,"2,446",69.9,10.5,"1,040",29.71,266,7.6,588,372,1.58,36.8,"1,016","2,101",48.4,11.7,972,"2,324",41.8,648,209,32.3,"2,815",80.4,14.8,11.0,24.22,120.9,96.7,66.8,-0.018,11.96,112.3,100.4,4.99
Dayton,7.0,310,777,23.5,447,13.5,3,"1,107",33.55,476,643,74.0,265,8.03,9.4,25,8,75.8,"1,081",32.8,0.8,"2,193",66.5,7.7,842,25.52,342,10.36,483,343,1.41,39.9,831,"1,752",47.4,14.4,816,"1,948",41.9,782,250,32.0,"2,448",74.2,19.5,32.0,17.3,117.7,100.4,64.5,0.007,6.88,109.3,102.4,6.97
