Team,Seed,3FG,3FGA,3FGA PG,Fouls,PFPG,DQ,REB,RPG,FT,FTA,FT%,ORebs,ORPG,3FG PG,W,L,Win%,OPP REB,OPP RPG,REB MAR,OPP PTS,OPP PPG,SCR MAR,DRebs,DRPG,Opp TO,TO PG,AST,TO,Ratio,3FG%,FGM,FGA,FG%,FT PG,OPP FG,OPP FGA,OPP FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,PTS,PPG,FTA PG
A&M-CC (Southland),,183,616,18.7,689,20.9,17,"1,328",40.24,519,738,70.3,438,13.27,5.5,21,12,63.6,"1,109",33.6,6.6,"2,200",66.7,8.5,890,26.97,494,14.97,485,400,1.21,29.7,889,"2,046",43.5,15.7,714,"1,755",40.7,647,195,30.1,"2,480",75.2,22.4
Abilene Christian (WAC),,180,530,15.6,665,19.6,16,"1,139",33.5,550,757,72.7,329,9.68,5.3,16,18,47.1,"1,251",36.8,-3.3,"2,500",73.5,-1.4,810,23.82,495,14.56,431,434,0.99,34.0,861,"1,987",43.3,16.2,888,"1,923",46.2,613,199,32.5,"2,452",72.1,22.3
Air Force (Mountain West),,273,757,24.4,541,17.5,14,872,28.13,324,475,68.2,225,7.26,8.8,9,22,29.0,"1,016",32.8,-4.6,"2,243",72.4,-6.2,647,20.87,348,11.23,451,372,1.21,36.1,727,"1,604",45.3,10.5,774,"1,631",47.5,598,219,36.6,"2,051",66.2,15.3
Akron (MAC),14,280,863,24.7,583,16.7,14,"1,278",36.51,467,642,72.7,363,10.37,8.0,24,11,68.6,"1,134",32.4,4.1,"2,316",66.2,7.5,915,26.14,404,11.54,455,394,1.15,32.4,915,"2,018",45.3,13.3,853,"1,985",43.0,738,224,30.4,"2,577",73.6,18.3
Alabama (SEC),4,413,"1,108",29.9,734,19.8,26,"1,467",39.65,650,842,77.2,472,12.76,11.2,25,12,67.6,"1,324",35.8,3.9,"3,006",81.2,8.9,995,26.89,418,11.3,587,438,1.34,37.3,"1,136","2,385",47.6,17.6,"1,028","2,351",43.7,873,277,31.7,"3,335",90.1,22.8
Alabama A&M (SWAC),,148,516,14.7,727,20.8,12,"1,248",35.66,654,906,72.2,394,11.26,4.2,12,23,34.3,"1,258",35.9,-0.3,"2,653",75.8,-6.8,854,24.4,492,14.06,369,565,0.65,28.7,806,"1,918",42.0,18.7,856,"2,010",42.6,742,261,35.2,"2,414",69.0,25.9
Alabama St. (SWAC),"",223,793,24.8,609,19.0,10,"1,265",39.53,428,592,72.3,453,14.16,7.0,13,19,40.6,"1,260",39.4,0.2,"2,221",69.4,-0.8,812,25.38,468,14.63,345,361,0.96,28.1,772,"2,087",37.0,13.4,721,"1,751",41.2,726,245,33.7,"2,195",68.6,18.5
Alcorn (SWAC),,166,492,15.4,567,17.7,10,"1,086",33.94,498,699,71.2,360,11.25,5.2,14,18,43.8,"1,028",32.1,1.8,"2,477",77.4,-5.5,726,22.69,378,11.81,371,370,1.0,33.7,818,"1,851",44.2,15.6,841,"1,818",46.3,828,311,37.6,"2,300",71.9,21.8
American (Patriot),,279,794,24.8,527,16.5,6,"1,043",32.59,355,492,72.2,287,8.97,8.7,16,16,50.0,979,30.6,2.0,"2,176",68.0,0.7,756,23.63,345,10.78,449,347,1.29,35.1,782,"1,740",44.9,11.1,776,"1,706",45.5,733,272,37.1,"2,198",68.7,15.4
App State (Sun Belt),,224,674,19.8,449,13.2,5,"1,416",41.65,447,657,68.0,373,10.97,6.6,27,7,79.4,"1,236",36.4,5.3,"2,283",67.1,11.2,"1,043",30.68,356,10.47,498,365,1.36,33.2,997,"2,100",47.5,13.1,865,"2,225",38.9,732,226,30.9,"2,665",78.4,19.3
