Rank,Team,GM,W-L,DRebs,DRPG
1,UT Martin (OVC),32,21-11,994,31.06
2,App State (Sun Belt),34,27-7,"1,043",30.68
3,Bryant (America East),33,20-13,987,29.91
4,Creighton (Big East),35,25-10,"1,040",29.71
5,Arizona (Pac-12),36,27-9,"1,062",29.50
6,Western Ky. (CUSA),34,22-12,997,29.32
7,UMass Lowell (America East),32,22-10,938,29.31
8,Western Caro. (SoCon),32,22-10,934,29.19
9,Missouri St. (MVC),33,17-16,956,28.97
10,Coastal Carolina (Sun Belt),31,9-22,897,28.94
11,North Carolina (ACC),37,29-8,"1,068",28.86
11,Utah (Pac-12),37,22-15,"1,068",28.86
13,Indiana St. (MVC),39,32-7,"1,104",28.31
14,CSUN (Big West),34,19-15,960,28.24
15,Purdue (Big Ten),39,34-5,"1,101",28.23
16,New Hampshire (America East),31,16-15,875,28.23
17,Illinois (Big Ten),38,29-9,"1,068",28.11
18,Binghamton (America East),30,15-15,843,28.10
19,Nebraska (Big Ten),34,23-11,954,28.06
20,Gonzaga (WCC),35,27-8,976,27.89
21,Kansas (Big 12),34,23-11,948,27.88
22,Wichita St. (AAC),34,15-19,943,27.74
23,Western Ill. (OVC),33,21-12,915,27.73
24,George Washington (Atlantic 10),32,15-17,887,27.72
25,Florida (SEC),36,24-12,995,27.64
26,Drexel (CAA),32,20-12,884,27.63
27,BYU (Big 12),34,23-11,938,27.59
28,Morehead St. (OVC),35,26-9,965,27.57
29,Kentucky (SEC),33,23-10,909,27.55
30,Colgate (Patriot),35,25-10,959,27.40
31,UMBC (America East),32,11-21,875,27.34
32,Lehigh (Patriot),32,14-18,874,27.31
33,Chattanooga (SoCon),33,21-12,901,27.30
34,Clemson (ACC),36,24-12,982,27.28
35,UC Irvine (Big West),34,24-10,927,27.26
36,Santa Clara (WCC),33,20-13,899,27.24
37,VMI (SoCon),32,4-28,871,27.22
38,UTSA (AAC),32,11-21,870,27.19
38,Youngstown St. (Horizon),32,22-10,870,27.19
40,Marshall (Sun Belt),33,13-20,897,27.18
41,South Dakota St. (Summit League),35,22-13,951,27.17
42,Loyola Chicago (Atlantic 10),33,23-10,896,27.15
43,Louisiana Tech (CUSA),32,22-10,868,27.13
44,UConn (Big East),40,37-3,"1,084",27.10
45,James Madison (Sun Belt),36,32-4,975,27.08
46,Belmont (MVC),33,20-13,893,27.06
46,Richmond (Atlantic 10),33,23-10,893,27.06
48,Tennessee (SEC),36,27-9,974,27.06
49,Colorado (Pac-12),37,26-11,999,27.00
49,South Dakota (Summit League),32,12-20,864,27.00
51,Stony Brook (CAA),35,20-15,944,26.97
51,Vermont (America East),35,28-7,944,26.97
53,A&M-Corpus Christi (Southland),33,21-12,890,26.97
53,Gardner-Webb (Big South),33,17-16,890,26.97
55,Georgia St. (Sun Belt),31,14-17,835,26.94
56,Seattle U (WAC),37,23-14,996,26.92
57,Eastern Ky. (ASUN),31,17-14,834,26.90
58,Alabama (SEC),37,25-12,995,26.89
59,Northern Colo. (Big Sky),33,19-14,887,26.88
60,New Mexico (Mountain West),36,26-10,967,26.86
61,High Point (Big South),36,27-9,964,26.78
62,Providence (Big East),35,21-14,936,26.74
63,UC Santa Barbara (Big West),31,16-15,829,26.74
64,Col. of Charleston (CAA),35,27-8,935,26.71
65,Wofford (SoCon),32,17-15,853,26.66
66,Bowling Green (MAC),34,20-14,906,26.65
67,Yale (Ivy League),33,23-10,879,26.64
68,Georgia Tech (ACC),32,14-18,852,26.63
69,Kennesaw St. (ASUN),31,15-16,824,26.58
70,Auburn (SEC),35,27-8,930,26.57
71,Miami (FL) (ACC),32,15-17,850,26.56
71,Washington (Pac-12),32,17-15,850,26.56
73,Furman (SoCon),33,17-16,876,26.55
74,Stanford (Pac-12),32,14-18,849,26.53
75,Delaware (CAA),33,19-14,874,26.48
76,Tulsa (AAC),31,16-15,821,26.48
77,Washington St. (Pac-12),35,25-10,926,26.46
78,California (Pac-12),32,13-19,846,26.44
78,Rhode Island (Atlantic 10),32,12-20,846,26.44
80,Fla. Atlantic (AAC),34,25-9,898,26.41
81,Drake (MVC),35,28-7,924,26.40
82,Kansas St. (Big 12),34,19-15,897,26.38
82,Saint Mary's (CA) (WCC),34,26-8,897,26.38
84,Utah Valley (WAC),32,16-16,844,26.38
85,Grand Canyon (WAC),35,30-5,923,26.37
