Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Houston (Big 12),37,32-5,706,"1,862",37.9
2,Auburn (SEC),35,27-8,784,"2,029",38.6
3,App State (Sun Belt),34,27-7,865,"2,225",38.9
4,McNeese (Southland),34,30-4,712,"1,829",38.9
5,Tennessee (SEC),36,27-9,814,"2,091",38.9
6,Louisiana Tech (CUSA),32,22-10,716,"1,832",39.1
7,UConn (Big East),40,37-3,894,"2,278",39.2
8,Morehead St. (OVC),35,26-9,789,"2,006",39.3
9,Saint Mary's (CA) (WCC),34,26-8,712,"1,797",39.6
10,Bryant (America East),33,20-13,874,"2,204",39.7
11,Nebraska (Big Ten),34,23-11,854,"2,136",40
12,Loyola Chicago (Atlantic 10),33,23-10,747,"1,858",40.2
13,Iowa St. (Big 12),37,29-8,768,"1,909",40.2
14,Grand Canyon (WAC),35,30-5,822,"2,039",40.3
15,George Mason (Atlantic 10),32,20-12,723,"1,791",40.4
16,San Diego St. (Mountain West),37,26-11,857,"2,117",40.5
17,CSUN (Big West),34,19-15,825,"2,037",40.5
18,Richmond (Atlantic 10),33,23-10,783,"1,932",40.5
19,Virginia (ACC),34,23-11,732,"1,805",40.6
20,Western Ill. (OVC),33,21-12,819,"2,018",40.6
21,Vermont (America East),35,28-7,805,"1,982",40.6
22,Gonzaga (WCC),35,27-8,882,"2,169",40.7
23,A&M-Corpus Christi (Southland),33,21-12,714,"1,755",40.7
24,VCU (Atlantic 10),38,24-14,870,"2,138",40.7
25,Rutgers (Big Ten),32,15-17,733,"1,798",40.8
26,Western Caro. (SoCon),32,22-10,789,"1,934",40.8
27,Norfolk St. (MEAC),35,24-11,762,"1,866",40.8
28,Villanova (Big East),34,18-16,788,"1,926",40.9
29,Central Mich. (MAC),32,18-14,784,"1,916",40.9
30,Kansas (Big 12),34,23-11,842,"2,055",41
31,North Carolina (ACC),37,29-8,935,"2,281",41
32,UNC Greensboro (SoCon),32,21-11,749,"1,826",41
33,Marist (MAAC),31,18-13,670,"1,633",41
34,Kansas St. (Big 12),34,19-15,849,"2,068",41.1
35,Bradley (MVC),35,23-12,804,"1,955",41.1
36,UCF (Big 12),33,17-16,741,"1,800",41.2
37,Alabama St. (SWAC),32,13-19,721,"1,751",41.2
38,UC Irvine (Big West),34,24-10,817,"1,984",41.2
39,Seattle U (WAC),37,23-14,871,"2,115",41.2
40,Michigan St. (Big Ten),35,20-15,800,"1,938",41.3
41,SMU (AAC),33,20-13,793,"1,921",41.3
42,Colgate (Patriot),35,25-10,834,"2,020",41.3
43,Clemson (ACC),36,24-12,885,"2,140",41.4
44,Hofstra (CAA),33,20-13,786,"1,899",41.4
45,UMass Lowell (America East),32,22-10,851,"2,055",41.4
46,North Texas (AAC),34,19-15,740,"1,785",41.5
47,Western Ky. (CUSA),34,22-12,889,"2,144",41.5
48,Missouri St. (MVC),33,17-16,859,"2,067",41.6
49,James Madison (Sun Belt),36,32-4,878,"2,112",41.6
50,Providence (Big East),35,21-14,872,"2,094",41.6
51,UT Martin (OVC),32,21-11,904,"2,170",41.7
52,Saint Peter's (MAAC),33,19-14,707,"1,696",41.7
53,Purdue (Big Ten),39,34-5,"1,011","2,423",41.7
54,Chattanooga (SoCon),33,21-12,851,"2,039",41.7
55,Merrimack (NEC),33,21-12,782,"1,873",41.8
56,Lafayette (Patriot),32,11-21,752,"1,801",41.8
57,Youngstown St. (Horizon),32,22-10,821,"1,966",41.8
58,Maryland (Big Ten),33,16-17,763,"1,825",41.8
59,Creighton (Big East),35,25-10,972,"2,324",41.8
60,Nevada (Mountain West),34,26-8,789,"1,886",41.8
61,Drexel (CAA),32,20-12,784,"1,874",41.8
62,Mississippi St. (SEC),35,21-14,844,"2,016",41.9
63,Dayton (Atlantic 10),33,25-8,816,"1,948",41.9
64,South Fla. (AAC),33,25-8,806,"1,924",41.9
65,Cincinnati (Big 12),37,22-15,900,"2,148",41.9
66,Little Rock (OVC),34,21-13,844,"2,012",41.9
67,Saint Joseph's (Atlantic 10),35,21-14,873,"2,080",42
68,Indiana (Big Ten),33,19-14,845,"2,013",42
69,Towson (CAA),34,20-14,770,"1,833",42
70,New Mexico St. (CUSA),32,13-19,762,"1,812",42.1
71,Coastal Carolina (Sun Belt),31,9-22,856,"2,035",42.1
72,Yale (Ivy League),33,23-10,788,"1,873",42.1
73,Wichita St. (AAC),34,15-19,895,"2,126",42.1
74,Lamar University (Southland),33,19-14,808,"1,919",42.1
75,Massachusetts (Atlantic 10),31,20-11,739,"1,755",42.1
76,Winthrop (Big South),32,17-15,785,"1,864",42.1
77,Binghamton (America East),30,15-15,754,"1,790",42.1
78,N.C. Central (MEAC),31,18-13,747,"1,773",42.1
79,South Dakota St. (Summit League),35,22-13,876,"2,079",42.1
80,Arizona (Pac-12),36,27-9,949,"2,252",42.1
81,Quinnipiac (MAAC),34,24-10,874,"2,074",42.1
82,Washington St. (Pac-12),35,25-10,834,"1,979",42.1
83,Oklahoma (Big 12),32,20-12,782,"1,855",42.2
84,Wagner (NEC),33,17-16,753,"1,786",42.2
85,Tennessee St. (OVC),33,18-15,790,"1,873",42.2
86,Notre Dame (ACC),33,13-20,806,"1,910",42.2
87,Utah Valley (WAC),32,16-16,774,"1,834",42.2
88,UT Arlington (WAC),34,20-14,828,"1,961",42.2
89,New Mexico (Mountain West),36,26-10,896,"2,122",42.2
90,Seton Hall (Big East),37,25-12,926,"2,193",42.2
91,Central Conn. St. (NEC),31,20-11,764,"1,809",42.2
92,Stony Brook (CAA),35,20-15,908,"2,148",42.3
93,Rider (MAAC),32,15-17,794,"1,878",42.3
94,Duquesne (Atlantic 10),37,25-12,862,"2,037",42.3
95,Davidson (Atlantic 10),32,15-17,761,"1,798",42.3
96,SFA (WAC),33,18-15,759,"1,792",42.4
97,UCLA (Pac-12),33,16-17,741,"1,747",42.4
98,Texas Southern (SWAC),33,16-17,799,"1,882",42.5
99,Ohio (MAC),33,20-13,809,"1,904",42.5
100,Santa Clara (WCC),33,20-13,843,"1,984",42.5
101,Texas (Big 12),34,21-13,826,"1,940",42.6
102,Alabama A&M (SWAC),35,12-23,856,"2,010",42.6
103,Harvard (Ivy League),27,14-13,710,"1,667",42.6
104,Delaware (CAA),33,19-14,848,"1,991",42.6
105,UIC (MVC),33,12-21,818,"1,920",42.6
106,Colorado St. (Mountain West),36,25-11,865,"2,030",42.6
107,Marquette (Big East),37,27-10,919,"2,156",42.6
108,Georgia St. (Sun Belt),31,14-17,816,"1,914",42.6
109,Sam Houston (CUSA),33,21-12,794,"1,862",42.6
110,Charlotte (AAC),31,19-12,731,"1,714",42.6
111,Bucknell (Patriot),33,14-19,781,"1,831",42.7
112,Boston U. (Patriot),33,16-17,758,"1,777",42.7
113,Monmouth (CAA),33,18-15,819,"1,919",42.7
114,Eastern Ky. (ASUN),31,17-14,847,"1,984",42.7
115,Utah (Pac-12),37,22-15,"1,002","2,347",42.7
116,Memphis (AAC),32,22-10,855,"2,001",42.7
117,UNLV (Mountain West),34,21-13,835,"1,954",42.7
118,Tulsa (AAC),31,16-15,800,"1,872",42.7
119,BYU (Big 12),34,23-11,856,"2,003",42.7
120,San Francisco (WCC),34,23-11,776,"1,814",42.8
121,Miami (OH) (MAC),32,15-17,800,"1,870",42.8
122,Ohio St. (Big Ten),36,22-14,913,"2,133",42.8
123,LSU (SEC),33,17-16,848,"1,981",42.8
124,Troy (Sun Belt),32,20-12,777,"1,815",42.8
125,Georgia Tech (ACC),32,14-18,846,"1,976",42.8
126,Texas A&M (SEC),36,21-15,898,"2,095",42.9
127,Army West Point (Patriot),32,10-22,734,"1,712",42.9
