Rank,Team,GM,W-L,FTA PG
1,Winthrop (Big South),32,17-15,26.8
2,Tulane (AAC),31,14-17,26.2
3,Arkansas (SEC),33,16-17,26
4,Alabama A&M (SWAC),35,12-23,25.9
5,Grand Canyon (WAC),35,30-5,25.8
6,High Point (Big South),36,27-9,25.8
7,Florida (SEC),36,24-12,25.1
8,Texas A&M (SEC),36,21-15,24.7
9,Nevada (Mountain West),34,26-8,24.2
10,SFA (WAC),33,18-15,24.1
11,Purdue (Big Ten),39,34-5,24.1
12,UAB (AAC),35,23-12,23.8
13,UTEP (CUSA),34,18-16,23.8
14,Long Beach St. (Big West),36,21-15,23.8
15,Troy (Sun Belt),32,20-12,23.5
16,UNC Asheville (Big South),34,22-12,23.5
17,UTRGV (WAC),31,6-25,23.5
18,Arizona (Pac-12),36,27-9,23.4
19,New Orleans (Southland),33,10-23,23.4
20,UMass Lowell (America East),32,22-10,23.3
21,Auburn (SEC),35,27-8,23.2
22,Tulsa (AAC),31,16-15,23.1
23,Louisiana Tech (CUSA),32,22-10,23.1
24,Howard (MEAC),35,18-17,23.1
25,N.C. Central (MEAC),31,18-13,23
26,Illinois (Big Ten),38,29-9,23
27,Longwood (Big South),35,21-14,23
28,Maryland (Big Ten),33,16-17,22.9
29,Denver (Summit League),34,17-17,22.9
30,Alabama (SEC),37,25-12,22.8
30,North Carolina (ACC),37,29-8,22.8
32,Baylor (Big 12),35,24-11,22.6
33,Delaware St. (MEAC),34,15-19,22.5
34,Norfolk St. (MEAC),35,24-11,22.5
35,Utah St. (Mountain West),35,28-7,22.4
36,A&M-Corpus Christi (Southland),33,21-12,22.4
37,Rhode Island (Atlantic 10),32,12-20,22.3
38,Florida St. (ACC),33,17-16,22.3
39,Abilene Christian (WAC),34,16-18,22.3
39,CSUN (Big West),34,19-15,22.3
41,Louisville (ACC),32,8-24,22.3
42,Omaha (Summit League),33,15-18,22.2
43,ULM (Sun Belt),30,11-19,22.2
44,Memphis (AAC),32,22-10,22.2
45,LSU (SEC),33,17-16,22.1
46,Ark.-Pine Bluff (SWAC),31,13-18,22
46,Kennesaw St. (ASUN),31,15-16,22
48,UT Arlington (WAC),34,20-14,22
49,Massachusetts (Atlantic 10),31,20-11,22
50,McNeese (Southland),34,30-4,21.9
51,UCF (Big 12),33,17-16,21.9
52,UTSA (AAC),32,11-21,21.9
53,Houston Christian (Southland),29,6-23,21.9
54,Samford (SoCon),35,29-6,21.9
55,Alcorn (SWAC),32,14-18,21.8
56,UC Santa Barbara (Big West),31,16-15,21.8
57,Bethune-Cookman (SWAC),34,17-17,21.8
58,South Fla. (AAC),33,25-8,21.8
59,Prairie View (SWAC),31,10-21,21.8
60,Southern Utah (WAC),31,10-21,21.7
61,Georgia (SEC),37,20-17,21.7
62,Mississippi St. (SEC),35,21-14,21.7
63,Southern Miss. (Sun Belt),32,16-16,21.7
64,South Carolina St. (MEAC),32,14-18,21.6
65,Kansas St. (Big 12),34,19-15,21.6
66,Saint Peter's (MAAC),33,19-14,21.6
67,New Mexico (Mountain West),36,26-10,21.6
68,TCU (Big 12),34,21-13,21.5
69,Nicholls (Southland),34,20-14,21.5
70,Bowling Green (MAC),34,20-14,21.5
71,Ball St. (MAC),31,15-16,21.5
72,Wyoming (Mountain West),32,15-17,21.4
73,Milwaukee (Horizon),35,20-15,21.4
74,James Madison (Sun Belt),36,32-4,21.4
75,Cal St. Fullerton (Big West),32,14-18,21.4
76,Texas St. (Sun Belt),35,17-18,21.3
77,Fla. Atlantic (AAC),34,25-9,21.3
78,Eastern Wash. (Big Sky),32,21-11,21.3
79,Gardner-Webb (Big South),33,17-16,21.3
80,FDU (NEC),32,15-17,21.3
80,Toledo (MAC),32,20-12,21.3
82,Fordham (Atlantic 10),33,13-20,21.2
82,Presbyterian (Big South),33,14-19,21.2
84,NIU (MAC),31,11-20,21.2
85,California Baptist (WAC),33,16-17,21.2
86,San Diego St. (Mountain West),37,26-11,21.2
87,Saint Louis (Atlantic 10),33,13-20,21.2
87,UC Davis (Big West),33,20-13,21.2
89,Oklahoma (Big 12),32,20-12,21.2
90,Chicago St. (DI Independent),32,13-19,21.1
91,UNI (MVC),33,19-14,21.1
92,Indiana (Big Ten),33,19-14,21.1
93,Iowa (Big Ten),34,19-15,20.9
94,Northern Ky. (Horizon),33,18-15,20.9
94,Western Ill. (OVC),33,21-12,20.9
96,Penn St. (Big Ten),33,16-17,20.9
97,Jackson St. (SWAC),32,15-17,20.9
98,ETSU (SoCon),35,19-16,20.9
99,Jacksonville (ASUN),33,16-17,20.8
100,UT Martin (OVC),32,21-11,20.8
101,Grambling (SWAC),36,21-15,20.8
101,Tennessee (SEC),36,27-9,20.8
103,Tennessee St. (OVC),33,18-15,20.8
104,Boise St. (Mountain West),33,22-11,20.8
105,UIW (Southland),31,8-23,20.8
106,Hawaii (Big West),34,20-14,20.8
107,Northwestern St. (Southland),32,9-23,20.7
108,West Virginia (Big 12),32,9-23,20.7
109,Iowa St. (Big 12),37,29-8,20.7
110,Jacksonville St. (CUSA),32,14-18,20.7
111,Vanderbilt (SEC),32,9-23,20.6
112,Lamar University (Southland),33,19-14,20.6
113,Arkansas St. (Sun Belt),37,20-17,20.6
114,Ole Miss (SEC),32,20-12,20.6
115,Western Ky. (CUSA),34,22-12,20.6
116,Utah Valley (WAC),32,16-16,20.5
117,George Washington (Atlantic 10),32,15-17,20.4
118,Southern U. (SWAC),32,18-14,20.4
119,Portland St. (Big Sky),32,17-15,20.4
120,Navy (Patriot),31,13-18,20.4
121,Pacific (WCC),32,6-26,20.3
122,East Carolina (AAC),33,15-18,20.3
123,Eastern Ky. (ASUN),31,17-14,20.3
123,UNCW (CAA),31,21-10,20.3
125,Duke (ACC),36,27-9,20.1
126,Colorado (Pac-12),37,26-11,20.1
127,Sam Houston (CUSA),33,21-12,20.1
128,Furman (SoCon),33,17-16,20
129,Wright St. (Horizon),32,18-14,19.9
130,Ohio St. (Big Ten),36,22-14,19.9
131,George Mason (Atlantic 10),32,20-12,19.9
131,N.C. A&T (CAA),32,7-25,19.9
131,Weber St. (Big Sky),32,20-12,19.9
134,Washington (Pac-12),32,17-15,19.9
135,Coastal Carolina (Sun Belt),31,9-22,19.9
136,UC Irvine (Big West),34,24-10,19.9
137,Binghamton (America East),30,15-15,19.8
138,North Ala. (ASUN),32,15-17,19.8
138,Rutgers (Big Ten),32,15-17,19.8
138,Syracuse (ACC),32,20-12,19.8
141,Georgetown (Big East),32,9-23,19.8
141,Niagara (MAAC),32,16-16,19.8
143,Towson (CAA),34,20-14,19.8
143,Xavier (Big East),34,16-18,19.8
145,Cleveland St. (Horizon),36,21-15,19.8
146,Seattle U (WAC),37,23-14,19.7
147,Minnesota (Big Ten),34,19-15,19.7
148,Temple (AAC),36,16-20,19.7
149,Illinois St. (MVC),32,15-17,19.7
149,Oregon St. (Pac-12),32,13-19,19.7
151,Kentucky (SEC),33,23-10,19.7
151,Southern California (Pac-12),33,15-18,19.7
153,Arizona St. (Pac-12),32,14-18,19.7
153,Southern Ill. (MVC),32,19-13,19.7
155,Little Rock (OVC),34,21-13,19.5
155,Texas Tech (Big 12),34,23-11,19.5
157,Harvard (Ivy League),27,14-13,19.5
158,UCLA (Pac-12),33,16-17,19.5
159,Dayton (Atlantic 10),33,25-8,19.5
160,Drake (MVC),35,28-7,19.5
161,Brown (Ivy League),31,13-18,19.5
162,Wisconsin (Big Ten),36,22-14,19.4
163,NC State (ACC),41,26-15,19.4
164,Nebraska (Big Ten),34,23-11,19.4
165,Indiana St. (MVC),39,32-7,19.3
166,App State (Sun Belt),34,27-7,19.3
167,New Mexico St. (CUSA),32,13-19,19.3
168,San Diego (WCC),33,18-15,19.2
169,Southeastern La. (Southland),32,15-17,19.2
170,Middle Tenn. (CUSA),33,14-19,19.1
170,SIUE (OVC),33,17-16,19.1
172,Oklahoma St. (Big 12),32,12-20,19.1
172,South Alabama (Sun Belt),32,16-16,19.1
174,Oregon (Pac-12),36,24-12,19.1
175,Loyola Chicago (Atlantic 10),33,23-10,19.1
176,IU Indy (Horizon),32,6-26,19
177,Pepperdine (WCC),33,13-20,19
178,Kent St. (MAC),34,17-17,19
178,Rider (MAAC),32,15-17,19
180,VCU (Atlantic 10),38,24-14,19
181,Quinnipiac (MAAC),34,24-10,19
182,UConn (Big East),40,37-3,18.9
183,NJIT (America East),28,7-21,18.9
184,Bryant (America East),33,20-13,18.9
184,Ohio (MAC),33,20-13,18.9
186,Gonzaga (WCC),35,27-8,18.9
187,CSU Bakersfield (Big West),32,13-19,18.8
187,Davidson (Atlantic 10),32,15-17,18.8
187,The Citadel (SoCon),32,11-21,18.8
190,Merrimack (NEC),33,21-12,18.8
190,Santa Clara (WCC),33,20-13,18.8
190,William & Mary (CAA),33,10-23,18.8
193,North Dakota (Summit League),32,18-14,18.8
194,Michigan (Big Ten),32,8-24,18.7
195,Wake Forest (ACC),35,21-14,18.7
196,Marshall (Sun Belt),33,13-20,18.6
197,Austin Peay (ASUN),35,19-16,18.6
198,Lehigh (Patriot),32,14-18,18.6
199,UMES (MEAC),29,9-20,18.6
200,UNLV (Mountain West),34,21-13,18.6
201,Central Conn. St. (NEC),31,20-11,18.6
202,Western Mich. (MAC),32,12-20,18.6
203,Charlotte (AAC),31,19-12,18.6
204,Houston (Big 12),37,32-5,18.6
205,UAlbany (America East),32,13-19,18.6
206,Kansas (Big 12),34,23-11,18.5
207,Oakland (Horizon),36,24-12,18.5
208,Alabama St. (SWAC),32,13-19,18.5
208,Virginia Tech (ACC),34,19-15,18.5
