Rank,Team,GM,W-L,FT PG
1,High Point (Big South),36,27-9,20.1
2,Arkansas (SEC),33,16-17,19.7
3,Grand Canyon (WAC),35,30-5,19.3
4,Tulane (AAC),31,14-17,19.2
5,Winthrop (Big South),32,17-15,18.8
6,Alabama A&M (SWAC),35,12-23,18.7
7,Florida (SEC),36,24-12,17.9
8,UAB (AAC),35,23-12,17.8
9,Alabama (SEC),37,25-12,17.6
10,Texas A&M (SEC),36,21-15,17.5
11,Nevada (Mountain West),34,26-8,17.4
11,UNC Asheville (Big South),34,22-12,17.4
13,Auburn (SEC),35,27-8,17.4
14,Howard (MEAC),35,18-17,17.3
15,Purdue (Big Ten),39,34-5,17.3
16,North Carolina (ACC),37,29-8,17.3
17,Troy (Sun Belt),32,20-12,17.3
18,UMass Lowell (America East),32,22-10,17.2
19,Tulsa (AAC),31,16-15,17
20,SFA (WAC),33,18-15,17
21,Illinois (Big Ten),38,29-9,16.9
22,New Orleans (Southland),33,10-23,16.8
23,Long Beach St. (Big West),36,21-15,16.8
24,Arizona (Pac-12),36,27-9,16.8
25,Ark.-Pine Bluff (SWAC),31,13-18,16.8
26,Denver (Summit League),34,17-17,16.7
27,Louisville (ACC),32,8-24,16.6
28,UTRGV (WAC),31,6-25,16.5
29,Baylor (Big 12),35,24-11,16.5
30,Maryland (Big Ten),33,16-17,16.5
30,Omaha (Summit League),33,15-18,16.5
32,Bethune-Cookman (SWAC),34,17-17,16.5
33,Ball St. (MAC),31,15-16,16.5
34,UTEP (CUSA),34,18-16,16.4
35,Eastern Wash. (Big Sky),32,21-11,16.4
36,Norfolk St. (MEAC),35,24-11,16.3
37,Iowa (Big Ten),34,19-15,16.2
38,Abilene Christian (WAC),34,16-18,16.2
39,Louisiana Tech (CUSA),32,22-10,16.2
40,UT Arlington (WAC),34,20-14,16.1
41,Utah St. (Mountain West),35,28-7,16.1
42,UC Santa Barbara (Big West),31,16-15,16.1
43,Memphis (AAC),32,22-10,16.1
43,UT Martin (OVC),32,21-11,16.1
45,South Fla. (AAC),33,25-8,16.1
46,Toledo (MAC),32,20-12,16
47,LSU (SEC),33,17-16,16
47,N.C. Central (MEAC),31,18-13,16
49,Delaware St. (MEAC),34,15-19,15.9
50,Saint Louis (Atlantic 10),33,13-20,15.9
51,Wyoming (Mountain West),32,15-17,15.9
52,UC Davis (Big West),33,20-13,15.8
53,Southern Utah (WAC),31,10-21,15.8
54,Samford (SoCon),35,29-6,15.8
55,Longwood (Big South),35,21-14,15.8
56,Florida St. (ACC),33,17-16,15.8
57,Colorado (Pac-12),37,26-11,15.8
58,TCU (Big 12),34,21-13,15.7
59,A&M-Corpus Christi (Southland),33,21-12,15.7
59,Tennessee St. (OVC),33,18-15,15.7
61,Oklahoma (Big 12),32,20-12,15.7
62,Prairie View (SWAC),31,10-21,15.7
63,Tennessee (SEC),36,27-9,15.6
64,Georgia (SEC),37,20-17,15.6
65,Penn St. (Big Ten),33,16-17,15.6
66,Nicholls (Southland),34,20-14,15.6
67,Milwaukee (Horizon),35,20-15,15.6
68,Alcorn (SWAC),32,14-18,15.6
68,UTSA (AAC),32,11-21,15.6
70,Kansas St. (Big 12),34,19-15,15.6
71,San Diego St. (Mountain West),37,26-11,15.5
72,Saint Peter's (MAAC),33,19-14,15.4
73,UNCW (CAA),31,21-10,15.4
74,Indiana St. (MVC),39,32-7,15.4
75,UCF (Big 12),33,17-16,15.4
76,Massachusetts (Atlantic 10),31,20-11,15.4
77,Bowling Green (MAC),34,20-14,15.4
78,Fla. Atlantic (AAC),34,25-9,15.3
79,Boise St. (Mountain West),33,22-11,15.3
80,Ohio St. (Big Ten),36,22-14,15.3
81,George Washington (Atlantic 10),32,15-17,15.3
81,New Mexico (Mountain West),36,26-10,15.3
83,Texas Tech (Big 12),34,23-11,15.2
84,North Ala. (ASUN),32,15-17,15.2
85,Kentucky (SEC),33,23-10,15.2
86,McNeese (Southland),34,30-4,15.2
87,Cal St. Fullerton (Big West),32,14-18,15.2
87,Southern Miss. (Sun Belt),32,16-16,15.2
89,UIW (Southland),31,8-23,15.1
90,Wright St. (Horizon),32,18-14,15.1
91,Northern Ky. (Horizon),33,18-15,15.1
92,James Madison (Sun Belt),36,32-4,15.1
93,Chicago St. (DI Independent),32,13-19,15
94,Lamar University (Southland),33,19-14,15
95,Ole Miss (SEC),32,20-12,15
