Rank,Team,GM,W-L,ORebs,ORPG
1,Texas A&M (SEC),36,21-15,627,17.42
2,South Carolina St. (MEAC),32,14-18,477,14.91
3,Florida (SEC),36,24-12,527,14.64
4,Western Ill. (OVC),33,21-12,482,14.61
5,SMU (AAC),33,20-13,480,14.55
6,Towson (CAA),34,20-14,491,14.44
7,St. John's (NY) (Big East),33,20-13,476,14.42
8,Alabama St. (SWAC),32,13-19,453,14.16
9,ETSU (SoCon),35,19-16,486,13.89
10,Milwaukee (Horizon),35,20-15,473,13.51
11,Houston (Big 12),37,32-5,497,13.43
12,Longwood (Big South),35,21-14,470,13.43
13,Massachusetts (Atlantic 10),31,20-11,416,13.42
14,Troy (Sun Belt),32,20-12,427,13.34
15,Cincinnati (Big 12),37,22-15,492,13.30
16,A&M-Corpus Christi (Southland),33,21-12,438,13.27
17,Eastern Ky. (ASUN),31,17-14,410,13.23
18,High Point (Big South),36,27-9,476,13.22
19,Arkansas St. (Sun Belt),37,20-17,489,13.22
20,ULM (Sun Belt),30,11-19,396,13.20
21,Saint Mary's (CA) (WCC),34,26-8,448,13.18
22,UTSA (AAC),32,11-21,419,13.09
23,Arizona (Pac-12),36,27-9,471,13.08
24,Col. of Charleston (CAA),35,27-8,457,13.06
25,Jackson St. (SWAC),32,15-17,417,13.03
26,Fordham (Atlantic 10),33,13-20,430,13.03
27,UAB (AAC),35,23-12,451,12.89
28,New Mexico (Mountain West),36,26-10,462,12.83
29,Illinois (Big Ten),38,29-9,486,12.79
30,Youngstown St. (Horizon),32,22-10,409,12.78
31,Alabama (SEC),37,25-12,472,12.76
32,TCU (Big 12),34,21-13,433,12.74
33,Cleveland St. (Horizon),36,21-15,455,12.64
34,Western Mich. (MAC),32,12-20,402,12.56
35,Long Beach St. (Big West),36,21-15,450,12.50
36,Jacksonville (ASUN),33,16-17,412,12.48
36,Lamar University (Southland),33,19-14,412,12.48
38,Mississippi St. (SEC),35,21-14,436,12.46
39,Saint Peter's (MAAC),33,19-14,411,12.45
40,Navy (Patriot),31,13-18,386,12.45
41,UCF (Big 12),33,17-16,408,12.36
42,UC Riverside (Big West),34,16-18,420,12.35
43,Marshall (Sun Belt),33,13-20,406,12.30
44,Kennesaw St. (ASUN),31,15-16,380,12.26
45,Rutgers (Big Ten),32,15-17,392,12.25
46,Robert Morris (Horizon),32,10-22,391,12.22
47,North Carolina (ACC),37,29-8,452,12.22
48,Purdue (Big Ten),39,34-5,476,12.21
49,Georgetown (Big East),32,9-23,390,12.19
50,Chicago St. (DI Independent),32,13-19,389,12.16
51,California Baptist (WAC),33,16-17,397,12.03
51,Santa Clara (WCC),33,20-13,397,12.03
53,Seton Hall (Big East),37,25-12,445,12.03
54,Canisius (MAAC),32,14-18,384,12.00
55,Memphis (AAC),32,22-10,383,11.97
56,CSU Bakersfield (Big West),32,13-19,382,11.94
57,Houston Christian (Southland),29,6-23,346,11.93
58,BYU (Big 12),34,23-11,405,11.91
59,East Carolina (AAC),33,15-18,393,11.91
59,SFA (WAC),33,18-15,393,11.91
59,Sam Houston (CUSA),33,21-12,393,11.91
62,Saint Francis (PA) (NEC),30,8-22,357,11.90
63,UT Arlington (WAC),34,20-14,404,11.88
64,Brown (Ivy League),31,13-18,367,11.84
65,CSUN (Big West),34,19-15,402,11.82
66,Xavier (Big East),34,16-18,401,11.79
67,Grand Canyon (WAC),35,30-5,412,11.77
68,Louisiana Tech (CUSA),32,22-10,376,11.75
69,Sacramento St. (Big Sky),34,10-24,399,11.74
70,UConn (Big East),40,37-3,469,11.73
