Rank,Team,GM,REB,RPG
1,Texas A&M (SEC),36,"1,541",42.81
2,Arizona (Pac-12),36,"1,533",42.58
3,Western Ill. (OVC),33,"1,397",42.33
4,Florida (SEC),36,"1,522",42.28
5,App State (Sun Belt),34,"1,416",41.65
6,UT Martin (OVC),32,"1,319",41.22
7,North Carolina (ACC),37,"1,520",41.08
8,Illinois (Big Ten),38,"1,554",40.89
9,UMass Lowell (America East),32,"1,305",40.78
10,Purdue (Big Ten),39,"1,577",40.44
11,Coastal Carolina (Sun Belt),31,"1,250",40.32
12,UTSA (AAC),32,"1,289",40.28
13,A&M-Corpus Christi (Southland),33,"1,328",40.24
14,Eastern Ky. (ASUN),31,"1,244",40.13
15,CSUN (Big West),34,"1,362",40.06
16,High Point (Big South),36,"1,440",40.00
17,Youngstown St. (Horizon),32,"1,279",39.97
18,Western Ky. (CUSA),34,"1,358",39.94
19,SMU (AAC),33,"1,314",39.82
20,Col. of Charleston (CAA),35,"1,392",39.77
21,New Mexico (Mountain West),36,"1,429",39.69
22,Western Caro. (SoCon),32,"1,269",39.66
23,Alabama (SEC),37,"1,467",39.65
24,Saint Mary's (CA) (WCC),34,"1,345",39.56
25,Alabama St. (SWAC),32,"1,265",39.53
26,BYU (Big 12),34,"1,343",39.50
27,Marshall (Sun Belt),33,"1,303",39.48
28,Cincinnati (Big 12),37,"1,460",39.46
29,Wichita St. (AAC),34,"1,339",39.38
30,Towson (CAA),34,"1,337",39.32
31,Santa Clara (WCC),33,"1,296",39.27
32,Morehead St. (OVC),35,"1,372",39.20
33,Drexel (CAA),32,"1,253",39.16
34,Missouri St. (MVC),33,"1,291",39.12
35,Milwaukee (Horizon),35,"1,364",38.97
36,Louisiana Tech (CUSA),32,"1,244",38.88
37,Utah (Pac-12),37,"1,438",38.86
38,Long Beach St. (Big West),36,"1,399",38.86
39,Kennesaw St. (ASUN),31,"1,204",38.84
40,UConn (Big East),40,"1,553",38.83
41,St. John's (NY) (Big East),33,"1,279",38.76
42,Gonzaga (WCC),35,"1,355",38.71
43,Tennessee (SEC),36,"1,393",38.69
44,James Madison (Sun Belt),36,"1,390",38.61
45,ETSU (SoCon),35,"1,350",38.57
46,Binghamton (America East),30,"1,156",38.53
47,Troy (Sun Belt),32,"1,230",38.44
48,Longwood (Big South),35,"1,343",38.37
49,Arkansas St. (Sun Belt),37,"1,419",38.35
50,Massachusetts (Atlantic 10),31,"1,188",38.32
51,Gardner-Webb (Big South),33,"1,260",38.18
52,Xavier (Big East),34,"1,297",38.15
53,Grand Canyon (WAC),35,"1,335",38.14
54,Creighton (Big East),35,"1,334",38.11
55,Georgia Tech (ACC),32,"1,219",38.09
56,Lamar University (Southland),33,"1,257",38.09
57,Mississippi St. (SEC),35,"1,333",38.09
58,Fla. Atlantic (AAC),34,"1,294",38.06
59,Sam Houston (CUSA),33,"1,255",38.03
60,Bowling Green (MAC),34,"1,292",38.00
61,UAB (AAC),35,"1,329",37.97
62,Western Mich. (MAC),32,"1,212",37.88
63,UC Irvine (Big West),34,"1,287",37.85
64,Auburn (SEC),35,"1,323",37.80
65,Furman (SoCon),33,"1,247",37.79
66,San Diego St. (Mountain West),37,"1,398",37.78
67,ULM (Sun Belt),30,"1,133",37.77
68,Bryant (America East),33,"1,246",37.76
69,UCF (Big 12),33,"1,243",37.67
70,Nebraska (Big Ten),34,"1,280",37.65
71,Washington St. (Pac-12),35,"1,317",37.63
72,California Baptist (WAC),33,"1,241",37.61
72,Kentucky (SEC),33,"1,241",37.61
74,South Carolina St. (MEAC),32,"1,203",37.59
75,Rider (MAAC),32,"1,202",37.56
76,Kansas St. (Big 12),34,"1,275",37.50
76,UT Arlington (WAC),34,"1,275",37.50
78,South Dakota (Summit League),32,"1,198",37.44
79,Georgia St. (Sun Belt),31,"1,160",37.42
79,New Hampshire (America East),31,"1,160",37.42
81,Boise St. (Mountain West),33,"1,231",37.30
82,Seton Hall (Big East),37,"1,379",37.27
83,Brown (Ivy League),31,"1,154",37.23
84,FDU (NEC),32,"1,191",37.22
85,Wofford (SoCon),32,"1,190",37.19
86,California (Pac-12),32,"1,189",37.16
87,TCU (Big 12),34,"1,263",37.15
88,Houston (Big 12),37,"1,374",37.14
89,Rutgers (Big Ten),32,"1,188",37.13
90,Fordham (Atlantic 10),33,"1,225",37.12
