Rank,Team,GM,W-L,OPP PTS,OPP PPG
1,Houston (Big 12),37,32-5,"2,132",57.6
2,Saint Mary's (CA) (WCC),34,26-8,"2,013",59.2
3,Virginia (ACC),34,23-11,"2,031",59.7
4,Iowa St. (Big 12),37,29-8,"2,277",61.5
5,Marist (MAAC),31,18-13,"1,928",62.2
6,McNeese (Southland),34,30-4,"2,116",62.2
7,Vermont (America East),35,28-7,"2,205",63
8,Wagner (NEC),33,17-16,"2,083",63.1
9,UConn (Big East),40,37-3,"2,536",63.4
10,Morehead St. (OVC),35,26-9,"2,220",63.4
11,Towson (CAA),34,20-14,"2,164",63.6
12,North Texas (AAC),34,19-15,"2,169",63.8
13,Saint Peter's (MAAC),33,19-14,"2,113",64
14,Colgate (Patriot),35,25-10,"2,242",64.1
15,Army West Point (Patriot),32,10-22,"2,059",64.3
16,Louisiana Tech (CUSA),32,22-10,"2,065",64.5
17,Merrimack (NEC),33,21-12,"2,159",65.4
18,UCLA (Pac-12),33,16-17,"2,160",65.5
19,Liberty (CUSA),32,18-14,"2,096",65.5
20,Charlotte (AAC),31,19-12,"2,034",65.6
21,Villanova (Big East),34,18-16,"2,231",65.6
22,Western Ill. (OVC),33,21-12,"2,167",65.7
23,Maryland (Big Ten),33,16-17,"2,174",65.9
24,George Mason (Atlantic 10),32,20-12,"2,109",65.9
25,Michigan St. (Big Ten),35,20-15,"2,312",66.1
26,Akron (MAC),35,24-11,"2,316",66.2
27,Richmond (Atlantic 10),33,23-10,"2,188",66.3
28,Duke (ACC),36,27-9,"2,387",66.3
29,Jacksonville St. (CUSA),32,14-18,"2,126",66.4
30,Dayton (Atlantic 10),33,25-8,"2,193",66.5
31,Central Conn. St. (NEC),31,20-11,"2,061",66.5
32,San Francisco (WCC),34,23-11,"2,262",66.5
33,Rutgers (Big Ten),32,15-17,"2,129",66.5
34,Boston U. (Patriot),33,16-17,"2,196",66.5
35,Drexel (CAA),32,20-12,"2,130",66.6
36,California Baptist (WAC),33,16-17,"2,197",66.6
37,Princeton (Ivy League),29,24-5,"1,932",66.6
38,A&M-Corpus Christi (Southland),33,21-12,"2,200",66.7
39,Duquesne (Atlantic 10),37,25-12,"2,467",66.7
39,San Diego St. (Mountain West),37,26-11,"2,467",66.7
41,Navy (Patriot),31,13-18,"2,067",66.7
42,VCU (Atlantic 10),38,24-14,"2,534",66.7
43,Washington St. (Pac-12),35,25-10,"2,335",66.7
44,Seattle U (WAC),37,23-14,"2,471",66.8
45,Nevada (Mountain West),34,26-8,"2,276",66.9
46,Grand Canyon (WAC),35,30-5,"2,346",67
47,Bradley (MVC),35,23-12,"2,348",67.1
48,App State (Sun Belt),34,27-7,"2,283",67.1
49,Notre Dame (ACC),33,13-20,"2,216",67.2
50,Bucknell (Patriot),33,14-19,"2,217",67.2
51,Colorado St. (Mountain West),36,25-11,"2,422",67.3
52,Boise St. (Mountain West),33,22-11,"2,221",67.3
53,Lafayette (Patriot),32,11-21,"2,154",67.3
54,Tennessee (SEC),36,27-9,"2,426",67.4
55,Yale (Ivy League),33,23-10,"2,226",67.5
56,Maine (America East),32,15-17,"2,159",67.5
57,Loyola Chicago (Atlantic 10),33,23-10,"2,228",67.5
58,Weber St. (Big Sky),32,20-12,"2,161",67.5
59,Norfolk St. (MEAC),35,24-11,"2,364",67.5
60,South Carolina (SEC),34,26-8,"2,297",67.6
61,Pittsburgh (ACC),33,22-11,"2,232",67.6
62,Illinois St. (MVC),32,15-17,"2,165",67.7
63,Eastern Ill. (OVC),32,14-18,"2,172",67.9
64,Davidson (Atlantic 10),32,15-17,"2,174",67.9
65,UCF (Big 12),33,17-16,"2,242",67.9
66,American (Patriot),32,16-16,"2,176",68
67,UC Davis (Big West),33,20-13,"2,246",68.1
68,Cincinnati (Big 12),37,22-15,"2,522",68.2
69,Southern Ill. (MVC),32,19-13,"2,183",68.2
70,UC Irvine (Big West),34,24-10,"2,321",68.3
71,Auburn (SEC),35,27-8,"2,391",68.3
72,Hofstra (CAA),33,20-13,"2,259",68.5
73,Longwood (Big South),35,21-14,"2,396",68.5
74,Utah Valley (WAC),32,16-16,"2,195",68.6
75,St. Bonaventure (Atlantic 10),33,20-13,"2,265",68.6
76,Southern U. (SWAC),32,18-14,"2,198",68.7
76,Western Caro. (SoCon),32,22-10,"2,198",68.7
78,Hawaii (Big West),34,20-14,"2,337",68.7
79,Providence (Big East),35,21-14,"2,407",68.8
80,Oklahoma (Big 12),32,20-12,"2,201",68.8
81,SMU (AAC),33,20-13,"2,271",68.8
82,UNLV (Mountain West),34,21-13,"2,341",68.9
83,Texas (Big 12),34,21-13,"2,342",68.9
84,Purdue (Big Ten),39,34-5,"2,689",68.9
85,Green Bay (Horizon),32,18-14,"2,207",69
86,N.C. Central (MEAC),31,18-13,"2,139",69
87,Mississippi St. (SEC),35,21-14,"2,417",69.1
88,Northwestern (Big Ten),34,22-12,"2,348",69.1
88,UTEP (CUSA),34,18-16,"2,348",69.1
90,Cal St. Fullerton (Big West),32,14-18,"2,212",69.1
91,Gonzaga (WCC),35,27-8,"2,420",69.1
92,Sam Houston (CUSA),33,21-12,"2,282",69.2
93,CSU Bakersfield (Big West),32,13-19,"2,214",69.2
94,Kansas City (Summit League),32,16-16,"2,217",69.3
95,South Fla. (AAC),33,25-8,"2,288",69.3
96,Alabama St. (SWAC),32,13-19,"2,221",69.4
97,ETSU (SoCon),35,19-16,"2,435",69.6
98,Grambling (SWAC),36,21-15,"2,506",69.6
98,James Madison (Sun Belt),36,32-4,"2,506",69.6
100,Texas Tech (Big 12),34,23-11,"2,368",69.6
101,Delaware (CAA),33,19-14,"2,299",69.7
102,UNC Greensboro (SoCon),32,21-11,"2,233",69.8
103,Marquette (Big East),37,27-10,"2,583",69.8
104,Kansas (Big 12),34,23-11,"2,376",69.9
105,Creighton (Big East),35,25-10,"2,446",69.9
106,Murray St. (MVC),32,12-20,"2,237",69.9
107,Seton Hall (Big East),37,25-12,"2,587",69.9
108,BYU (Big 12),34,23-11,"2,378",69.9
109,Ohio (MAC),33,20-13,"2,309",70
110,Wisconsin (Big Ten),36,22-14,"2,520",70
111,Miami (OH) (MAC),32,15-17,"2,241",70
112,Texas St. (Sun Belt),35,17-18,"2,452",70.1
113,Central Mich. (MAC),32,18-14,"2,242",70.1
114,Idaho St. (Big Sky),34,14-20,"2,383",70.1
115,SIUE (OVC),33,17-16,"2,314",70.1
116,Ohio St. (Big Ten),36,22-14,"2,528",70.2
117,East Carolina (AAC),33,15-18,"2,319",70.3
117,Middle Tenn. (CUSA),33,14-19,"2,319",70.3
119,Drake (MVC),35,28-7,"2,463",70.4
120,Sacramento St. (Big Sky),34,10-24,"2,394",70.4
121,North Carolina (ACC),37,29-8,"2,608",70.5
122,Saint Joseph's (Atlantic 10),35,21-14,"2,469",70.5
123,UMES (MEAC),29,9-20,"2,046",70.6
124,Chicago St. (DI Independent),32,13-19,"2,258",70.6
125,Iona (MAAC),33,16-17,"2,329",70.6
126,Troy (Sun Belt),32,20-12,"2,261",70.7
126,UMass Lowell (America East),32,22-10,"2,261",70.7
128,Wake Forest (ACC),35,21-14,"2,473",70.7
129,New Mexico (Mountain West),36,26-10,"2,545",70.7
130,Massachusetts (Atlantic 10),31,20-11,"2,193",70.7
131,Youngstown St. (Horizon),32,22-10,"2,269",70.9
132,Nebraska (Big Ten),34,23-11,"2,411",70.9
133,Ball St. (MAC),31,15-16,"2,200",71
134,Southeastern La. (Southland),32,15-17,"2,271",71
135,Virginia Tech (ACC),34,19-15,"2,413",71
136,Fairfield (MAAC),37,24-13,"2,626",71
137,Lehigh (Patriot),32,14-18,"2,272",71
137,Tennessee St. (OVC),33,18-15,"2,343",71
137,Bowling Green (MAC),34,20-14,"2,414",71
140,Delaware St. (MEAC),34,15-19,"2,415",71
141,Southern Miss. (Sun Belt),32,16-16,"2,273",71
142,UNCW (CAA),31,21-10,"2,202",71
143,Kansas St. (Big 12),34,19-15,"2,417",71.1
144,Texas Southern (SWAC),33,16-17,"2,346",71.1
144,UNI (MVC),33,19-14,"2,346",71.1
146,Baylor (Big 12),35,24-11,"2,489",71.1
147,FGCU (ASUN),32,14-18,"2,276",71.1
148,South Dakota St. (Summit League),35,22-13,"2,490",71.1
149,Idaho (Big Sky),32,11-21,"2,278",71.2
150,Clemson (ACC),36,24-12,"2,563",71.2
151,Quinnipiac (MAAC),34,24-10,"2,422",71.2
152,Missouri St. (MVC),33,17-16,"2,352",71.3
153,Kent St. (MAC),34,17-17,"2,424",71.3
154,SFA (WAC),33,18-15,"2,353",71.3
155,Utah St. (Mountain West),35,28-7,"2,497",71.3
156,LMU (CA) (WCC),31,12-19,"2,214",71.4
157,Winthrop (Big South),32,17-15,"2,287",71.5
158,The Citadel (SoCon),32,11-21,"2,289",71.5
159,Radford (Big South),33,16-17,"2,361",71.5
159,UIC (MVC),33,12-21,"2,361",71.5
161,Chattanooga (SoCon),33,21-12,"2,362",71.6
162,Purdue Fort Wayne (Horizon),36,23-13,"2,577",71.6
163,Louisiana (Sun Belt),33,19-14,"2,365",71.7
164,Colorado (Pac-12),37,26-11,"2,654",71.7
165,TCU (Big 12),34,21-13,"2,439",71.7
166,Harvard (Ivy League),27,14-13,"1,937",71.7
167,NC State (ACC),41,26-15,"2,942",71.8
168,Mount St. Mary's (MAAC),32,13-19,"2,298",71.8
169,Montana (Big Sky),36,24-12,"2,586",71.8
170,Brown (Ivy League),31,13-18,"2,227",71.8
