Rank,Team,GM,W-L,SCR MAR
1,UConn (Big East),40,37-3,18
2,McNeese (Southland),34,30-4,17.7
3,Houston (Big 12),37,32-5,15.9
4,Gonzaga (WCC),35,27-8,15.4
5,Arizona (Pac-12),36,27-9,15.1
6,Auburn (SEC),35,27-8,14.8
7,Saint Mary's (CA) (WCC),34,26-8,14.8
8,Iowa St. (Big 12),37,29-8,13.8
9,James Madison (Sun Belt),36,32-4,13.6
10,Purdue (Big Ten),39,34-5,13.4
11,Duke (ACC),36,27-9,12.3
12,Grand Canyon (WAC),35,30-5,12.1
13,Morehead St. (OVC),35,26-9,11.9
14,Indiana St. (MVC),39,32-7,11.7
15,Samford (SoCon),35,29-6,11.6
16,BYU (Big 12),34,23-11,11.5
17,North Carolina (ACC),37,29-8,11.5
18,Tennessee (SEC),36,27-9,11.4
19,App State (Sun Belt),34,27-7,11.2
20,San Francisco (WCC),34,23-11,11.2
21,Creighton (Big East),35,25-10,10.5
22,Princeton (Ivy League),29,24-5,10.4
23,New Mexico (Mountain West),36,26-10,10.3
24,Youngstown St. (Horizon),32,22-10,10.3
25,Louisiana Tech (CUSA),32,22-10,10.2
26,Illinois (Big Ten),38,29-9,10
27,Drake (MVC),35,28-7,9.5
28,High Point (Big South),36,27-9,9.4
29,UMass Lowell (America East),32,22-10,9.4
30,UC Irvine (Big West),34,24-10,9.4
31,Kentucky (SEC),33,23-10,9.3
32,Baylor (Big 12),35,24-11,9.3
33,Nevada (Mountain West),34,26-8,9
34,Troy (Sun Belt),32,20-12,8.9
35,Alabama (SEC),37,25-12,8.9
36,Fla. Atlantic (AAC),34,25-9,8.6
37,Vermont (America East),35,28-7,8.6
38,Purdue Fort Wayne (Horizon),36,23-13,8.6
39,A&M-Corpus Christi (Southland),33,21-12,8.5
40,UNCW (CAA),31,21-10,8.4
41,Utah St. (Mountain West),35,28-7,8.3
42,Liberty (CUSA),32,18-14,8.3
43,Marquette (Big East),37,27-10,8.2
44,Western Caro. (SoCon),32,22-10,8.2
45,SMU (AAC),33,20-13,8
46,Pittsburgh (ACC),33,22-11,8
47,Colorado St. (Mountain West),36,25-11,7.9
48,Weber St. (Big Sky),32,20-12,7.9
49,Boise St. (Mountain West),33,22-11,7.8
50,Dayton (Atlantic 10),33,25-8,7.7
51,N.C. Central (MEAC),31,18-13,7.6
52,Colorado (Pac-12),37,26-11,7.6
53,Akron (MAC),35,24-11,7.5
54,San Diego St. (Mountain West),37,26-11,7.4
55,Wake Forest (ACC),35,21-14,7.4
56,Cornell (Ivy League),30,22-8,7.4
57,Col. of Charleston (CAA),35,27-8,7.3
58,Ohio (MAC),33,20-13,7.3
59,Colgate (Patriot),35,25-10,7.3
60,TCU (Big 12),34,21-13,7.3
61,Yale (Ivy League),33,23-10,7.2
62,Seattle U (WAC),37,23-14,7
63,Norfolk St. (MEAC),35,24-11,7
63,Bradley (MVC),35,23-12,7
65,St. John's (NY) (Big East),33,20-13,6.9
66,Washington St. (Pac-12),35,25-10,6.8
66,Michigan St. (Big Ten),35,20-15,6.8
