Rank,Team,GM,W-L,PTS,PPG
1,Alabama (SEC),37,25-12,"3,335",90.1
2,Kentucky (SEC),33,23-10,"2,938",89
3,Arizona (Pac-12),36,27-9,"3,137",87.1
4,Wright St. (Horizon),32,18-14,"2,767",86.5
5,Samford (SoCon),35,29-6,"3,012",86.1
6,Florida (SEC),36,24-12,"3,080",85.6
7,Indiana St. (MVC),39,32-7,"3,309",84.8
8,Gonzaga (WCC),35,27-8,"2,959",84.5
9,High Point (Big South),36,27-9,"3,020",83.9
10,Illinois (Big Ten),38,29-9,"3,168",83.4
11,James Madison (Sun Belt),36,32-4,"2,995",83.2
12,Iowa (Big Ten),34,19-15,"2,827",83.1
13,Auburn (SEC),35,27-8,"2,909",83.1
14,Kennesaw St. (ASUN),31,15-16,"2,568",82.8
15,Purdue (Big Ten),39,34-5,"3,211",82.3
16,Cornell (Ivy League),30,22-8,"2,463",82.1
17,Lipscomb (ASUN),32,20-12,"2,626",82.1
18,Fla. Atlantic (AAC),34,25-9,"2,789",82
19,North Carolina (ACC),37,29-8,"3,032",81.9
20,Tulane (AAC),31,14-17,"2,540",81.9
21,UT Martin (OVC),32,21-11,"2,609",81.5
22,BYU (Big 12),34,23-11,"2,768",81.4
23,UConn (Big East),40,37-3,"3,256",81.4
24,Youngstown St. (Horizon),32,22-10,"2,598",81.2
25,Denver (Summit League),34,17-17,"2,755",81
26,New Mexico (Mountain West),36,26-10,"2,916",81
27,Col. of Charleston (CAA),35,27-8,"2,832",80.9
28,Eastern Wash. (Big Sky),32,21-11,"2,586",80.8
29,Eastern Ky. (ASUN),31,17-14,"2,504",80.8
30,Washington (Pac-12),32,17-15,"2,579",80.6
31,Memphis (AAC),32,22-10,"2,574",80.4
32,Creighton (Big East),35,25-10,"2,815",80.4
33,Baylor (Big 12),35,24-11,"2,814",80.4
34,Western Ky. (CUSA),34,22-12,"2,728",80.2
35,Purdue Fort Wayne (Horizon),36,23-13,"2,886",80.2
36,Ark.-Pine Bluff (SWAC),31,13-18,"2,483",80.1
37,UMass Lowell (America East),32,22-10,"2,561",80
38,Toledo (MAC),32,20-12,"2,560",80
39,McNeese (Southland),34,30-4,"2,719",80
40,Drake (MVC),35,28-7,"2,797",79.9
41,Utah St. (Mountain West),35,28-7,"2,788",79.7
42,Troy (Sun Belt),32,20-12,"2,546",79.6
43,Milwaukee (Horizon),35,20-15,"2,782",79.5
44,Furman (SoCon),33,17-16,"2,623",79.5
45,UNCW (CAA),31,21-10,"2,461",79.4
46,Colorado (Pac-12),37,26-11,"2,935",79.3
47,Northern Colo. (Big Sky),33,19-14,"2,617",79.3
48,Grand Canyon (WAC),35,30-5,"2,769",79.1
49,TCU (Big 12),34,21-13,"2,687",79
50,UNC Asheville (Big South),34,22-12,"2,682",78.9
51,St. John's (NY) (Big East),33,20-13,"2,602",78.8
52,Arkansas St. (Sun Belt),37,20-17,"2,917",78.8
53,Utah (Pac-12),37,22-15,"2,915",78.8
54,Tennessee (SEC),36,27-9,"2,836",78.8
55,Bryant (America East),33,20-13,"2,598",78.7
56,UAlbany (America East),32,13-19,"2,517",78.7
56,UMBC (America East),32,11-21,"2,517",78.7
58,Duke (ACC),36,27-9,"2,830",78.6
59,App State (Sun Belt),34,27-7,"2,665",78.4
60,Chattanooga (SoCon),33,21-12,"2,581",78.2
61,Wake Forest (ACC),35,21-14,"2,733",78.1
62,Marquette (Big East),37,27-10,"2,888",78.1
63,North Florida (ASUN),32,16-16,"2,496",78
64,Belmont (MVC),33,20-13,"2,570",77.9
65,Lamar University (Southland),33,19-14,"2,568",77.8
66,Arkansas (SEC),33,16-17,"2,566",77.8
67,Nebraska (Big Ten),34,23-11,"2,643",77.7
67,San Francisco (WCC),34,23-11,"2,643",77.7
69,UC Irvine (Big West),34,24-10,"2,639",77.6
70,UTSA (AAC),32,11-21,"2,483",77.6
71,UAB (AAC),35,23-12,"2,711",77.5
