Rank,Team,GM,W-L,3FG,3FGA,3FGA PG
1,North Florida (ASUN),32,16-16,383,"1,063",33.2
2,BYU (Big 12),34,23-11,378,"1,087",32
3,Col. of Charleston (CAA),35,27-8,368,"1,072",30.6
4,Alabama (SEC),37,25-12,413,"1,108",29.9
5,Furman (SoCon),33,17-16,320,988,29.9
6,Cornell (Ivy League),30,22-8,310,892,29.7
7,Princeton (Ivy League),29,24-5,304,854,29.4
8,Chattanooga (SoCon),33,21-12,349,971,29.4
9,Creighton (Big East),35,25-10,375,"1,018",29.1
10,Ark.-Pine Bluff (SWAC),31,13-18,337,898,29
11,UTSA (AAC),32,11-21,311,922,28.8
12,Indiana St. (MVC),39,32-7,427,"1,119",28.7
13,Kennesaw St. (ASUN),31,15-16,292,888,28.6
14,Saint Joseph's (Atlantic 10),35,21-14,351,996,28.5
15,William & Mary (CAA),33,10-23,296,916,27.8
16,Liberty (CUSA),32,18-14,324,880,27.5
17,Villanova (Big East),34,18-16,315,933,27.4
18,New Hampshire (America East),31,16-15,275,848,27.4
19,Youngstown St. (Horizon),32,22-10,282,872,27.3
20,Hofstra (CAA),33,20-13,330,890,27
21,Pittsburgh (ACC),33,22-11,317,887,26.9
22,Arkansas St. (Sun Belt),37,20-17,341,991,26.8
23,Wofford (SoCon),32,17-15,306,852,26.6
24,Ga. Southern (Sun Belt),33,9-24,309,878,26.6
25,UC Riverside (Big West),34,16-18,287,904,26.6
26,Marshall (Sun Belt),33,13-20,270,870,26.4
27,Nebraska (Big Ten),34,23-11,319,893,26.3
28,Green Bay (Horizon),32,18-14,285,840,26.3
29,Purdue Fort Wayne (Horizon),36,23-13,340,942,26.2
30,Morehead St. (OVC),35,26-9,329,912,26.1
31,California (Pac-12),32,13-19,281,831,26
32,Penn (Ivy League),29,11-18,275,750,25.9
33,Temple (AAC),36,16-20,296,931,25.9
34,Portland (WCC),33,12-21,292,842,25.5
35,Fairfield (MAAC),37,24-13,342,943,25.5
36,Fordham (Atlantic 10),33,13-20,265,841,25.5
37,Oral Roberts (Summit League),31,12-19,285,790,25.5
38,Providence (Big East),35,21-14,290,891,25.5
39,FIU (CUSA),33,11-22,284,840,25.5
40,Tennessee (SEC),36,27-9,315,915,25.4
41,Samford (SoCon),35,29-6,351,889,25.4
42,FDU (NEC),32,15-17,268,812,25.4
42,Robert Morris (Horizon),32,10-22,273,812,25.4
42,UNC Greensboro (SoCon),32,21-11,322,812,25.4
45,Kansas City (Summit League),32,16-16,269,811,25.3
46,UT Arlington (WAC),34,20-14,305,861,25.3
47,North Dakota (Summit League),32,18-14,264,809,25.3
48,Utah (Pac-12),37,22-15,345,933,25.2
49,Vermont (America East),35,28-7,300,878,25.1
50,Marquette (Big East),37,27-10,327,928,25.1
51,Ohio (MAC),33,20-13,294,827,25.1
52,ETSU (SoCon),35,19-16,272,876,25
53,George Washington (Atlantic 10),32,15-17,287,796,24.9
54,Oakland (Horizon),36,24-12,318,895,24.9
55,Denver (Summit League),34,17-17,294,845,24.9
56,American (Patriot),32,16-16,279,794,24.8
57,Alabama St. (SWAC),32,13-19,223,793,24.8
58,Miami (FL) (ACC),32,15-17,286,792,24.8
59,Akron (MAC),35,24-11,280,863,24.7
59,Montana St. (Big Sky),35,17-18,319,863,24.7
61,Army West Point (Patriot),32,10-22,252,788,24.6
62,Milwaukee (Horizon),35,20-15,277,861,24.6
63,Troy (Sun Belt),32,20-12,276,787,24.6
64,Belmont (MVC),33,20-13,301,811,24.6
64,La Salle (Atlantic 10),33,16-17,281,811,24.6
66,Stetson (ASUN),35,22-13,313,857,24.5
67,Bryant (America East),33,20-13,273,806,24.4
68,Air Force (Mountain West),31,9-22,273,757,24.4
69,High Point (Big South),36,27-9,300,879,24.4
70,Elon (CAA),32,13-19,275,781,24.4
70,Lipscomb (ASUN),32,20-12,297,781,24.4
72,Georgia Tech (ACC),32,14-18,254,780,24.4
73,South Fla. (AAC),33,25-8,295,804,24.4
74,UT Martin (OVC),32,21-11,279,779,24.3
75,Oklahoma St. (Big 12),32,12-20,260,778,24.3
75,San Jose St. (Mountain West),32,9-23,267,778,24.3
77,San Francisco (WCC),34,23-11,293,825,24.3
78,Kentucky (SEC),33,23-10,327,800,24.2
79,Stanford (Pac-12),32,14-18,286,774,24.2
80,Texas A&M (SEC),36,21-15,255,869,24.1
81,Bucknell (Patriot),33,14-19,269,795,24.1
82,Buffalo (MAC),31,4-27,207,746,24.1
83,Brown (Ivy League),31,13-18,254,745,24
84,VCU (Atlantic 10),38,24-14,322,911,24
85,Notre Dame (ACC),33,13-20,251,790,23.9
85,UIC (MVC),33,12-21,287,790,23.9
87,Georgetown (Big East),32,9-23,265,766,23.9
88,UNCW (CAA),31,21-10,258,741,23.9
89,Illinois (Big Ten),38,29-9,317,908,23.9
90,Georgia (SEC),37,20-17,300,883,23.9
91,Bradley (MVC),35,23-12,306,835,23.9
92,Fla. Atlantic (AAC),34,25-9,284,810,23.8
93,South Carolina (SEC),34,26-8,274,809,23.8
94,NJIT (America East),28,7-21,201,666,23.8
95,Southern Ill. (MVC),32,19-13,264,761,23.8
96,UConn (Big East),40,37-3,340,951,23.8
97,Memphis (AAC),32,22-10,266,759,23.7
98,James Madison (Sun Belt),36,32-4,307,852,23.7
99,UAlbany (America East),32,13-19,250,757,23.7
100,Texas Tech (Big 12),34,23-11,289,804,23.6
101,Merrimack (NEC),33,21-12,241,779,23.6
102,Tulsa (AAC),31,16-15,239,731,23.6
103,Butler (Big East),33,18-15,276,778,23.6
104,Dayton (Atlantic 10),33,25-8,310,777,23.5
105,South Dakota St. (Summit League),35,22-13,300,823,23.5
106,Loyola Chicago (Atlantic 10),33,23-10,274,775,23.5
107,Middle Tenn. (CUSA),33,14-19,241,774,23.5
108,Clemson (ACC),36,24-12,296,844,23.4
109,Davidson (Atlantic 10),32,15-17,235,749,23.4
109,Eastern Wash. (Big Sky),32,21-11,273,749,23.4
111,Drake (MVC),35,28-7,300,819,23.4
112,Central Ark. (ASUN),32,9-23,256,747,23.3
112,Western Mich. (MAC),32,12-20,253,747,23.3
114,Virginia Tech (ACC),34,19-15,276,792,23.3
115,Iona (MAAC),33,16-17,271,768,23.3
116,Rice (AAC),32,11-21,251,744,23.3
117,Kansas St. (Big 12),34,19-15,251,790,23.2
118,Santa Clara (WCC),33,20-13,271,766,23.2
118,Texas Southern (SWAC),33,16-17,242,766,23.2
120,Dartmouth (Ivy League),27,6-21,191,626,23.2
121,Kent St. (MAC),34,17-17,282,788,23.2
122,Manhattan (MAAC),30,7-23,219,695,23.2
123,Georgia St. (Sun Belt),31,14-17,234,718,23.2
124,Penn St. (Big Ten),33,16-17,255,764,23.2
125,Boston U. (Patriot),33,16-17,254,763,23.1
126,Vanderbilt (SEC),32,9-23,209,738,23.1
127,USC Upstate (Big South),30,10-20,230,691,23
128,Boise St. (Mountain West),33,22-11,258,759,23
128,Hampton (CAA),33,9-24,241,759,23
130,UIW (Southland),31,8-23,236,712,23
131,Cincinnati (Big 12),37,22-15,280,849,22.9
132,Boston College (ACC),36,20-16,299,826,22.9
133,Sacramento St. (Big Sky),34,10-24,258,780,22.9
134,LMU (CA) (WCC),31,12-19,261,710,22.9
135,Nicholls (Southland),34,20-14,284,778,22.9
136,Hawaii (Big West),34,20-14,265,776,22.8
137,Columbia (Ivy League),27,13-14,231,616,22.8
138,Missouri (SEC),32,8-24,233,730,22.8
138,Portland St. (Big Sky),32,17-15,237,730,22.8
140,Lafayette (Patriot),32,11-21,227,728,22.8
140,Washington (Pac-12),32,17-15,258,728,22.8
142,Auburn (SEC),35,27-8,280,795,22.7
143,Idaho (Big Sky),32,11-21,243,726,22.7
144,North Carolina (ACC),37,29-8,301,839,22.7
145,Florida (SEC),36,24-12,280,812,22.6
146,Valparaiso (MVC),32,7-25,234,721,22.5
146,Weber St. (Big Sky),32,20-12,251,721,22.5
148,Louisiana (Sun Belt),33,19-14,251,743,22.5
149,NIU (MAC),31,11-20,227,696,22.5
150,Miami (OH) (MAC),32,15-17,259,717,22.4
151,Arizona St. (Pac-12),32,14-18,215,716,22.4
152,UNC Asheville (Big South),34,22-12,277,759,22.3
153,Mississippi St. (SEC),35,21-14,251,781,22.3
154,Lehigh (Patriot),32,14-18,230,714,22.3
154,UMBC (America East),32,11-21,255,714,22.3
156,Western Caro. (SoCon),32,22-10,261,713,22.3
157,SMU (AAC),33,20-13,251,735,22.3
158,San Diego St. (Mountain West),37,26-11,259,822,22.2
159,Duquesne (Atlantic 10),37,25-12,279,821,22.2
159,Houston (Big 12),37,32-5,286,821,22.2
161,Michigan (Big Ten),32,8-24,255,710,22.2
162,Minnesota (Big Ten),34,19-15,268,754,22.2
163,North Texas (AAC),34,19-15,284,753,22.1
164,Stony Brook (CAA),35,20-15,277,775,22.1
165,Northern Colo. (Big Sky),33,19-14,254,730,22.1
166,Baylor (Big 12),35,24-11,301,773,22.1
167,Harvard (Ivy League),27,14-13,200,596,22.1
168,Wagner (NEC),33,17-16,238,727,22
169,FGCU (ASUN),32,14-18,250,704,22
169,Monmouth (CAA),33,18-15,252,726,22
171,Duke (ACC),36,27-9,298,791,22
172,N.C. Central (MEAC),31,18-13,233,681,22
173,Austin Peay (ASUN),35,19-16,277,768,21.9
174,Seattle U (WAC),37,23-14,281,811,21.9
175,Gardner-Webb (Big South),33,17-16,249,722,21.9
176,Eastern Ky. (ASUN),31,17-14,243,678,21.9
177,Wake Forest (ACC),35,21-14,278,764,21.8
178,SIUE (OVC),33,17-16,239,720,21.8
179,Winthrop (Big South),32,17-15,238,697,21.8
180,LSU (SEC),33,17-16,256,717,21.7
180,Lamar University (Southland),33,19-14,248,717,21.7
182,Colorado St. (Mountain West),36,25-11,264,781,21.7
183,Old Dominion (Sun Belt),32,7-25,221,694,21.7
184,Colgate (Patriot),35,25-10,272,757,21.6
184,Howard (MEAC),35,18-17,281,757,21.6
186,Oklahoma (Big 12),32,20-12,239,692,21.6
186,South Alabama (Sun Belt),32,16-16,239,692,21.6
188,Oregon (Pac-12),36,24-12,263,778,21.6
189,Canisius (MAAC),32,14-18,232,690,21.6
190,Saint Mary's (CA) (WCC),34,26-8,258,733,21.6
191,Arizona (Pac-12),36,27-9,284,776,21.6
192,Massachusetts (Atlantic 10),31,20-11,209,668,21.5
193,Missouri St. (MVC),33,17-16,223,711,21.5
194,Montana (Big Sky),36,24-12,277,774,21.5
195,Southern California (Pac-12),33,15-18,252,709,21.5
196,Bowling Green (MAC),34,20-14,216,730,21.5
197,Loyola Maryland (Patriot),32,7-25,230,685,21.4
198,Southern U. (SWAC),32,18-14,221,684,21.4
199,Saint Louis (Atlantic 10),33,13-20,259,705,21.4
200,Holy Cross (Patriot),33,10-23,249,704,21.3
201,Quinnipiac (MAAC),34,24-10,254,723,21.3
202,North Ala. (ASUN),32,15-17,246,679,21.2
