Rank,Team,GM,W-L,3FG%
1,Kentucky (SEC),33,23-10,40.9
2,Purdue (Big Ten),39,34-5,40.4
3,Dayton (Atlantic 10),33,25-8,39.9
4,UNC Greensboro (SoCon),32,21-11,39.7
5,Samford (SoCon),35,29-6,39.5
6,Colorado (Pac-12),37,26-11,39.1
7,Northwestern (Big Ten),34,22-12,39
8,Baylor (Big 12),35,24-11,38.9
9,Wright St. (Horizon),32,18-14,38.3
10,McNeese (Southland),34,30-4,38.3
11,Indiana St. (MVC),39,32-7,38.2
12,Lipscomb (ASUN),32,20-12,38
13,North Dakota St. (Summit League),32,15-17,37.8
14,North Texas (AAC),34,19-15,37.7
15,Duke (ACC),36,27-9,37.7
16,Toledo (MAC),32,20-12,37.6
17,Ark.-Pine Bluff (SWAC),31,13-18,37.5
18,South Dakota (Summit League),32,12-20,37.5
19,Columbia (Ivy League),27,13-14,37.5
20,Alabama (SEC),37,25-12,37.3
21,Wyoming (Mountain West),32,15-17,37.2
22,Howard (MEAC),35,18-17,37.1
23,Belmont (MVC),33,20-13,37.1
24,Hofstra (CAA),33,20-13,37.1
25,Utah (Pac-12),37,22-15,37
26,Montana St. (Big Sky),35,17-18,37
27,Stanford (Pac-12),32,14-18,37
28,Creighton (Big East),35,25-10,36.8
29,Liberty (CUSA),32,18-14,36.8
30,LMU (CA) (WCC),31,12-19,36.8
31,Saint Louis (Atlantic 10),33,13-20,36.7
32,South Fla. (AAC),33,25-8,36.7
33,Penn (Ivy League),29,11-18,36.7
34,Bradley (MVC),35,23-12,36.6
35,Drake (MVC),35,28-7,36.6
36,Western Caro. (SoCon),32,22-10,36.6
37,Arizona (Pac-12),36,27-9,36.6
38,St. Bonaventure (Atlantic 10),33,20-13,36.5
39,Stetson (ASUN),35,22-13,36.5
40,Ole Miss (SEC),32,20-12,36.5
41,Nicholls (Southland),34,20-14,36.5
42,UNC Asheville (Big South),34,22-12,36.5
43,Sacred Heart (NEC),32,16-16,36.5
44,South Dakota St. (Summit League),35,22-13,36.5
45,Eastern Wash. (Big Sky),32,21-11,36.4
46,Wake Forest (ACC),35,21-14,36.4
47,Radford (Big South),33,16-17,36.3
48,UIC (MVC),33,12-21,36.3
49,Nevada (Mountain West),34,26-8,36.3
50,Fairfield (MAAC),37,24-13,36.3
51,Michigan St. (Big Ten),35,20-15,36.3
52,North Ala. (ASUN),32,15-17,36.2
53,Richmond (Atlantic 10),33,23-10,36.2
54,Boston College (ACC),36,20-16,36.2
55,Ball St. (MAC),31,15-16,36.2
56,Niagara (MAAC),32,16-16,36.2
57,Louisiana Tech (CUSA),32,22-10,36.2
58,Miami (OH) (MAC),32,15-17,36.1
59,Miami (FL) (ACC),32,15-17,36.1
60,Purdue Fort Wayne (Horizon),36,23-13,36.1
61,Oral Roberts (Summit League),31,12-19,36.1
62,Morehead St. (OVC),35,26-9,36.1
63,Austin Peay (ASUN),35,19-16,36.1
64,Air Force (Mountain West),31,9-22,36.1
65,Pepperdine (WCC),33,13-20,36.1
66,George Washington (Atlantic 10),32,15-17,36.1
67,Gonzaga (WCC),35,27-8,36.1
68,James Madison (Sun Belt),36,32-4,36
69,UC Santa Barbara (Big West),31,16-15,36
70,North Florida (ASUN),32,16-16,36
71,Texas Tech (Big 12),34,23-11,35.9
72,Chattanooga (SoCon),33,21-12,35.9
73,Colgate (Patriot),35,25-10,35.9
74,Wofford (SoCon),32,17-15,35.9
74,Michigan (Big Ten),32,8-24,35.9
76,North Carolina (ACC),37,29-8,35.9
77,Eastern Ky. (ASUN),31,17-14,35.8
78,UT Martin (OVC),32,21-11,35.8
79,Iowa St. (Big 12),37,29-8,35.8
80,Montana (Big Sky),36,24-12,35.8
81,Kent St. (MAC),34,17-17,35.8
82,Virginia (ACC),34,23-11,35.8
83,UConn (Big East),40,37-3,35.8
84,Stony Brook (CAA),35,20-15,35.7
85,Pittsburgh (ACC),33,22-11,35.7
86,Nebraska (Big Ten),34,23-11,35.7
87,UMBC (America East),32,11-21,35.7
88,LSU (SEC),33,17-16,35.7
89,Tulane (AAC),31,14-17,35.7
90,Princeton (Ivy League),29,24-5,35.6
91,Marist (MAAC),31,18-13,35.6
92,Ohio (MAC),33,20-13,35.6
93,Minnesota (Big Ten),34,19-15,35.5
94,Southern California (Pac-12),33,15-18,35.5
95,Oakland (Horizon),36,24-12,35.5
96,San Francisco (WCC),34,23-11,35.5
97,FGCU (ASUN),32,14-18,35.5
98,Butler (Big East),33,18-15,35.5
99,Texas (Big 12),34,21-13,35.5
100,TCU (Big 12),34,21-13,35.4
101,Washington (Pac-12),32,17-15,35.4
102,UT Arlington (WAC),34,20-14,35.4
103,Santa Clara (WCC),33,20-13,35.4
104,Holy Cross (Patriot),33,10-23,35.4
105,Loyola Chicago (Atlantic 10),33,23-10,35.4
106,VCU (Atlantic 10),38,24-14,35.3
107,Iona (MAAC),33,16-17,35.3
108,Mount St. Mary's (MAAC),32,13-19,35.3
109,Saint Joseph's (Atlantic 10),35,21-14,35.2
110,Marquette (Big East),37,27-10,35.2
111,Auburn (SEC),35,27-8,35.2
112,Elon (CAA),32,13-19,35.2
113,Saint Mary's (CA) (WCC),34,26-8,35.2
114,Ga. Southern (Sun Belt),33,9-24,35.2
115,Sam Houston (CUSA),33,21-12,35.2
116,American (Patriot),32,16-16,35.1
117,Quinnipiac (MAAC),34,24-10,35.1
118,Iowa (Big Ten),34,19-15,35.1
119,Yale (Ivy League),33,23-10,35.1
120,Clemson (ACC),36,24-12,35.1
121,Troy (Sun Belt),32,20-12,35.1
122,Fla. Atlantic (AAC),34,25-9,35.1
123,Memphis (AAC),32,22-10,35
124,West Virginia (Big 12),32,9-23,34.9
125,Illinois (Big Ten),38,29-9,34.9
126,Rhode Island (Atlantic 10),32,12-20,34.9
127,Wisconsin (Big Ten),36,22-14,34.9
128,UC Irvine (Big West),34,24-10,34.9
129,Virginia Tech (ACC),34,19-15,34.8
130,Houston (Big 12),37,32-5,34.8
131,UNCW (CAA),31,21-10,34.8
132,Weber St. (Big Sky),32,20-12,34.8
133,Northern Colo. (Big Sky),33,19-14,34.8
134,Denver (Summit League),34,17-17,34.8
135,BYU (Big 12),34,23-11,34.8
136,Cornell (Ivy League),30,22-8,34.8
137,Southeastern La. (Southland),32,15-17,34.7
138,Monmouth (CAA),33,18-15,34.7
139,Southern Ill. (MVC),32,19-13,34.7
140,Portland (WCC),33,12-21,34.7
141,La Salle (Atlantic 10),33,16-17,34.6
141,Seattle U (WAC),37,23-14,34.6
143,Georgetown (Big East),32,9-23,34.6
144,Lamar University (Southland),33,19-14,34.6
145,Mercer (SoCon),33,16-17,34.5
146,Oklahoma (Big 12),32,20-12,34.5
146,South Alabama (Sun Belt),32,16-16,34.5
148,Ohio St. (Big Ten),36,22-14,34.5
149,Little Rock (OVC),34,21-13,34.5
150,UNI (MVC),33,19-14,34.5
151,Gardner-Webb (Big South),33,17-16,34.5
152,Florida (SEC),36,24-12,34.5
153,Campbell (CAA),32,14-18,34.5
154,NC State (ACC),41,26-15,34.5
155,Tennessee (SEC),36,27-9,34.4
156,San Diego (WCC),33,18-15,34.4
157,Arkansas St. (Sun Belt),37,20-17,34.4
158,Drexel (CAA),32,20-12,34.4
159,Florida A&M (SWAC),29,6-23,34.3
160,Col. of Charleston (CAA),35,27-8,34.3
161,San Jose St. (Mountain West),32,9-23,34.3
162,Central Ark. (ASUN),32,9-23,34.3
163,George Mason (Atlantic 10),32,20-12,34.2
164,Xavier (Big East),34,16-18,34.2
165,N.C. Central (MEAC),31,18-13,34.2
166,Vermont (America East),35,28-7,34.2
167,SMU (AAC),33,20-13,34.1
168,Hawaii (Big West),34,20-14,34.1
169,Winthrop (Big South),32,17-15,34.1
170,High Point (Big South),36,27-9,34.1
171,Brown (Ivy League),31,13-18,34.1
172,Longwood (Big South),35,21-14,34.1
173,St. John's (NY) (Big East),33,20-13,34.1
174,Norfolk St. (MEAC),35,24-11,34
175,Boise St. (Mountain West),33,22-11,34
