Rank,Team,GM,W-L,3FG PG
1,North Florida (ASUN),32,16-16,12
2,Alabama (SEC),37,25-12,11.2
3,BYU (Big 12),34,23-11,11.1
4,Indiana St. (MVC),39,32-7,10.9
5,Ark.-Pine Bluff (SWAC),31,13-18,10.9
6,Creighton (Big East),35,25-10,10.7
7,Chattanooga (SoCon),33,21-12,10.6
8,Col. of Charleston (CAA),35,27-8,10.5
9,Princeton (Ivy League),29,24-5,10.5
10,Cornell (Ivy League),30,22-8,10.3
11,Liberty (CUSA),32,18-14,10.1
12,UNC Greensboro (SoCon),32,21-11,10.1
13,Saint Joseph's (Atlantic 10),35,21-14,10
13,Samford (SoCon),35,29-6,10
15,Hofstra (CAA),33,20-13,10
16,Kentucky (SEC),33,23-10,9.9
17,UTSA (AAC),32,11-21,9.7
18,Furman (SoCon),33,17-16,9.7
19,Pittsburgh (ACC),33,22-11,9.6
20,Wofford (SoCon),32,17-15,9.6
21,Penn (Ivy League),29,11-18,9.5
22,Purdue Fort Wayne (Horizon),36,23-13,9.4
23,Kennesaw St. (ASUN),31,15-16,9.4
24,Morehead St. (OVC),35,26-9,9.4
25,Dayton (Atlantic 10),33,25-8,9.4
26,Nebraska (Big Ten),34,23-11,9.4
27,Ga. Southern (Sun Belt),33,9-24,9.4
28,Utah (Pac-12),37,22-15,9.3
29,Lipscomb (ASUN),32,20-12,9.3
30,Villanova (Big East),34,18-16,9.3
31,Fairfield (MAAC),37,24-13,9.2
32,Arkansas St. (Sun Belt),37,20-17,9.2
33,Oral Roberts (Summit League),31,12-19,9.2
34,Belmont (MVC),33,20-13,9.1
35,Montana St. (Big Sky),35,17-18,9.1
36,UT Arlington (WAC),34,20-14,9
37,William & Mary (CAA),33,10-23,9
38,George Washington (Atlantic 10),32,15-17,9
39,Stetson (ASUN),35,22-13,8.9
40,South Fla. (AAC),33,25-8,8.9
41,Miami (FL) (ACC),32,15-17,8.9
41,Stanford (Pac-12),32,14-18,8.9
43,Ohio (MAC),33,20-13,8.9
44,Green Bay (Horizon),32,18-14,8.9
45,New Hampshire (America East),31,16-15,8.9
46,Portland (WCC),33,12-21,8.8
47,Marquette (Big East),37,27-10,8.8
48,Oakland (Horizon),36,24-12,8.8
49,Youngstown St. (Horizon),32,22-10,8.8
50,Air Force (Mountain West),31,9-22,8.8
51,California (Pac-12),32,13-19,8.8
52,Tennessee (SEC),36,27-9,8.8
53,Bradley (MVC),35,23-12,8.7
54,American (Patriot),32,16-16,8.7
54,UT Martin (OVC),32,21-11,8.7
56,UIC (MVC),33,12-21,8.7
57,Denver (Summit League),34,17-17,8.6
58,Troy (Sun Belt),32,20-12,8.6
59,San Francisco (WCC),34,23-11,8.6
60,FIU (CUSA),33,11-22,8.6
61,Baylor (Big 12),35,24-11,8.6
62,Elon (CAA),32,13-19,8.6
63,Drake (MVC),35,28-7,8.6
63,South Dakota St. (Summit League),35,22-13,8.6
63,Vermont (America East),35,28-7,8.6
66,Columbia (Ivy League),27,13-14,8.6
67,Eastern Wash. (Big Sky),32,21-11,8.5
67,Robert Morris (Horizon),32,10-22,8.5
69,James Madison (Sun Belt),36,32-4,8.5
70,La Salle (Atlantic 10),33,16-17,8.5
71,UConn (Big East),40,37-3,8.5
71,Texas Tech (Big 12),34,23-11,8.5
73,VCU (Atlantic 10),38,24-14,8.5
74,UC Riverside (Big West),34,16-18,8.4
75,LMU (CA) (WCC),31,12-19,8.4
76,Kansas City (Summit League),32,16-16,8.4
77,FDU (NEC),32,15-17,8.4
78,Butler (Big East),33,18-15,8.4
79,Fla. Atlantic (AAC),34,25-9,8.4
79,Nicholls (Southland),34,20-14,8.4
79,North Texas (AAC),34,19-15,8.4
82,San Jose St. (Mountain West),32,9-23,8.3
83,Illinois (Big Ten),38,29-9,8.3
84,High Point (Big South),36,27-9,8.3
85,UNCW (CAA),31,21-10,8.3
86,Memphis (AAC),32,22-10,8.3
