Rank,Team,W,L,Win%
1,UConn (Big East),37,3,92.5
2,James Madison (Sun Belt),32,4,88.9
3,McNeese (Southland),30,4,88.2
4,Purdue (Big Ten),34,5,87.2
5,Houston (Big 12),32,5,86.5
6,Grand Canyon (WAC),30,5,85.7
7,Samford (SoCon),29,6,82.9
8,Princeton (Ivy League),24,5,82.8
9,Indiana St. (MVC),32,7,82.1
10,Drake (MVC),28,7,80
10,Utah St. (Mountain West),28,7,80
10,Vermont (America East),28,7,80
13,App State (Sun Belt),27,7,79.4
14,Iowa St. (Big 12),29,8,78.4
14,North Carolina (ACC),29,8,78.4
16,Auburn (SEC),27,8,77.1
16,Col. of Charleston (CAA),27,8,77.1
16,Gonzaga (WCC),27,8,77.1
19,Nevada (Mountain West),26,8,76.5
19,Saint Mary's (CA) (WCC),26,8,76.5
19,South Carolina (SEC),26,8,76.5
22,Illinois (Big Ten),29,9,76.3
23,Dayton (Atlantic 10),25,8,75.8
23,South Fla. (AAC),25,8,75.8
25,Arizona (Pac-12),27,9,75
25,Duke (ACC),27,9,75
25,High Point (Big South),27,9,75
25,Tennessee (SEC),27,9,75
29,Morehead St. (OVC),26,9,74.3
30,Fla. Atlantic (AAC),25,9,73.5
31,Cornell (Ivy League),22,8,73.3
32,Marquette (Big East),27,10,73
33,New Mexico (Mountain West),26,10,72.2
34,Colgate (Patriot),25,10,71.4
34,Creighton (Big East),25,10,71.4
34,Washington St. (Pac-12),25,10,71.4
37,Quinnipiac (MAAC),24,10,70.6
37,UC Irvine (Big West),24,10,70.6
39,Colorado (Pac-12),26,11,70.3
39,San Diego St. (Mountain West),26,11,70.3
41,Kentucky (SEC),23,10,69.7
41,Loyola Chicago (Atlantic 10),23,10,69.7
41,Richmond (Atlantic 10),23,10,69.7
41,Yale (Ivy League),23,10,69.7
45,Colorado St. (Mountain West),25,11,69.4
46,Louisiana Tech (CUSA),22,10,68.8
46,Memphis (AAC),22,10,68.8
46,UMass Lowell (America East),22,10,68.8
46,Western Caro. (SoCon),22,10,68.8
46,Youngstown St. (Horizon),22,10,68.8
51,Akron (MAC),24,11,68.6
51,Baylor (Big 12),24,11,68.6
51,Norfolk St. (MEAC),24,11,68.6
54,UNCW (CAA),21,10,67.7
55,BYU (Big 12),23,11,67.6
55,Kansas (Big 12),23,11,67.6
55,Nebraska (Big Ten),23,11,67.6
55,San Francisco (WCC),23,11,67.6
55,Texas Tech (Big 12),23,11,67.6
55,Virginia (ACC),23,11,67.6
61,Alabama (SEC),25,12,67.6
61,Duquesne (Atlantic 10),25,12,67.6
61,Seton Hall (Big East),25,12,67.6
64,Clemson (ACC),24,12,66.7
64,Florida (SEC),24,12,66.7
64,Montana (Big Sky),24,12,66.7
64,Oakland (Horizon),24,12,66.7
64,Oregon (Pac-12),24,12,66.7
64,Boise St. (Mountain West),22,11,66.7
64,Pittsburgh (ACC),22,11,66.7
71,Bradley (MVC),23,12,65.7
71,UAB (AAC),23,12,65.7
73,Eastern Wash. (Big Sky),21,11,65.6
73,UNC Greensboro (SoCon),21,11,65.6
73,UT Martin (OVC),21,11,65.6
76,Fairfield (MAAC),24,13,64.9
77,Northwestern (Big Ten),22,12,64.7
77,UNC Asheville (Big South),22,12,64.7
77,Western Ky. (CUSA),22,12,64.7
80,Central Conn. St. (NEC),20,11,64.5
80,Massachusetts (Atlantic 10),20,11,64.5
82,Purdue Fort Wayne (Horizon),23,13,63.9
83,A&M-Corpus Christi (Southland),21,12,63.6
83,Chattanooga (SoCon),21,12,63.6
83,Merrimack (NEC),21,12,63.6
83,Sam Houston (CUSA),21,12,63.6
83,Western Ill. (OVC),21,12,63.6
88,NC State (ACC),26,15,63.4
89,VCU (Atlantic 10),24,14,63.2
90,South Dakota St. (Summit League),22,13,62.9
90,Stetson (ASUN),22,13,62.9
92,Drexel (CAA),20,12,62.5
92,George Mason (Atlantic 10),20,12,62.5
92,Lipscomb (ASUN),20,12,62.5
92,Oklahoma (Big 12),20,12,62.5
92,Ole Miss (SEC),20,12,62.5
92,Syracuse (ACC),20,12,62.5
92,Toledo (MAC),20,12,62.5
92,Troy (Sun Belt),20,12,62.5
92,Weber St. (Big Sky),20,12,62.5
101,Seattle U (WAC),23,14,62.2
102,Little Rock (OVC),21,13,61.8
102,TCU (Big 12),21,13,61.8
102,Texas (Big 12),21,13,61.8
102,UNLV (Mountain West),21,13,61.8
106,Charlotte (AAC),19,12,61.3
107,Ohio St. (Big Ten),22,14,61.1
107,Wisconsin (Big Ten),22,14,61.1
109,Belmont (MVC),20,13,60.6
109,Bryant (America East),20,13,60.6
109,Hofstra (CAA),20,13,60.6
109,Ohio (MAC),20,13,60.6
109,SMU (AAC),20,13,60.6
109,Santa Clara (WCC),20,13,60.6
109,St. Bonaventure (Atlantic 10),20,13,60.6
109,St. John's (NY) (Big East),20,13,60.6
109,UC Davis (Big West),20,13,60.6
118,Longwood (Big South),21,14,60
118,Mississippi St. (SEC),21,14,60
118,Providence (Big East),21,14,60
118,Saint Joseph's (Atlantic 10),21,14,60
118,Wake Forest (ACC),21,14,60
123,Cincinnati (Big 12),22,15,59.5
123,Utah (Pac-12),22,15,59.5
125,Southern Ill. (MVC),19,13,59.4
126,Bowling Green (MAC),20,14,58.8
126,Hawaii (Big West),20,14,58.8
126,Nicholls (Southland),20,14,58.8
126,Towson (CAA),20,14,58.8
126,UT Arlington (WAC),20,14,58.8
131,Cleveland St. (Horizon),21,15,58.3
131,Grambling (SWAC),21,15,58.3
131,Long Beach St. (Big West),21,15,58.3
131,Texas A&M (SEC),21,15,58.3
135,Marist (MAAC),18,13,58.1
135,N.C. Central (MEAC),18,13,58.1
137,Delaware (CAA),19,14,57.6
137,Indiana (Big Ten),19,14,57.6
137,Lamar University (Southland),19,14,57.6
137,Louisiana (Sun Belt),19,14,57.6
137,Northern Colo. (Big Sky),19,14,57.6
137,Saint Peter's (MAAC),19,14,57.6
137,UNI (MVC),19,14,57.6
144,Michigan St. (Big Ten),20,15,57.1
144,Milwaukee (Horizon),20,15,57.1
144,Stony Brook (CAA),20,15,57.1
147,Central Mich. (MAC),18,14,56.3
147,Green Bay (Horizon),18,14,56.3
147,Liberty (CUSA),18,14,56.3
147,North Dakota (Summit League),18,14,56.3
147,Southern U. (SWAC),18,14,56.3
147,Wright St. (Horizon),18,14,56.3
153,CSUN (Big West),19,15,55.9
153,Iowa (Big Ten),19,15,55.9
153,Kansas St. (Big 12),19,15,55.9
153,Minnesota (Big Ten),19,15,55.9
153,North Texas (AAC),19,15,55.9
153,Virginia Tech (ACC),19,15,55.9
159,Boston College (ACC),20,16,55.6
160,Eastern Ky. (ASUN),17,14,54.8
161,Butler (Big East),18,15,54.5
161,Monmouth (CAA),18,15,54.5
161,Northern Ky. (Horizon),18,15,54.5
161,SFA (WAC),18,15,54.5
161,San Diego (WCC),18,15,54.5
161,Tennessee St. (OVC),18,15,54.5
167,Austin Peay (ASUN),19,16,54.3
167,ETSU (SoCon),19,16,54.3
169,Arkansas St. (Sun Belt),20,17,54.1
169,Georgia (SEC),20,17,54.1
171,Portland St. (Big Sky),17,15,53.1
171,Washington (Pac-12),17,15,53.1
171,Winthrop (Big South),17,15,53.1
171,Wofford (SoCon),17,15,53.1
175,UTEP (CUSA),18,16,52.9
175,Villanova (Big East),18,16,52.9
177,Harvard (Ivy League),14,13,51.9
178,New Hampshire (America East),16,15,51.6
178,Tulsa (AAC),16,15,51.6
178,UC Santa Barbara (Big West),16,15,51.6
181,Florida St. (ACC),17,16,51.5
181,Furman (SoCon),17,16,51.5
181,Gardner-Webb (Big South),17,16,51.5
181,LSU (SEC),17,16,51.5
181,Missouri St. (MVC),17,16,51.5
181,SIUE (OVC),17,16,51.5
181,UCF (Big 12),17,16,51.5
181,Wagner (NEC),17,16,51.5
189,Howard (MEAC),18,17,51.4
190,Bethune-Cookman (SWAC),17,17,50
190,Denver (Summit League),17,17,50
190,Kent St. (MAC),17,17,50
190,American (Patriot),16,16,50
190,Kansas City (Summit League),16,16,50
190,Niagara (MAAC),16,16,50
190,North Florida (ASUN),16,16,50
190,Sacred Heart (NEC),16,16,50
190,South Alabama (Sun Belt),16,16,50
190,Southern Miss. (Sun Belt),16,16,50
190,Utah Valley (WAC),16,16,50
190,Binghamton (America East),15,15,50
202,Evansville (MVC),17,18,48.6
202,Montana St. (Big Sky),17,18,48.6
202,Texas St. (Sun Belt),17,18,48.6
205,Arkansas (SEC),16,17,48.5
205,Boston U. (Patriot),16,17,48.5
205,California Baptist (WAC),16,17,48.5
205,Iona (MAAC),16,17,48.5
205,Jacksonville (ASUN),16,17,48.5
205,La Salle (Atlantic 10),16,17,48.5
205,Maryland (Big Ten),16,17,48.5
205,Mercer (SoCon),16,17,48.5
205,Penn St. (Big Ten),16,17,48.5
205,Radford (Big South),16,17,48.5
