Rk,Team,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Opp Non Conf NetRtg
1,Duke,38.25,128,89.8,65.8,-0.019,10.11,112.5,102.4,9.34
2,Florida,36.19,128.6,92.5,69.6,0.007,14.47,114.6,100.1,-1.98
3,Houston,35.41,123.2,87.8,61.5,0.015,13.66,113.6,99.9,2.57
4,Auburn,35.11,128.5,93.4,67.6,0.03,19.05,117.1,98.1,10.38
5,Tennessee,31.13,120.3,89.1,63.7,0.016,15.95,116.7,100.7,-0.88
6,Alabama,30,126.5,96.5,74.9,0.029,19.59,118.3,98.7,12.08
7,Texas Tech,28.03,125.3,97.3,65.5,-0.045,11.24,111.9,100.6,-4.71
8,Michigan St.,27.62,118.2,90.6,67.8,-0.009,13.4,114.3,100.9,0.41
9,Gonzaga,27.29,123.6,96.3,70.2,-0.074,7.04,110.8,103.8,8.74
10,Iowa St.,27,119.5,92.5,68.6,-0.048,12.65,113.4,100.8,-0.86
11,St. John's,26.41,113.9,87.5,70.2,-0.019,9.15,111.9,102.7,-0.05
12,Maryland,26.37,118.2,91.8,69.9,-0.038,10.97,113.1,102.1,-10.37
13,Wisconsin,25.99,122.1,96.1,67.6,-0.033,13.9,114.3,100.4,-0.11
14,Arizona,25.72,122.6,96.9,69.9,-0.049,16.4,115.3,98.9,5.05
15,Missouri,24.44,125.3,100.9,68.2,-0.048,13.08,113.8,100.7,-9.26
16,Kentucky,24.26,123.8,99.6,71,0.007,17.85,116.9,99,3.75
17,Texas A&M,24.05,116.2,92.1,66.2,0.001,16.12,115.5,99.4,7.09
18,Clemson,23.92,118.7,94.8,64.3,-0.032,8.31,111.5,103.2,3.69
19,Purdue,23.87,124.3,100.4,65,-0.007,15.75,115.4,99.7,10.4
20,Illinois,23.58,121.7,98.1,71.4,-0.018,15.96,115,99.1,3.4
21,Kansas,23.29,116,92.7,68.4,-0.024,15.55,114.9,99.4,8.76
22,Saint Mary's,23.14,115.3,92.2,61.7,0.005,5.42,111.1,105.6,5.14
23,Louisville,22.69,118.2,95.5,68.8,0.058,10.41,112.7,102.3,7.1
24,BYU,22.36,123,100.7,67.3,0.036,11.1,111.8,100.7,-7.93
25,Michigan,22.32,116,93.7,69.5,0.07,14.9,114.5,99.6,3.86
26,Ole Miss,22.09,117.9,95.8,68.1,0.018,15.8,115.2,99.3,-0.58
27,UCLA,21.78,116.9,95.1,64.9,-0.008,12.59,113.7,101.1,-5.2
28,Marquette,21.64,117.7,96,67.6,-0.013,12.59,113.2,100.6,8.79
29,Baylor,21.16,120.9,99.7,64.6,-0.054,15.71,113.8,98.1,7.68
30,North Carolina,20.62,119.8,99.2,70.5,-0.021,12.3,113.3,101,13.32
31,VCU,20.3,116.2,95.9,66.1,-0.051,1.03,106.8,105.8,-4.08
32,Oregon,20.11,116.6,96.5,67.7,0.085,14.13,114.4,100.3,4.07
33,Mississippi St.,20.11,118.8,98.7,68.2,0.012,14.81,115.1,100.2,0.65
34,UConn,19.38,121.9,102.6,63.8,-0.019,10.15,112.2,102,-0.13
35,Georgia,19.35,115.4,96.1,66.5,-0.001,13.6,113.9,100.3,-5.41
36,Creighton,18.71,116.9,98.2,67.1,0.049,11.5,112.2,100.7,5.4
37,UC San Diego,18.41,115,96.6,65.7,0.01,-1.96,105.7,107.7,-2.02
38,Oklahoma,18.32,119,100.7,68.6,0.005,14.61,114.6,100,-5.43
39,Ohio St.,18.31,117.6,99.3,67,-0.07,14.38,114.7,100.3,3.08
40,Arkansas,17.71,112.9,95.2,69.4,-0.008,13.86,114.8,100.9,-2.52
41,Xavier,17.54,116.2,98.7,69.1,-0.011,9.74,111.3,101.6,-1.15
42,New Mexico,16.98,112.4,95.4,72.7,0,5.98,109,103,5.13
43,Colorado St.,16.93,116.1,99.1,66,0.025,5.53,109.3,103.7,1.42
44,Texas,16.82,117.1,100.3,67.4,-0.067,14.15,114.2,100.1,-8.24
45,Northwestern,16.38,113.9,97.5,65,-0.089,12.42,113.6,101.2,-2.13
46,Indiana,16.21,113.7,97.5,67.9,0.024,13.32,114.4,101.1,1.35
47,SMU,16.18,116.1,99.9,68.7,0.017,5.88,110.2,104.3,-3.8
48,Vanderbilt,16.13,117.9,101.8,69.5,0.025,12.89,113.7,100.8,-6.84
49,Boise St.,15.55,115.8,100.2,65.2,0.004,6.07,109,102.9,1.63
50,Memphis,15.47,113.3,97.8,70.8,0.09,6.17,111.2,105,15.69
51,West Virginia,15.1,109.1,94,64.2,0.023,13.2,113,99.8,1
